rank,player_name,school,projected_pick,slap_score,delta,draft_capital_score,breakout_score,rec_yards,team_pass_attempts,age,age_estimated,weight
1,Carnell Tate,Ohio State,4,84.6,-15.4,100,64.8,875,408,20,FALSE,195
2,Makai Lemon,USC,16,83.2,-9.4,92.6,71.1,1156,420,21,FALSE,195
3,Jordyn Tyson,Arizona State,7,79.7,-20.3,100,53.6,711,430,21,FALSE,200
4,Kevin Concepcion,NC State,27,77.9,0.0,77.9,,,413,20,FALSE,190
5,Denzel Boston,Washington,24,74.0,-6.9,80.9,65.2,881,370,21,FALSE,209
6,Chris Bell,Kansas,43,67.7,0.0,67.7,,,345,MISSING,MISSING,176
7,Eli Heidenreich,Navy,250,66.0,21.0,45.0,93.1,941,182,23,FALSE,206
8,Chris Brazzell,Tennessee,53,63.9,0.0,63.9,,,437,MISSING,MISSING,200
9,Zachariah Branch,Georgia,47,62.6,-3.4,66.0,58.2,811,417,21,FALSE,180
10,Elijah Sarratt,Indiana,44,62.2,-5.1,67.3,55.7,806,406,22,FALSE,209
11,Omar Cooper Jr.,Indiana,76,61.1,3.0,58.1,64.9,961,406,21,FALSE,201
12,Germie Bernard,Alabama,52,59.5,-4.7,64.2,53.5,862,523,21,FALSE,204
13,Skyler Bell,UConn,88,59.2,3.2,56.0,63.3,1276,451,23,FALSE,185
14,Brenen Thompson,Mississippi State,113,58.6,5.8,52.8,66.0,1054,390,22,FALSE,170
15,Amare Thomas,Houston,250,58.6,13.6,45.0,76.2,966,377,19,FALSE,205
16,Ja'Kobi Lane,USC,65,58.3,-2.2,60.5,55.5,745,420,21,FALSE,200
17,Antonio Williams,Georgia Southern,85,56.5,0.0,56.5,,,431,MISSING,MISSING,210
18,Malachi Fields,Notre Dame,89,55.6,-0.3,55.9,55.3,630,322,22,TRUE,223
19,Hank Beatty,Illinois,250,53.4,8.4,45.0,64.2,864,372,21,FALSE,185
20,C.J. Daniels,Liberty,112,52.9,0.0,52.9,,,316,MISSING,MISSING,205
21,Lewis Bond,Boston College,185,52.6,5.0,47.6,59.1,1010,454,22,TRUE,190
22,Ted Hurst,Georgia State,132,51.0,0.0,51.0,,1004,475,MISSING,MISSING,185
