name,position,college,pick,age,rec_yards,team_pass_att,slap_score,draft_capital_score,breakout_score,nfl_ppr,nfl_games
Breece Hall,RB,Iowa St.,36,21,,,92.9,92.9,,115.10000000000001,7
Kenneth Walker III,RB,Michigan St.,41,21,,,87.0,87.0,,202.5,15
James Cook,RB,Georgia,63,22,284,407,71.0,70.0,72.4,105.7,16
Rachaad White,RB,Arizona St.,91,23,,,58.0,58.0,,141.1,16
Tyrion Davis-Price,RB,LSU,93,21,64,443,43.3,57.4,25.2,9.9,5
Brian Robinson Jr.,RB,Alabama,98,23,296,571,54.0,55.9,51.6,112.7,12
Dameon Pierce,RB,Florida,107,22,216,416,54.8,53.4,56.7,166.4,13
Zamir White,RB,Georgia,122,22,75,407,40.1,50.0,27.3,7.000000000000001,11
Isaiah Spiller,RB,Texas A&M,123,21,189,370,54.7,49.8,61.0,8.4,5
Pierre Strong,RB,South Dakota St.,127,23,,,49.0,49.0,,27.2,4
Hassan Haskins,RB,Michigan,131,22,131,395,44.7,48.2,40.2,26.0,7
Tyler Allgeier,RB,BYU,151,22,199,389,49.7,44.8,56.1,159.4,16
Snoop Conner,RB,Mississippi,154,22,,,44.4,44.4,,10.2,5
Jerome Ford,RB,Cincinnati,156,22,220,400,50.8,44.1,59.4,1.2000000000000002,2
Kyren Williams,RB,Notre Dame,164,22,,,43.0,43.0,,30.5,8
Ty Chandler,RB,North Carolina,169,24,,,42.3,42.3,,2.0,1
Kevin Harris,RB,South Carolina,183,21,,,40.6,40.6,,11.2,5
Tyler Badie,RB,Missouri,196,22,,,39.2,39.2,,9.4,1
Keaontay Ingram,RB,USC,201,22,,500,38.7,38.7,,18.099999999999998,10
Trestan Ebner,RB,Baylor,203,23,,365,38.5,38.5,,8.200000000000001,7
Brittain Brown,RB,UCLA,250,24,,,34.6,34.6,,,0
Isiah Pacheco,RB,Rutgers,251,23,,,34.5,34.5,,135.0,17
Zander Horvath,RB,Purdue,260,23,,576,33.9,33.9,,18.6,8
Drake London,WR,USC,8,21,1084,500,70.8,87.4,49.5,178.6,17
Garrett Wilson,WR,Ohio St.,10,22,,,80.7,80.7,,215.7,17
Chris Olave,WR,Ohio St.,11,22,,,78.1,78.1,,198.20000000000002,15
Jameson Williams,WR,Alabama,12,21,1572,571,68.8,75.8,59.8,15.100000000000001,6
Jahan Dotson,WR,Penn St.,16,22,,,68.9,68.9,,130.6,12
Treylon Burks,WR,Arkansas,18,22,1104,314,66.7,66.4,67.0,88.1,11
Christian Watson,WR,North Dakota St.,34,23,,,54.9,54.9,,164.10000000000002,14
Wan'Dale Robinson,WR,Kentucky,43,21,1334,366,62.0,51.5,75.4,51.599999999999994,6
John Metchie,WR,Alabama,44,22,1142,571,47.7,51.2,43.1,,0
Tyquan Thornton,WR,Baylor,50,21,948,365,52.8,49.5,57.0,66.3,12
George Pickens,WR,Georgia,52,21,107,407,34.6,49.0,16.1,166.5,17
Alec Pierce,WR,Cincinnati,53,22,884,400,47.8,48.8,46.4,112.30000000000001,16
Skyy Moore,WR,Western Michigan,54,21,1292,368,59.3,48.6,73.1,49.4,14
Velus Jones Jr.,WR,Tennessee,71,25,807,375,40.5,45.5,34.1,38.0,9
Jalen Tolbert,WR,South Alabama,88,23,1474,407,51.6,43.3,62.3,3.2,2
David Bell,WR,Purdue,99,21,1286,576,45.9,42.2,50.6,45.4,14
Danny Gray,WR,SMU,105,23,803,468,39.0,41.7,35.6,2.9,5
Erik Ezukanma,WR,Texas Tech,125,22,705,388,40.2,40.2,40.2,1.3,1
Romeo Doubs,WR,Nevada,132,22,1109,572,40.8,39.8,42.1,101.6,13
Calvin Austin III,WR,Memphis,138,23,1149,445,43.1,39.5,47.7,,0
Khalil Shakir,WR,Boise St.,148,22,,,38.9,38.9,,34.1,10
Montrell Washington,WR,Samford,162,23,124,,38.3,38.3,,7.2,9
Kyle Philips,WR,UCLA,163,23,,,38.3,38.3,,15.8,4
Jalen Nailor,WR,Michigan St.,191,23,,,37.2,37.2,,32.9,5
Michael Woods II,WR,Oklahoma,202,22,,,36.8,36.8,,9.0,6
Bo Melton,WR,Rutgers,229,23,,,36.1,36.1,,,0
Dareke Young,WR,Lenoir-Rhyne,233,23,,,36.0,36.0,,4.4,1
Samori Toure,WR,Nebraska,258,24,,,35.4,35.4,,19.2,4
