player_name,position,draft_year,pick,round,college,dc,prod,ras,slap,hit24,hit12,best_ppr,slap_tier,dc_tier,delta_vs_dc
Amari Cooper,WR,2015,4,1,Alabama,96.73123522513825,99.9,85.7,95.71030289633988,1,1.0,246.5,90+,90+,-1.0209323287983665
Kevin White,WR,2015,7,1,West Virginia,94.38004324460745,98.39359378791556,97.2,95.60574686657795,0,0.0,38.6,90+,90+,1.2257036219704958
DeVante Parker,WR,2015,14,1,Louisville,90.07432750763405,92.39645692464505,97.5,91.65260426489114,1,1.0,246.2,90+,90+,1.5782767572570862
Phillip Dorsett,WR,2015,29,1,Miami (FL),83.040327760146,98.56935305331776,84.7,86.39508365475845,0,0.0,100.8,80-89,80-89,3.3547558946124525
Breshad Perriman,WR,2015,26,1,Central Florida,84.3076609651975,83.31480876103302,99.5,86.38794137958497,0,0.0,138.1,80-89,80-89,2.080280414387474
Nelson Agholor,WR,2015,20,1,USC,87.02377097693456,81.20501516118736,73.8,83.87645416724493,1,0.0,187.5,80-89,80-89,-3.1473168096896273
Devin Smith,WR,2015,37,2,Ohio St.,79.88373711084623,93.42151913368531,86.1,83.52373294878711,0,0.0,26.5,80-89,70-79,3.639995837940887
Chris Conley,WR,2015,76,3,Georgia,67.21839332711826,94.79478101232625,96.8,77.17091186509212,0,0.0,156.5,70-79,60-69,9.952518537973859
Dorial Green-Beckham,WR,2015,40,2,Oklahoma,78.76865523265029,80.9132950610534,63.0,76.83228491343337,0,0.0,112.9,70-79,70-79,-1.9363703192169197
Tyler Lockett,WR,2015,69,3,Kansas St.,69.2641833889955,99.9,77.1,76.56671920284708,1,1.0,265.4,70-79,60-69,7.302535813851577
Devin Funchess,WR,2015,41,2,Michigan,78.40408953083528,83.97404505386876,52.599999999999994,75.64746720581668,0,0.0,0.0,70-79,70-79,-2.756622325018597
Jaelen Strong,WR,2015,70,3,Arizona St.,68.96725571920754,80.54332362866407,91.4,74.64738094321771,0,0.0,48.1,70-79,60-69,5.680125224010169
Sammie Coates,WR,2015,87,3,Auburn,64.14280026523261,78.77427782707285,98.6,72.23767573781578,0,0.0,77.9,70-79,60-69,8.094875472583169
Ty Montgomery,WR,2015,94,3,Stanford,62.262482221264236,90.0,77.5,70.09561344382175,0,0.0,140.5,70-79,60-69,7.833131222557512
Melvin Gordon,RB,2015,15,1,Wisconsin,89.53565074279604,28.50931677018633,87.4,67.85608624096324,1,1.0,288.1,60-69,80-89,-21.6795645018328
Todd Gurley,RB,2015,10,1,Georgia,92.39513479671196,30.0,66.5,66.67256739835598,1,1.0,385.3,60-69,90+,-25.722567398355977
Ameer Abdullah,RB,2015,54,2,Nebraska,73.9360365676696,44.958217270194986,86.6,65.69339432840304,0,0.0,125.2,60-69,70-79,-8.242642239266559
Justin Hardy,WR,2015,107,4,East Carolina,58.906016650653214,95.78943856957,48.7,64.75179853683859,0,0.0,65.3,60-69,50-59,5.845781886185378
Kenny Bell,WR,2015,162,5,Nebraska,46.15155112223164,93.39544795067101,92.0,62.477597819584766,0,0.0,0.0,60-69,<50,16.326046697353128
Jay Ajayi,RB,2015,149,5,Boise St.,48.99440866994782,71.1751662971175,86.30000000000001,62.353512538965035,1,1.0,215.3,60-69,<50,13.359103869017211
Jamison Crowder,WR,2015,105,4,Duke,59.41186469623246,95.79679243533883,13.100000000000001,59.74207053961888,0,0.0,197.7,50-59,50-59,0.3302058433864161
T.J. Yeldon,RB,2015,36,2,Alabama,80.26299861749231,25.08710801393728,70.5,59.48698711362421,1,0.0,173.1,50-59,80-89,-20.776011503868105
Rashad Greene,WR,2015,139,5,Florida St.,51.245903565087225,90.0,53.7,59.364837317306694,0,0.0,46.3,50-59,50-59,8.11893375221947
JJ Nelson,WR,2015,159,5,Ala-Birmingham,46.79965853300224,92.09206094269335,68.9,59.17319023499012,0,0.0,139.1,50-59,<50,12.373531701987886
DeAndre Smelter,WR,2015,132,4,Georgia Tech,52.85873645151093,68.94106523794517,68.9,58.481391741071135,0,0.0,3.3,50-59,50-59,5.622655289560207
Javorius Allen,RB,2015,125,4,USC,54.50441856810307,54.04968944099379,80.19999999999999,58.19960058839936,1,0.0,166.1,50-59,50-59,3.6951820202962935
Tevin Coleman,RB,2015,73,3,Indiana,68.08599462283559,27.028753993610223,97.2,58.083061209181366,1,0.0,193.6,50-59,60-69,-10.002933413654219
David Johnson,RB,2015,86,3,Northern Iowa,64.41603636571921,30.0,98.4,57.4680181828596,1,1.0,407.8,50-59,60-69,-6.948018182859606
Stefon Diggs,WR,2015,146,5,Maryland,49.66365676525262,78.49476993216538,56.6,56.47033088384728,1,1.0,328.6,50-59,<50,6.806674118594664
Vince Mayle,WR,2015,123,4,Washington St.,54.980997846306835,61.46807397069086,46.3,54.97626339423761,0,0.0,6.2,50-59,50-59,-0.004734452069222073
Duke Johnson,RB,2015,77,3,Miami (FL),66.9320986936365,30.0,69.80000000000001,54.43604934681825,1,1.0,216.1,50-59,60-69,-12.496049346818253
Tony Lippett,WR,2015,156,5,Michigan St.,47.452429780384286,84.31634531211421,39.900000000000006,53.692348419672626,0,0.0,0.0,50-59,<50,6.239918639288341
Mike Davis,RB,2015,126,4,South Carolina,54.26721625603232,47.179487179487175,60.9,52.78142864083667,1,1.0,206.5,50-59,50-59,-1.4857876151956475
Keith Mumphery,WR,2015,175,5,Michigan St.,43.39418247364378,75.0,43.6,49.74621860786846,0,0.0,26.9,<50,<50,6.352036134224676
David Cobb,RB,2015,138,5,Minnesota,51.47438583883613,38.26771653543307,45.5,45.95589370681964,0,0.0,21.4,<50,50-59,-5.51849213201649
Karlos Williams,RB,2015,155,5,Florida St.,47.67107791381047,30.81395348837209,64.1,44.23542267783546,0,0.0,124.3,<50,<50,-3.4356552359750125
Jeremy Langford,RB,2015,106,4,Michigan St.,59.158487311545166,8.857142857142856,75.19999999999999,43.95924365577258,0,0.0,147.6,<50,50-59,-15.199243655772584
Matt Jones,RB,2015,95,3,Florida,61.99827790606109,12.037037037037035,52.300000000000004,43.057101915993506,0,0.0,116.4,<50,60-69,-18.941175990067585
Cameron Artis-Payne,RB,2015,174,5,Auburn,43.60345922205765,22.771084337349397,60.0,38.771609129101115,0,0.0,35.1,<50,<50,-4.831850092956536
Corey Coleman,WR,2016,15,1,Baylor,89.53565074279604,69.9,96.6,86.66817298281742,0,0.0,93.3,80-89,80-89,-2.8674777599786125
Josh Doctson,WR,2016,22,1,TCU,86.0877712199221,51.31883539676323,94.1,80.335818372302,0,0.0,119.8,80-89,80-89,-5.751952847620103
Will Fuller,WR,2016,21,1,Notre Dame,86.55153502322084,60.0,71.7,79.01349776509355,0,0.0,188.9,70-79,80-89,-7.538037258127289
Laquon Treadwell,WR,2016,23,1,Mississippi,85.63195232697663,79.48205667005942,33.3,76.5521803465467,0,0.0,82.4,70-79,80-89,-9.079771980429925
Ezekiel Elliott,RB,2016,4,1,Ohio St.,96.73123522513825,39.841758241758235,86.5,75.28523299718451,1,1.0,329.1,70-79,90+,-21.44600222795374
Michael Thomas,WR,2016,47,2,Ohio St.,76.2836840704932,54.79526208596849,91.1,74.20844706301428,1,1.0,374.6,70-79,70-79,-2.0752370074789184
Sterling Shepard,WR,2016,40,2,Oklahoma,78.76865523265029,50.2747851906351,76.2,72.68458293934971,0,0.0,184.4,70-79,70-79,-6.084072293300579
Tyler Boyd,WR,2016,55,2,Pittsburgh,73.61036829159038,81.48506860371268,42.699999999999996,70.54875311027628,1,0.0,222.9,70-79,70-79,-3.061615181314096
Leonte Carroo,WR,2016,86,3,Rutgers,64.41603636571921,69.9,69.6,66.2904236377175,0,0.0,18.8,60-69,60-69,1.8743872719982875
Ricardo Louis,WR,2016,114,4,Auburn,57.16316107479519,65.97136772361571,92.30000000000001,64.19532824334003,0,0.0,62.7,60-69,50-59,7.032167168544838
Braxton Miller,WR,2016,85,3,Ohio St.,64.69048249230454,45.0,85.9,63.93381361999795,0,0.0,41.3,60-69,60-69,-0.7566688723065909
