player_name,draft_year,pick,breakout_age,peak_dominator,score_current,score_option_a,score_option_b,score_option_c,best_ppr,hit24,dc_score
Jha'Quan Jackson,2024,182,18.0,20.1,100,91.0,100.0,95.0,1.3,0,41.94175972374306
D'Wayne Eskridge,2021,56,18.0,45.1,100,91.0,100.0,95.0,28.3,0,73.28694247866397
Ronnie Bell,2023,253,18.0,28.9,100,91.0,100.0,95.0,30.8,0,28.244056507249695
Corey Coleman,2016,15,18.0,350.39,100,98.5117,100.0,99.29128571428572,93.3,0,89.53565074279604
Michael Wilson,2023,94,18.0,21.5,100,91.0,100.0,95.0,124.5,0,62.262482221264236
Marcell Ateman,2018,228,18.0,134.62,100,92.0386,100.0,96.20885714285714,36.4,0,32.876624975929246
Richie James,2018,240,18.0,243.51,100,95.3053,100.0,97.76442857142857,157.70000000000002,0,30.630121407180937
Auden Tate,2018,253,18.0,44.52,100,91.0,100.0,95.0,101.5,0,28.244056507249695
J'Mon Moore,2018,133,18.0,150.46,100,92.5138,100.0,96.43514285714286,3.5,0,52.626376413965254
Justin Watson,2018,144,18.0,116.74,100,91.5022,100.0,95.95342857142857,104.0,0,50.1127276424061
Marquez Valdes-Scantling,2018,174,18.0,65.96,100,91.0,100.0,95.228,166.1,0,43.60345922205765
Equanimeous St. Brown,2018,207,18.0,314.12,100,97.4236,100.0,98.77314285714286,62.7,0,36.919368987448195
Cedrick Wilson Jr.,2018,208,18.0,342.64,100,98.2792,100.0,99.18057142857143,76.3,0,36.72342304569737
Will Fuller,2016,21,18.0,175.97,100,93.2791,100.0,96.79957142857143,188.9,0,86.55153502322084
Josh Doctson,2016,22,18.0,256.67,100,95.7001,100.0,97.95242857142857,119.8,0,86.0877712199221
Sterling Shepard,2016,40,18.0,273.58,100,96.20739999999999,100.0,98.194,194.7,0,78.76865523265029
Michael Thomas,2016,47,18.0,253.61,100,95.6083,100.0,97.90871428571428,388.6,1,76.2836840704932
Tyler Boyd,2016,55,18.0,254.52,100,95.6356,100.0,97.92171428571429,222.9,1,73.61036829159038
Braxton Miller,2016,85,18.0,200.43,100,94.0129,100.0,97.149,41.3,0,64.69048249230454
