player_name,pick,draft_year,draft_age,college,current_ed,source,cfbd_seasons,correct_ed,changed,status,notes
Travis Hunter,2,2025,22.0,Colorado,1,derived,3,1,OK,RESOLVED,"Transfer: Jackson State(2022-2022), Colorado(2023-2024)"
Marvin Harrison Jr.,4,2024,22.0,Ohio St.,1,derived,3,1,OK,RESOLVED,"Ohio State: [2021, 2022, 2023]"
Malik Nabers,6,2024,21.0,LSU,1,derived,3,1,OK,RESOLVED,"LSU: [2021, 2022, 2023]"
Tetairoa McMillan,8,2025,22.0,Arizona,1,derived,3,1,OK,RESOLVED,"Arizona: [2022, 2023, 2024]"
Rome Odunze,9,2024,22.0,Washington,0,derived,4,0,OK,RESOLVED,"Washington: [2020, 2021, 2022, 2023]"
Chris Olave,11,2022,21.0,Ohio St.,0,existing,4,0,OK,RESOLVED,"Ohio State: [2018, 2019, 2020, 2021]"
Emeka Egbuka,19,2025,22.0,Ohio State,0,derived,4,0,OK,RESOLVED,"Ohio State: [2021, 2022, 2023, 2024]"
Brian Thomas,23,2024,21.0,LSU,1,derived,2,1,OK,RESOLVED,"Transfer: Murray State(2022-2022), Valparaiso(2023-2023)"
Matthew Golden,23,2025,22.0,Texas,1,derived,3,1,OK,RESOLVED,"Transfer: Houston(2022-2023), Texas(2024-2024)"
Xavier Worthy,28,2024,21.0,Texas,1,derived,3,1,OK,RESOLVED,"Texas: [2021, 2022, 2023]"
Ricky Pearsall,31,2024,23.0,Florida,0,derived,5,0,OK,RESOLVED,"Transfer: Florida(2022-2023), Arizona State(2019-2021)"
Xavier Legette,32,2024,23.0,South Carolina,0,derived,5,0,OK,RESOLVED,"South Carolina: [2019, 2020, 2021, 2022, 2023]"
Keon Coleman,33,2024,21.0,Florida St.,1,derived,3,1,OK,RESOLVED,"Transfer: Michigan State(2021-2022), Florida State(2023-2023)"
Ladd McConkey,34,2024,22.0,Georgia,1,derived,4,0,CHANGED,RESOLVED,"Georgia: [2020, 2021, 2022, 2023]"
Jayden Higgins,34,2025,22.0,Iowa State,0,derived,3,1,CHANGED,RESOLVED,"Transfer: Iowa State(2023-2024), Eastern Kentucky(2022-2022)"
Luther Burden III,39,2025,21.0,Missouri,1,derived,3,1,OK,RESOLVED,"Missouri: [2022, 2023, 2024]"
Tyquan Thornton,50,2022,21.0,Baylor,0,existing,4,0,OK,RESOLVED,"Baylor: [2018, 2019, 2020, 2021]"
Adonai Mitchell,52,2024,21.0,Texas,1,derived,3,1,OK,RESOLVED,"Transfer: Georgia(2021-2022), Texas(2023-2023)"
Tre Harris,55,2025,23.0,Ole Miss,0,derived,5,0,OK,RESOLVED,"Transfer: Louisiana Tech(2020-2022), Ole Miss(2023-2024)"
Parris Campbell,59,2019,21.0,Ohio St.,0,existing,5,0,OK,RESOLVED,"Ohio State: [2014, 2015, 2016, 2017, 2018]"
DJ Chark,61,2018,21.0,LSU,0,existing,1,1,CHANGED,RESOLVED,LSU: [2017]
Malachi Corley,65,2024,22.0,Western Kentucky,0,derived,4,0,OK,RESOLVED,"Western Kentucky: [2020, 2021, 2022, 2023]"
Kyle Williams,69,2025,22.0,Washington State,0,derived,6,0,OK,RESOLVED,"Transfer: UNLV(2020-2022), Washington State(2023-2024), Arizona State(2019-2019)"
Isaac TeSlaa,70,2025,23.0,Arkansas,0,derived,2,1,CHANGED,RESOLVED,"Arkansas: [2023, 2024]"
Pat Bryant,74,2025,22.0,Illinois,0,derived,4,0,OK,RESOLVED,"Illinois: [2021, 2022, 2023, 2024]"
Josh Palmer,77,2021,21.0,Tennessee,0,existing,4,0,OK,RESOLVED,"Tennessee: [2017, 2018, 2019, 2020]"
Jermaine Burton,80,2024,23.0,Alabama,0,derived,4,0,OK,RESOLVED,"Transfer: Georgia(2020-2021), Alabama(2022-2023)"
Roman Wilson,84,2024,23.0,Michigan,0,derived,4,0,OK,RESOLVED,"Michigan: [2020, 2021, 2022, 2023]"
Amari Rodgers,85,2021,21.0,Clemson,0,existing,4,0,OK,RESOLVED,"Clemson: [2017, 2018, 2019, 2020]"
Jalen McMillan,92,2024,22.0,Washington,0,derived,4,0,OK,RESOLVED,"Washington: [2020, 2021, 2022, 2023]"
Luke McCaffrey,100,2024,23.0,Rice,0,derived,5,0,OK,RESOLVED,"Transfer: Nebraska(2019-2020), Rice(2021-2023)"
Troy Franklin,102,2024,21.0,Oregon,1,derived,3,1,OK,RESOLVED,"Oregon: [2021, 2022, 2023]"
Chimere Dike,103,2025,23.0,Florida,0,derived,5,0,OK,RESOLVED,"Transfer: Wisconsin(2020-2023), Florida(2024-2024)"
Jamison Crowder,105,2015,21.0,Duke,0,existing,4,0,OK,RESOLVED,"Duke: [2011, 2012, 2013, 2014]"
Javon Baker,110,2024,22.0,Central Florida,0,derived,4,0,OK,RESOLVED,"Transfer: Alabama(2020-2021), UCF(2022-2023)"
Devontez Walker,113,2024,23.0,North Carolina,0,derived,3,1,CHANGED,RESOLVED,"Transfer: Kent State(2021-2022), North Carolina(2023-2023)"
Tylan Wallace,131,2021,21.0,Oklahoma St.,0,existing,4,0,OK,RESOLVED,"Oklahoma State: [2017, 2018, 2019, 2020]"
Jacob Cowing,135,2024,23.0,Arizona,0,derived,5,0,OK,RESOLVED,"Transfer: Arizona(2022-2023), UTEP(2019-2021)"
Elic Ayomanor,136,2025,22.0,Stanford,1,derived,3,1,OK,RESOLVED,"Stanford: [2022, 2023, 2024]"
Tajae Sharpe,140,2016,21.0,Massachusetts,0,existing,4,0,OK,RESOLVED,"Massachusetts: [2012, 2013, 2014, 2015]"
Anthony Gould,142,2024,23.0,Oregon St.,0,derived,5,0,OK,RESOLVED,"Oregon State: [2019, 2020, 2021, 2022, 2023]"
Ainias Smith,152,2024,23.0,Texas A&M,0,derived,5,0,OK,RESOLVED,"Texas A&M: [2019, 2020, 2021, 2022, 2023]"
Jamari Thrash,156,2024,23.0,Louisville,0,derived,5,0,OK,RESOLVED,"Transfer: Louisville(2023-2023), Georgia State(2019-2022)"
Ihmir Smith-Marsette,157,2021,21.0,Iowa,0,existing,4,0,OK,RESOLVED,"Iowa: [2017, 2018, 2019, 2020]"
