prospect,position,prospect_college,prospect_pick,prospect_year,comp_rank,comp_player,comp_college,comp_pick,comp_year,similarity_score,comparison_coverage,dominant_category,category_breakdown,hit24,hit12,career_ppg,first_3yr_ppg,nfl_best_season_ppg
Jeremiyah Love,RB,Notre Dame,0,2026,1,Ezekiel Elliott,Ohio St.,0,2016,91.5,0.442,size_speed,draft_capital=0.07; size_speed=0.77; production=0.38; slap_score=0.24,1.0,1.0,21.94,21.94,21.8
Jeremiyah Love,RB,Notre Dame,0,2026,2,Leonard Fournette,LSU,0,2017,88.6,0.442,production,draft_capital=0.07; size_speed=0.32; production=0.71; slap_score=0.43,1.0,1.0,18.257143,17.707692,17.04705882352941
Jeremiyah Love,RB,Notre Dame,0,2026,3,Omarion Hampton,North Carolina,0,2025,87.1,0.442,size_speed,draft_capital=0.05; size_speed=0.91; production=0.75; slap_score=0.36,0.0,0.0,15.077778,15.077778,7.98235294117647
Jeremiyah Love,RB,Notre Dame,0,2026,4,Bijan Robinson,Texas,0,2023,86.1,0.442,size_speed,draft_capital=0.02; size_speed=1.32; production=0.73; slap_score=0.22,1.0,1.0,22.047059,22.047059,20.1
Jeremiyah Love,RB,Notre Dame,0,2026,5,Jonathan Taylor,Wisconsin,0,2020,83.9,0.442,slap_score,draft_capital=0.28; size_speed=0.44; production=0.29; slap_score=0.89,1.0,1.0,21.947059,21.947059,21.947058823529414
Jeremiyah Love,RB,Notre Dame,0,2026,6,Jahmyr Gibbs,Alabama,0,2023,82.4,0.442,production,draft_capital=0.01; size_speed=1.12; production=1.29; slap_score=0.01,1.0,1.0,21.682353,21.682353,22.96470588235294
Jeremiyah Love,RB,Notre Dame,0,2026,7,Christian McCaffrey,Stanford,0,2017,80.9,0.442,size_speed,draft_capital=0.02; size_speed=2.46; production=0.22; slap_score=0.04,1.0,1.0,29.45,29.45,28.25294117647059
Jeremiyah Love,RB,Notre Dame,0,2026,8,Breece Hall,Iowa St.,0,2022,80.1,0.442,production,draft_capital=0.20; size_speed=0.21; production=1.06; slap_score=0.90,1.0,1.0,17.088235,17.088235,17.08823529411765
Jeremiyah Love,RB,Notre Dame,0,2026,9,Josh Jacobs,Alabama,0,2019,79.2,0.442,size_speed,draft_capital=0.07; size_speed=1.12; production=1.00; slap_score=0.87,1.0,1.0,19.311765,15.42,19.31176470588236
Jeremiyah Love,RB,Notre Dame,0,2026,10,Rashaad Penny,San Diego St.,0,2018,78.5,0.442,slap_score,draft_capital=0.10; size_speed=0.98; production=0.95; slap_score=0.99,0.0,0.0,12.17,8.366667,7.158823529411765
