prospect,position,prospect_college,prospect_pick,prospect_year,comp_rank,comp_player,comp_college,comp_pick,comp_year,similarity_score,comparison_coverage,dominant_category,category_breakdown,hit24,hit12,career_ppg,first_3yr_ppg,nfl_best_season_ppg
Melvin Gordon,RB,Wisconsin,0,2015,1,Ashton Jeanty,Boise St.,0,2025,90.3,0.442,production,draft_capital=0.07; size_speed=0.08; production=0.80; slap_score=0.10,1.0,1.0,14.535294,14.535294,14.53529411764706
Melvin Gordon,RB,Wisconsin,0,2015,2,Sony Michel,Georgia,0,2018,89.4,0.442,slap_score,draft_capital=0.09; size_speed=0.31; production=0.32; slap_score=0.57,0.0,0.0,10.7,10.7,12.388235294117647
Melvin Gordon,RB,Wisconsin,0,2015,3,Kerryon Johnson,Auburn,0,2018,89.0,0.442,production,draft_capital=0.28; size_speed=0.47; production=0.55; slap_score=0.44,0.0,0.0,13.94,13.94,8.200000000000001
Melvin Gordon,RB,Wisconsin,0,2015,4,Javonte Williams,North Carolina,0,2021,89.0,0.442,production,draft_capital=0.13; size_speed=0.56; production=0.83; slap_score=0.09,1.0,1.0,15.425,12.052941,12.052941176470588
Melvin Gordon,RB,Wisconsin,0,2015,5,Rashaad Penny,San Diego St.,0,2018,88.6,0.442,size_speed,draft_capital=0.07; size_speed=1.11; production=0.60; slap_score=0.12,0.0,0.0,12.17,8.366667,7.158823529411765
Melvin Gordon,RB,Wisconsin,0,2015,6,D'Andre Swift,Georgia,0,2020,88.3,0.442,production,draft_capital=0.13; size_speed=0.31; production=0.85; slap_score=0.30,1.0,0.0,16.069231,16.069231,12.617647058823527
Melvin Gordon,RB,Wisconsin,0,2015,7,RJ Harvey,Central Florida,0,2025,87.5,0.442,size_speed,draft_capital=0.43; size_speed=0.86; production=0.59; slap_score=0.36,1.0,0.0,12.270588,12.270588,12.270588235294117
Melvin Gordon,RB,Wisconsin,0,2015,8,J.K. Dobbins,Ohio St.,0,2020,85.2,0.442,production,draft_capital=0.40; size_speed=0.39; production=0.86; slap_score=0.54,1.0,0.0,14.753846,11.233333,11.43529411764706
Melvin Gordon,RB,Wisconsin,0,2015,9,Ezekiel Elliott,Ohio St.,0,2016,84.9,0.442,size_speed,draft_capital=0.10; size_speed=1.32; production=0.27; slap_score=0.64,1.0,1.0,21.94,21.94,21.8
Melvin Gordon,RB,Wisconsin,0,2015,10,Josh Jacobs,Alabama,0,2019,84.9,0.442,production,draft_capital=0.04; size_speed=0.97; production=1.10; slap_score=0.00,1.0,1.0,19.311765,15.42,19.31176470588236
Todd Gurley,RB,Georgia,0,2015,1,Sony Michel,Georgia,0,2018,90.9,0.442,size_speed,draft_capital=0.12; size_speed=0.77; production=0.25; slap_score=0.36,0.0,0.0,10.7,10.7,12.388235294117647
Todd Gurley,RB,Georgia,0,2015,2,Rashaad Penny,San Diego St.,0,2018,89.9,0.442,production,draft_capital=0.10; size_speed=0.66; production=0.72; slap_score=0.09,0.0,0.0,12.17,8.366667,7.158823529411765
Todd Gurley,RB,Georgia,0,2015,3,Nick Chubb,Georgia,0,2018,88.8,0.442,slap_score,draft_capital=0.16; size_speed=0.32; production=0.20; slap_score=0.62,1.0,1.0,17.308333,17.308333,16.552941176470586
Todd Gurley,RB,Georgia,0,2015,4,Kerryon Johnson,Auburn,0,2018,88.4,0.442,production,draft_capital=0.31; size_speed=0.01; production=0.86; slap_score=0.23,0.0,0.0,13.94,13.94,8.200000000000001
Todd Gurley,RB,Georgia,0,2015,5,Ashton Jeanty,Boise St.,0,2025,87.8,0.442,production,draft_capital=0.04; size_speed=0.37; production=0.89; slap_score=0.31,1.0,1.0,14.535294,14.535294,14.53529411764706
Todd Gurley,RB,Georgia,0,2015,6,Derrius Guice,LSU,0,2018,87.5,0.442,slap_score,draft_capital=0.44; size_speed=0.52; production=0.39; slap_score=0.57,0.0,0.0,,,3.3764705882352946
Todd Gurley,RB,Georgia,0,2015,7,D'Andre Swift,Georgia,0,2020,86.3,0.442,production,draft_capital=0.16; size_speed=0.15; production=1.13; slap_score=0.09,1.0,0.0,16.069231,16.069231,12.617647058823527
Todd Gurley,RB,Georgia,0,2015,8,Miles Sanders,Penn St.,0,2019,86.1,0.442,production,draft_capital=0.40; size_speed=0.34; production=0.64; slap_score=0.61,1.0,0.0,14.2,14.2,14.4
Todd Gurley,RB,Georgia,0,2015,9,Royce Freeman,Oregon,0,2018,85.7,0.442,slap_score,draft_capital=0.57; size_speed=0.19; production=0.55; slap_score=0.64,0.0,0.0,8.8875,8.8875,8.364705882352942
Todd Gurley,RB,Georgia,0,2015,10,RJ Harvey,Central Florida,0,2025,85.6,0.442,production,draft_capital=0.46; size_speed=0.41; production=1.07; slap_score=0.16,1.0,0.0,12.270588,12.270588,12.270588235294117
Duke Johnson,RB,Miami (FL),0,2015,1,Alvin Kamara,Tennessee,0,2017,96.9,0.442,size_speed,draft_capital=0.13; size_speed=0.21; production=0.18; slap_score=0.03,1.0,1.0,25.186667,23.613333,24.170588235294115
Duke Johnson,RB,Miami (FL),0,2015,2,Kareem Hunt,Toledo,0,2017,92.5,0.442,size_speed,draft_capital=0.09; size_speed=0.36; production=0.29; slap_score=0.35,1.0,1.0,20.927273,20.927273,18.17058823529412
Duke Johnson,RB,Miami (FL),0,2015,3,Zack Moss,Utah,0,2020,92.2,0.442,production,draft_capital=0.09; size_speed=0.28; production=0.62; slap_score=0.03,0.0,0.0,12.114286,8.092308,9.976470588235294
Duke Johnson,RB,Miami (FL),0,2015,4,Zach Charbonnet,UCLA,0,2023,91.2,0.442,size_speed,draft_capital=0.29; size_speed=0.57; production=0.56; slap_score=0.07,0.0,0.0,11.2125,11.2125,10.805882352941175
Duke Johnson,RB,Miami (FL),0,2015,5,Javonte Williams,North Carolina,0,2021,88.5,0.442,production,draft_capital=0.50; size_speed=0.20; production=0.66; slap_score=0.34,1.0,1.0,15.425,12.052941,12.052941176470588
Duke Johnson,RB,Miami (FL),0,2015,6,Darrell Henderson,Memphis,0,2019,88.4,0.442,size_speed,draft_capital=0.12; size_speed=0.67; production=0.67; slap_score=0.39,0.0,0.0,13.616667,13.616667,10.08235294117647
Duke Johnson,RB,Miami (FL),0,2015,7,James Cook,Georgia,0,2022,87.7,0.442,size_speed,draft_capital=0.18; size_speed=0.92; production=0.71; slap_score=0.30,1.0,1.0,18.129412,16.66875,19.076470588235296
Duke Johnson,RB,Miami (FL),0,2015,8,J.K. Dobbins,Ohio St.,0,2020,87.6,0.442,production,draft_capital=0.24; size_speed=0.36; production=0.89; slap_score=0.29,1.0,0.0,14.753846,11.233333,11.43529411764706
Duke Johnson,RB,Miami (FL),0,2015,9,Rachaad White,Arizona St.,0,2022,87.0,0.442,size_speed,draft_capital=0.20; size_speed=1.19; production=0.69; slap_score=0.22,1.0,1.0,15.758824,15.758824,17.38235294117647
Duke Johnson,RB,Miami (FL),0,2015,10,Dalvin Cook,Florida St.,0,2017,86.3,0.442,size_speed,draft_capital=0.38; size_speed=0.80; production=0.43; slap_score=0.60,1.0,1.0,24.128571,20.885714,19.87058823529412
Ameer Abdullah,RB,Nebraska,0,2015,1,J.K. Dobbins,Ohio St.,0,2020,89.7,0.442,size_speed,draft_capital=0.01; size_speed=1.16; production=0.42; slap_score=0.09,1.0,0.0,14.753846,11.233333,11.43529411764706
Ameer Abdullah,RB,Nebraska,0,2015,2,Zack Moss,Utah,0,2020,89.6,0.442,production,draft_capital=0.34; size_speed=0.52; production=0.69; slap_score=0.17,0.0,0.0,12.114286,8.092308,9.976470588235294
Ameer Abdullah,RB,Nebraska,0,2015,3,Tyjae Spears,Tulane,0,2023,88.5,0.442,size_speed,draft_capital=0.26; size_speed=1.11; production=0.18; slap_score=0.40,0.0,0.0,9.466667,9.466667,9.047058823529412
Ameer Abdullah,RB,Nebraska,0,2015,4,Alvin Kamara,Tennessee,0,2017,88.3,0.442,size_speed,draft_capital=0.12; size_speed=1.01; production=0.65; slap_score=0.23,1.0,1.0,25.186667,23.613333,24.170588235294115
Ameer Abdullah,RB,Nebraska,0,2015,5,Kareem Hunt,Toledo,0,2017,88.1,0.442,production,draft_capital=0.34; size_speed=0.44; production=0.87; slap_score=0.15,1.0,1.0,20.927273,20.927273,18.17058823529412
Ameer Abdullah,RB,Nebraska,0,2015,6,Javonte Williams,North Carolina,0,2021,87.5,0.442,size_speed,draft_capital=0.25; size_speed=1.00; production=0.18; slap_score=0.54,1.0,1.0,15.425,12.052941,12.052941176470588
Ameer Abdullah,RB,Nebraska,0,2015,7,Zach Charbonnet,UCLA,0,2023,87.3,0.442,size_speed,draft_capital=0.04; size_speed=1.37; production=0.58; slap_score=0.13,0.0,0.0,11.2125,11.2125,10.805882352941175
Ameer Abdullah,RB,Nebraska,0,2015,8,Darrell Henderson,Memphis,0,2019,86.9,0.442,size_speed,draft_capital=0.13; size_speed=1.47; production=0.48; slap_score=0.19,0.0,0.0,13.616667,13.616667,10.08235294117647
Ameer Abdullah,RB,Nebraska,0,2015,9,James Conner,Pittsburgh,0,2017,86.8,0.442,size_speed,draft_capital=0.58; size_speed=1.10; production=0.34; slap_score=0.37,1.0,1.0,21.538462,21.538462,16.470588235294116
Ameer Abdullah,RB,Nebraska,0,2015,10,Tarik Cohen,North Carolina A&T,0,2017,86.2,0.442,draft_capital,draft_capital=0.79; size_speed=0.30; production=0.77; slap_score=0.21,1.0,1.0,14.62125,14.62125,13.858823529411763
T.J. Yeldon,RB,Alabama,0,2015,1,J.K. Dobbins,Ohio St.,0,2020,93.3,0.442,production,draft_capital=0.22; size_speed=0.01; production=0.51; slap_score=0.03,1.0,0.0,14.753846,11.233333,11.43529411764706
T.J. Yeldon,RB,Alabama,0,2015,2,D'Andre Swift,Georgia,0,2020,92.2,0.442,size_speed,draft_capital=0.04; size_speed=0.71; production=0.36; slap_score=0.22,1.0,0.0,16.069231,16.069231,12.617647058823527
T.J. Yeldon,RB,Alabama,0,2015,3,TreVeyon Henderson,Ohio St.,0,2025,90.8,0.442,size_speed,draft_capital=0.04; size_speed=0.66; production=0.53; slap_score=0.26,1.0,0.0,12.247059,12.247059,12.24705882352941
T.J. Yeldon,RB,Alabama,0,2015,4,Darrell Henderson,Memphis,0,2019,90.5,0.442,production,draft_capital=0.34; size_speed=0.31; production=0.67; slap_score=0.12,0.0,0.0,13.616667,13.616667,10.08235294117647
T.J. Yeldon,RB,Alabama,0,2015,5,James Cook,Georgia,0,2022,90.5,0.442,production,draft_capital=0.28; size_speed=0.57; production=0.65; slap_score=0.03,1.0,1.0,18.129412,16.66875,19.076470588235296
T.J. Yeldon,RB,Alabama,0,2015,6,Cam Akers,Florida St.,0,2020,90.2,0.442,size_speed,draft_capital=0.17; size_speed=1.17; production=0.28; slap_score=0.03,0.0,0.0,9.42,9.42,8.588235294117647
T.J. Yeldon,RB,Alabama,0,2015,7,Kerryon Johnson,Auburn,0,2018,90.1,0.442,size_speed,draft_capital=0.11; size_speed=0.87; production=0.59; slap_score=0.07,0.0,0.0,13.94,13.94,8.200000000000001
T.J. Yeldon,RB,Alabama,0,2015,8,Zach Charbonnet,UCLA,0,2023,90.0,0.442,production,draft_capital=0.17; size_speed=0.21; production=0.77; slap_score=0.19,0.0,0.0,11.2125,11.2125,10.805882352941175
