rank,player_name,school,projected_pick,age,slap_score,dc_score,breakout_score,ras_score,delta_vs_dc,breakout_status,ras_status,breakout_age_raw,position,production_score,production_status,rec_yards,receptions,team_pass_att,season_year,school_used,overall_rank
1,Jeremiyah Love,Notre Dame,10,20,77.836335514298,92.39513479671196,,66.5,-14.558799282413958,,imputed,,RB,61.896480331262936,final_season,280.0,27.0,322.0,2025.0,Notre Dame,1
2,Jonah Coleman,Washington,56,22,66.4263991672599,73.28694247866397,,66.5,-6.860543311404072,,imputed,,RB,56.59407979407979,final_season,354.0,31.0,370.0,2025.0,Washington,2
1,Carnell Tate,Ohio State,4,20,65.18879175706526,46.707583514130526,90.0,68.9,18.481208242934734,observed,imputed,19.0,WR,,,,,,,,3
3,Emmett Johnson,Nebraska,83,21,64.9716743466364,65.24308414300828,,66.5,-0.27140979637187,,imputed,,RB,63.92894935752078,final_season,370.0,46.0,378.0,2025.0,Nebraska,4
2,Jordyn Tyson,Arizona State,7,21,53.43522362660044,33.70044725320087,75.0,68.9,19.73477637339957,observed,imputed,20.0,WR,,,,,,,,5
4,Nick Singleton,Penn State,118,21,52.608349147253826,56.18551835350469,,66.5,-3.577169206250865,,imputed,,RB,41.54454277286136,final_season,219.0,24.0,339.0,2025.0,Penn State,6
5,Jadarian Price,Notre Dame,79,21,48.85037611706085,66.36371289664757,,66.5,-17.513336779586723,,imputed,,RB,16.26719905353446,final_season,87.0,6.0,322.0,2025.0,Notre Dame,7
3,Kevin Concepcion,Texas A&M,27,20,48.79871384875799,13.927427697515984,90.0,68.9,34.871286151242,observed,imputed,19.0,WR,,,,,,,,8
4,Makai Lemon,USC,16,21,46.6156876355979,20.061375271195796,75.0,68.9,26.554312364402104,observed,imputed,20.0,WR,,,,,,,,9
5,Zachariah Branch,Georgia,47,21,46.316081391744135,8.962162783488271,90.0,68.9,37.35391860825587,observed,imputed,19.0,WR,,,,,,,,10
6,Amare Thomas,Houston,250,19,45.41309187632361,0.1561837526472186,100.0,68.9,45.256908123676396,observed,imputed,18.0,WR,,,,,,,,11
6,Mike Washington Jr.,Arkansas,163,22,44.97056211086317,45.93653104587332,,66.5,-0.965968935010153,,imputed,,RB,34.36370453693288,final_season,226.0,28.0,381.0,2025.0,Arkansas,12
7,Denzel Boston,Washington,24,21,44.17085247665273,15.17170495330546,75.0,68.9,28.999147523347276,observed,imputed,20.0,WR,,,,,,,,13
7,Demond Claiborne,Wake Forest,136,21,43.392198124923766,51.93324682456018,,66.5,-8.541048699636413,,imputed,,RB,21.28735632183908,final_season,140.0,28.0,406.0,2025.0,Wake Forest,14
8,Adam Randall,Clemson,180,21,43.09986364868711,42.354537423956494,,66.5,0.7453262247306185,,imputed,,RB,34.13598553345389,final_season,254.0,36.0,474.0,2025.0,Clemson,15
8,Noah Thomas,Georgia,196,21,42.34918469169263,1.0283693833852658,90.0,68.9,41.32081530830736,observed,imputed,19.0,WR,,,,,,,,16
11,Shelton Sampson Jr.,Louisiana,250,20,41.913091876323605,0.1561837526472186,90.0,68.9,41.75690812367639,observed,imputed,19.0,WR,,,,,,,,17
9,Barion Brown,LSU,250,21,41.913091876323605,0.1561837526472186,90.0,68.9,41.75690812367639,observed,imputed,19.0,WR,,,,,,,,18
10,Jaden Greathouse,Notre Dame,250,20,41.913091876323605,0.1561837526472186,90.0,68.9,41.75690812367639,observed,imputed,19.0,WR,,,,,,,,19
9,Kaytron Allen,Penn State,124,22,40.97213024284475,54.7423430815597,,66.5,-13.770212838714954,,imputed,,RB,10.359882005899705,final_season,68.0,18.0,339.0,2025.0,Penn State,20
12,Germie Bernard,Alabama,52,21,40.68291198463764,8.195823969275274,75.0,68.9,32.48708801536237,observed,imputed,20.0,WR,,,,,,,,21
13,Ja'Kobi Lane,USC,65,21,39.90269424857291,6.635388497145812,75.0,68.9,33.267305751427095,observed,imputed,20.0,WR,,,,,,,,22
10,Desmond Reid,Pittsburgh,250,21,39.785852618071274,28.79046960395864,,66.5,10.995383014112633,,imputed,,RB,44.0446223316913,final_season,317.0,23.0,464.0,2025.0,Pittsburgh,23
14,C.J. Daniels,Miami,112,MISSING,38.328243542248,3.4864870844960096,75.0,68.9,34.84175645775199,observed,imputed,20.0,WR,,,,,,,,24
