rank,player_name,school,projected_pick,age,slap_score,dc_score,production_score,ras_score,delta_vs_dc,production_status,ras_status,rec_yards,receptions,team_pass_att,best_season_year,best_season_team
1,Jeremiyah Love,Notre Dame,10,20,88.05051261033145,92.39513479671196,61.896480331262936,66.5,-4.344622186380505,observed,imputed,280.0,27.0,322.0,2025.0,Notre Dame
2,Jonah Coleman,Washington,56,22,71.27830908627236,73.28694247866397,56.59407979407979,66.5,-2.0086333923916158,observed,imputed,354.0,31.0,370.0,2025.0,Washington
3,Emmett Johnson,Nebraska,83,21,65.17451645730911,65.24308414300828,63.92894935752078,66.5,-0.06856768569916483,observed,imputed,370.0,46.0,378.0,2025.0,Nebraska
4,Jadarian Price,Notre Dame,79,21,61.360875867503886,66.36371289664757,16.26719905353446,66.5,-5.002837029143684,observed,imputed,87.0,6.0,322.0,2025.0,Notre Dame
5,Nick Singleton,Penn State,118,21,56.66370836227479,56.18551835350469,55.81017761795795,66.5,0.478190008770099,observed,imputed,375.0,41.0,437.0,2024.0,Penn State
6,Kaytron Allen,Penn State,124,22,52.389415225735135,54.7423430815597,25.334236064093886,66.5,-2.352927855824568,observed,imputed,188.0,20.0,422.0,2022.0,Penn State
7,Demond Claiborne,Wake Forest,136,21,51.516819413306735,51.93324682456018,40.4855961243058,66.5,-0.4164274112534443,observed,imputed,254.0,23.0,403.0,2024.0,Wake Forest
8,Mike Washington Jr.,Arkansas,163,22,45.807421842685606,45.936531045873316,34.36370453693288,66.5,-0.1291092031877099,observed,imputed,226.0,28.0,381.0,2025.0,Arkansas
9,Adam Randall,Clemson,180,21,42.73995536370841,42.354537423956494,34.13598553345389,66.5,0.3854179397519175,observed,imputed,254.0,36.0,474.0,2025.0,Clemson
10,Noah Whittington,Oregon,183,23,40.76287682146684,41.73601754906463,19.622619047619047,66.5,-0.9731407275977872,observed,imputed,169.0,22.0,432.0,2022.0,Oregon
11,Roman Hemby,Indiana,197,23,40.22490590610174,38.89903839489586,38.35723270440251,66.5,1.3258675112058782,observed,imputed,349.0,38.0,477.0,2023.0,Maryland
12,Desmond Reid,Pittsburgh,250,21,35.410408085971966,28.79046960395864,76.13508922607119,66.5,6.619938482013325,observed,imputed,579.0,52.0,499.0,2024.0,Pittsburgh
13,Sedrick Alexander,Vanderbilt,250,MISSING,32.39326507815181,28.79046960395864,45.96365914786967,66.5,3.6027954741931723,observed,imputed,238.0,23.0,304.0,2024.0,Vanderbilt
14,Jaydn Ott,California,250,22,31.831315676751316,28.79046960395864,40.3441651338647,66.5,3.040846072792675,observed,imputed,322.0,46.0,466.0,2022.0,California
15,Dean Connors,Houston,250,22,31.7258621543968,28.79046960395864,39.28962991031956,66.5,2.9353925504381593,observed,imputed,254.0,34.0,377.0,2025.0,Houston
16,Jamal Haynes,Georgia Tech,250,22,31.59467532966893,28.79046960395864,37.97776166304085,66.5,2.8042057257102897,observed,imputed,257.0,33.0,394.0,2025.0,Georgia Tech
17,J'Mari Taylor,Virginia,245,MISSING,31.529377809956358,29.706728556907052,29.53658536585366,66.5,1.8226492530493061,observed,imputed,253.0,43.0,492.0,2025.0,Virginia
18,Jamarion Miller,Alabama,246,21,31.173874306900238,29.522912468546167,27.543987086359973,66.5,1.6509618383540712,observed,imputed,155.0,16.0,354.0,2024.0,Alabama
19,Kaden Feagin,Illinois,250,21,31.00543986997007,28.79046960395864,32.08540706605223,66.5,2.214970266011427,observed,imputed,188.0,16.0,372.0,2025.0,Illinois
20,Chip Trayanum,Toledo,250,23,30.794104231227557,28.79046960395864,29.972050678627106,66.5,2.003634627268916,imputed,imputed,,,,,
21,Samuel Singleton Jr.,Kansas State,250,MISSING,30.794104231227557,28.79046960395864,29.972050678627106,66.5,2.003634627268916,imputed,imputed,,,,,
