rank,player_name,school,projected_pick,age,slap_score,dc_score,breakout_score,ras_score,delta_vs_dc,breakout_status,ras_status,breakout_age_raw
1,Carnell Tate,Ohio State,4,20,52.14644598701095,46.707583514130526,90.0,68.9,5.438862472880423,observed,imputed,19.0
2,Jordyn Tyson,Arizona State,7,21,39.59038016522074,33.70044725320087,75.0,68.9,5.889932912019873,observed,imputed,20.0
3,Makai Lemon,USC,16,21,27.997168980516424,20.061375271195793,75.0,68.9,7.935793709320631,observed,imputed,20.0
4,Kevin Concepcion,Texas A&M,27,20,24.283313542888585,13.927427697515984,90.0,68.9,10.355885845372601,observed,imputed,19.0
5,Denzel Boston,Washington,24,21,23.840949210309642,15.171704953305461,75.0,68.9,8.66924425700418,observed,imputed,20.0
6,Zachariah Branch,Georgia,47,21,20.06283836596503,8.962162783488271,90.0,68.9,11.100675582476757,observed,imputed,19.0
7,Germie Bernard,Alabama,52,21,17.911450373883984,8.195823969275274,75.0,68.9,9.71562640460871,observed,imputed,20.0
8,Chris Bell,Louisville,43,MISSING,17.663821424252106,9.66920167559071,60.0,68.9,7.994619748661396,observed,imputed,21.0
9,Elijah Sarratt,Indiana,44,22,17.505919901906676,9.483435178713737,60.0,68.9,8.022484723192939,observed,imputed,21.0
10,Ja'Kobi Lane,USC,65,21,16.58508022257394,6.635388497145812,75.0,68.9,9.949691725428128,observed,imputed,20.0
11,Chris Brazzell,Tennessee,53,MISSING,16.292361824590554,8.055719793635944,60.0,68.9,8.23664203095461,observed,imputed,21.0
12,Omar Cooper Jr.,Indiana,76,21,14.240092986187062,5.641285866102424,60.0,68.9,8.598807120084636,observed,imputed,21.0
13,C.J. Daniels,Miami,112,MISSING,13.908514021821608,3.4864870844960096,75.0,68.9,10.422026937325597,observed,imputed,20.0
14,Antonio Williams,Clemson,85,MISSING,13.674528034582737,4.97591533480322,60.0,68.9,8.698612699779517,observed,imputed,21.0
15,Deion Burks,Oklahoma,121,22,13.583992703656271,3.104697298419142,75.0,68.9,10.47929540523713,observed,imputed,20.0
16,Amare Thomas,Houston,250,19,13.577756189750136,0.15618375264721865,100.0,68.9,13.421572437102919,observed,imputed,18.0
17,Skyler Bell,UConn,88,23,13.505576139464473,4.7771483993699695,60.0,68.9,8.728427740094503,observed,imputed,21.0
18,Malachi Fields,Notre Dame,89,22,13.451166218246296,4.713136727348583,60.0,68.9,8.738029490897713,observed,imputed,21.0
19,Noah Thomas,Georgia,196,21,13.319113975877476,1.0283693833852658,90.0,68.9,12.29074459249221,observed,imputed,19.0
20,Jaden Greathouse,Notre Dame,250,20,12.577756189750136,0.15618375264721865,90.0,68.9,12.421572437102919,observed,imputed,19.0
21,Shelton Sampson Jr.,Louisiana,250,20,12.577756189750136,0.15618375264721865,90.0,68.9,12.421572437102919,observed,imputed,19.0
22,Barion Brown,LSU,250,21,12.577756189750136,0.15618375264721865,90.0,68.9,12.421572437102919,observed,imputed,19.0
23,Kevin Coleman Jr.,Missouri,162,21,12.465873023028488,1.789262380033514,75.0,68.9,10.676610642994973,observed,imputed,20.0
24,Brenen Thompson,Mississippi State,113,22,12.370550987545968,3.4418246912305497,60.0,68.9,8.928726296315418,observed,imputed,21.0
25,De'Zhaun Stribling,Ole Miss,186,22,11.990794234665689,1.2303461584302213,75.0,68.9,10.760448076235468,observed,imputed,20.0
26,Keelan Marion,Miami,193,MISSING,11.869214506959898,1.0873111846587034,75.0,68.9,10.781903322301194,observed,imputed,20.0
27,Aaron Anderson,LSU,199,22,11.770150684794471,0.9707655115229065,75.0,68.9,10.799385173271565,observed,imputed,20.0
28,Ted Hurst,Georgia State,132,MISSING,11.733358074785603,2.692185970336002,60.0,68.9,9.0411721044496,observed,imputed,21.0
29,Dane Key,Nebraska,202,22,11.72228225069622,0.9144497067014333,75.0,68.9,10.807832543994786,observed,imputed,20.0
30,Jordan Hudson,SMU,211,MISSING,11.584854103162598,0.7527695331324677,75.0,68.9,10.83208457003013,observed,imputed,20.0
31,Caleb Douglas,Texas Tech,212,21,11.570126899306224,0.7354434109484994,75.0,68.9,10.834683488357724,observed,imputed,20.0
32,Jalen Brown,Arkansas,250,20,11.547756189750137,0.15618375264721865,79.7,68.9,11.39157243710292,imputed,imputed,
33,Kobe Prentice,Baylor,250,21,11.547756189750137,0.15618375264721865,79.7,68.9,11.39157243710292,imputed,imputed,
34,Andre Greene Jr.,Virginia,250,MISSING,11.547756189750137,0.15618375264721865,79.7,68.9,11.39157243710292,imputed,imputed,
35,Ryan Niblett,Texas,250,20,11.547756189750137,0.15618375264721865,79.7,68.9,11.39157243710292,imputed,imputed,
36,C.J. Williams,Stanford,250,MISSING,11.547756189750137,0.15618375264721865,79.7,68.9,11.39157243710292,imputed,imputed,
37,Antonio Gates Jr.,Michigan State,250,21,11.547756189750137,0.15618375264721865,79.7,68.9,11.39157243710292,imputed,imputed,
38,Mikey Matthews,UCLA,250,20,11.547756189750137,0.15618375264721865,79.7,68.9,11.39157243710292,imputed,imputed,
39,Tyler Brown,Clemson,250,18,11.547756189750137,0.15618375264721865,79.7,68.9,11.39157243710292,imputed,imputed,
40,Cordale Russell,Colorado,250,20,11.547756189750137,0.15618375264721865,79.7,68.9,11.39157243710292,imputed,imputed,
41,London Humphreys,Georgia,250,20,11.547756189750137,0.15618375264721865,79.7,68.9,11.39157243710292,imputed,imputed,
42,Braylon James,Notre Dame,250,20,11.547756189750137,0.15618375264721865,79.7,68.9,11.39157243710292,imputed,imputed,
43,Ayden Williams,Mississippi State,250,20,11.547756189750137,0.15618375264721865,79.7,68.9,11.39157243710292,imputed,imputed,
44,Kyion Grayes,California,250,MISSING,11.547756189750137,0.15618375264721865,79.7,68.9,11.39157243710292,imputed,imputed,
45,Ja'Mori Maclin,Kentucky,250,23,11.547756189750137,0.15618375264721865,79.7,68.9,11.39157243710292,imputed,imputed,
46,E.J. Williams,Indiana,250,23,11.547756189750137,0.15618375264721865,79.7,68.9,11.39157243710292,imputed,imputed,
47,Max Tomzcak,Northern Illinois,250,MISSING,11.547756189750137,0.15618375264721865,79.7,68.9,11.39157243710292,imputed,imputed,
48,Joseph Manjack IV,TCU,250,22,11.547756189750137,0.15618375264721865,79.7,68.9,11.39157243710292,imputed,imputed,
49,Jaden Bray,West Virginia,250,22,11.547756189750137,0.15618375264721865,79.7,68.9,11.39157243710292,imputed,imputed,
50,Jared Brown,South Carolina,250,22,11.547756189750137,0.15618375264721865,79.7,68.9,11.39157243710292,imputed,imputed,
51,Jerand Bradley,Kansas State,250,22,11.547756189750137,0.15618375264721865,79.7,68.9,11.39157243710292,imputed,imputed,
52,Brandon Inniss,Ohio State,250,20,11.547756189750137,0.15618375264721865,79.7,68.9,11.39157243710292,imputed,imputed,
53,Rara Thomas,Troy,250,23,11.547756189750137,0.15618375264721865,79.7,68.9,11.39157243710292,imputed,imputed,
54,Jayden Thomas,Virginia,250,22,11.547756189750137,0.15618375264721865,79.7,68.9,11.39157243710292,imputed,imputed,
55,Andrel Anthony,Duke,250,23,11.547756189750137,0.15618375264721865,79.7,68.9,11.39157243710292,imputed,imputed,
56,Jayden McGowan,Charlotte,250,MISSING,11.547756189750137,0.15618375264721865,79.7,68.9,11.39157243710292,imputed,imputed,
57,Kaleb Brown,UAB,250,21,11.547756189750137,0.15618375264721865,79.7,68.9,11.39157243710292,imputed,imputed,
58,Tobias Merriweather,Utah,250,MISSING,11.547756189750137,0.15618375264721865,79.7,68.9,11.39157243710292,imputed,imputed,
59,Talyn Shettron,Oklahoma State,250,MISSING,11.547756189750137,0.15618375264721865,79.7,68.9,11.39157243710292,imputed,imputed,
60,Braylin Presley,Tulsa,250,21,11.547756189750137,0.15618375264721865,79.7,68.9,11.39157243710292,imputed,imputed,
61,Cyrus Allen,Cincinnati,250,22,11.547756189750137,0.15618375264721865,79.7,68.9,11.39157243710292,imputed,imputed,
62,Jeff Caldwell,Cincinnati,250,MISSING,11.547756189750137,0.15618375264721865,79.7,68.9,11.39157243710292,imputed,imputed,
63,Malik Benson,Oregon,250,22,11.547756189750137,0.15618375264721865,79.7,68.9,11.39157243710292,imputed,imputed,
64,Chris Hilton,LSU,250,22,11.547756189750137,0.15618375264721865,79.7,68.9,11.39157243710292,imputed,imputed,
65,Kaden Wetjen,Iowa,250,23,11.547756189750137,0.15618375264721865,79.7,68.9,11.39157243710292,imputed,imputed,
66,Cody Jackson,Tarleton State,250,22,11.547756189750137,0.15618375264721865,79.7,68.9,11.39157243710292,imputed,imputed,
67,Dacari Collins,Louisville,250,22,11.547756189750137,0.15618375264721865,79.7,68.9,11.39157243710292,imputed,imputed,
68,JoJo Earle,UNLV,250,22,11.547756189750137,0.15618375264721865,79.7,68.9,11.39157243710292,imputed,imputed,
69,Ja'Varrius Johnson,Auburn,250,MISSING,11.547756189750137,0.15618375264721865,79.7,68.9,11.39157243710292,imputed,imputed,
70,Jayden Ballard,Wisconsin,250,22,11.547756189750137,0.15618375264721865,79.7,68.9,11.39157243710292,imputed,imputed,
71,Justus Ross-Simmons,Syracuse,250,MISSING,11.547756189750137,0.15618375264721865,79.7,68.9,11.39157243710292,imputed,imputed,
72,Jaron Glover,Michigan State,250,MISSING,11.547756189750137,0.15618375264721865,79.7,68.9,11.39157243710292,imputed,imputed,
73,Squirrel White,Florida State,250,21,11.547756189750137,0.15618375264721865,79.7,68.9,11.39157243710292,imputed,imputed,
74,Deion Colzie,Miami (OH),250,22,11.547756189750137,0.15618375264721865,79.7,68.9,11.39157243710292,imputed,imputed,
75,Malik McClain,Arizona State,250,22,11.547756189750137,0.15618375264721865,79.7,68.9,11.39157243710292,imputed,imputed,
76,Kyron Ware-Hudson,Penn State,250,MISSING,11.547756189750137,0.15618375264721865,79.7,68.9,11.39157243710292,imputed,imputed,
77,Donavon Greene,Virginia Tech,250,MISSING,11.547756189750137,0.15618375264721865,79.7,68.9,11.39157243710292,imputed,imputed,
78,Christian Leary,Western Michigan,250,22,11.547756189750137,0.15618375264721865,79.7,68.9,11.39157243710292,imputed,imputed,
79,Anthony Evans III,Mississippi State,250,20,11.547756189750137,0.15618375264721865,79.7,68.9,11.39157243710292,imputed,imputed,
80,Nathan Leacock,North Carolina,250,20,11.547756189750137,0.15618375264721865,79.7,68.9,11.39157243710292,imputed,imputed,
81,Raymond Cottrell,Texas A&M,250,20,11.547756189750137,0.15618375264721865,79.7,68.9,11.39157243710292,imputed,imputed,
82,Jaquaize Pettaway,East Carolina,250,20,11.547756189750137,0.15618375264721865,79.7,68.9,11.39157243710292,imputed,imputed,
83,Trebor Pena,Penn State,250,23,11.547756189750137,0.15618375264721865,79.7,68.9,11.39157243710292,imputed,imputed,
84,Zavion Thomas,LSU,250,20,11.547756189750137,0.15618375264721865,79.7,68.9,11.39157243710292,imputed,imputed,
85,Emmanuel Henderson,Kansas,250,22,11.547756189750137,0.15618375264721865,79.7,68.9,11.39157243710292,imputed,imputed,
86,Hank Beatty,Illinois,250,21,11.547756189750137,0.15618375264721865,79.7,68.9,11.39157243710292,imputed,imputed,
87,Jalen Walthall,Incarnate Word,250,MISSING,11.547756189750137,0.15618375264721865,79.7,68.9,11.39157243710292,imputed,imputed,
88,Romello Brinson,SMU,250,22,11.547756189750137,0.15618375264721865,79.7,68.9,11.39157243710292,imputed,imputed,
89,Jalil Farooq,Maryland,250,23,11.547756189750137,0.15618375264721865,79.7,68.9,11.39157243710292,imputed,imputed,
90,Griffin Wilde,Northwestern,250,MISSING,11.547756189750137,0.15618375264721865,79.7,68.9,11.39157243710292,imputed,imputed,
91,Jordan Dwyer,TCU,250,MISSING,11.547756189750137,0.15618375264721865,79.7,68.9,11.39157243710292,imputed,imputed,
92,Dillon Bell,Georgia,250,MISSING,11.547756189750137,0.15618375264721865,79.7,68.9,11.39157243710292,imputed,imputed,
93,J.Michael Sturdivant,Florida,250,22,11.547756189750137,0.15618375264721865,79.7,68.9,11.39157243710292,imputed,imputed,
94,Eli Heidenreich,Navy,250,23,11.547756189750137,0.15618375264721865,79.7,68.9,11.39157243710292,imputed,imputed,
95,Chase Roberts,BYU,250,MISSING,11.547756189750137,0.15618375264721865,79.7,68.9,11.39157243710292,imputed,imputed,
96,Reggie Virgil,Texas Tech,216,21,11.512244386117812,0.66734633660919,75.0,68.9,10.844898049508622,observed,imputed,20.0
97,Bryce Lance,North Dakota State,150,23,11.245114868536994,2.117782198278818,60.0,68.9,9.127332670258177,observed,imputed,21.0
98,Hykeem Williams,Colorado,250,21,11.077756189750136,0.15618375264721865,75.0,68.9,10.921572437102919,observed,imputed,20.0
99,Harrison Wallace III,Ole Miss,250,22,11.077756189750136,0.15618375264721865,75.0,68.9,10.921572437102919,observed,imputed,20.0
100,Eric McAlister,TCU,171,22,10.776025982132007,1.5659129201553017,60.0,68.9,9.210113061976704,observed,imputed,21.0
101,Eric Rivers,Georgia Tech,178,22,10.638432313707085,1.4040380161259831,60.0,68.9,9.234394297581101,observed,imputed,21.0
