player_name,position,college,draft_year,draft_pick,projected_pick,age,rec_yards,team_pass_attempts,weight,forty,weight_source,forty_source,draft_capital_score,breakout_score,athletic_score,slap_score,delta,tier,data_type
Jeremiyah Love,RB,Notre Dame,2026,,10.0,20,280.0,322.0,214.0,,,,100.0,97.5,50.0,91.6,-8.4,Elite,2026_prospect
Makai Lemon,WR,USC,2026,,16.0,21,1156.0,420.0,195.0,,,,98.1,96.9,50.0,90.5,-7.7,Elite,2026_prospect
Jonah Coleman,RB,Washington,2026,,56.0,22,354.0,370.0,228.0,,,,98.1,95.0,50.0,89.8,-8.3,Elite,2026_prospect
Emmett Johnson,RB,Nebraska,2026,,83.0,21,370.0,378.0,200.0,,,,94.4,100.0,50.0,89.7,-4.7,Elite,2026_prospect
Carnell Tate,WR,Ohio State,2026,,4.0,20,875.0,408.0,195.0,,,,100.0,91.7,50.0,89.6,-10.4,Elite,2026_prospect
Kevin Concepcion,WR,Texas A&M,2026,,27.0,20,919.0,408.0,190.0,,,,96.3,95.8,50.0,89.2,-7.1,Elite,2026_prospect
Denzel Boston,WR,Washington,2026,,24.0,21,881.0,370.0,209.0,,,,97.2,93.8,50.0,88.9,-8.3,Elite,2026_prospect
Omar Cooper Jr.,WR,Indiana,2026,,76.0,21,961.0,406.0,201.0,,,,89.7,92.7,50.0,84.8,-4.9,Good,2026_prospect
Chris Bell,WR,Louisville,2026,,43.0,MISSING,917.0,418.0,176.0,,,,95.3,84.4,50.0,84.7,-10.6,Good,2026_prospect
Chris Brazzell,WR,Tennessee,2026,,53.0,MISSING,1017.0,437.0,200.0,,,,91.6,87.5,50.0,83.9,-7.7,Good,2026_prospect
Brenen Thompson,WR,Mississippi State,2026,,113.0,22,1054.0,390.0,170.0,,,,85.0,94.8,50.0,83.2,-1.8,Good,2026_prospect
Zachariah Branch,WR,Georgia,2026,,47.0,21,811.0,417.0,180.0,,,,93.5,78.1,50.0,81.6,-11.9,Good,2026_prospect
Skyler Bell,WR,UConn,2026,,88.0,23,1276.0,451.0,185.0,,,,87.9,85.4,50.0,81.3,-6.5,Good,2026_prospect
Elijah Sarratt,WR,Indiana,2026,,44.0,22,806.0,406.0,209.0,,,,94.4,76.0,50.0,81.3,-13.1,Good,2026_prospect
Jordyn Tyson,WR,Arizona State,2026,,7.0,21,711.0,430.0,200.0,,,,99.1,68.8,50.0,81.1,-18.0,Good,2026_prospect
Mike Washington Jr.,RB,Arkansas,2026,,163.0,22,226.0,381.0,217.0,,,,87.0,82.5,50.0,79.9,-7.1,Good,2026_prospect
Adam Randall,RB,Clemson,2026,,180.0,21,254.0,474.0,230.0,,,,85.2,85.0,50.0,79.8,-5.3,Good,2026_prospect
Ja'Kobi Lane,WR,USC,2026,,65.0,21,745.0,420.0,200.0,,,,90.7,75.0,50.0,79.1,-11.6,Good,2026_prospect
Eric McAlister,WR,TCU,2026,,171.0,22,1190.0,460.0,205.0,,,,80.4,89.6,50.0,79.0,-1.3,Good,2026_prospect
Ted Hurst,WR,Georgia State,2026,,132.0,MISSING,1004.0,475.0,185.0,,,,83.2,83.3,50.0,78.3,-4.9,Good,2026_prospect
Germie Bernard,WR,Alabama,2026,,52.0,21,862.0,523.0,204.0,,,,92.5,67.7,50.0,77.5,-15.1,Good,2026_prospect
Demond Claiborne,RB,Wake Forest,2026,,136.0,21,140.0,406.0,195.0,,,,88.9,72.5,50.0,77.3,-11.6,Good,2026_prospect
Kevin Coleman Jr.,WR,Missouri,2026,,162.0,21,732.0,361.0,180.0,,,,81.3,82.3,50.0,77.0,-4.4,Good,2026_prospect
Malachi Fields,WR,Notre Dame,2026,,89.0,22,630.0,322.0,223.0,,,,86.9,74.0,50.0,76.8,-10.1,Good,2026_prospect
Jadarian Price,RB,Notre Dame,2026,,79.0,21,87.0,322.0,209.0,,,,96.3,57.5,50.0,75.8,-20.5,Good,2026_prospect
Lewis Bond,WR,Boston College,2026,,185.0,22,1010.0,454.0,190.0,,,,78.5,81.2,50.0,75.2,-3.3,Good,2026_prospect
J'Mari Taylor,RB,Virginia,2026,,245.0,MISSING,253.0,492.0,204.0,,,,77.8,80.0,50.0,74.4,-3.4,Good,2026_prospect
Roman Hemby,RB,Indiana,2026,,197.0,23,165.0,406.0,208.0,,,,81.5,65.0,50.0,71.0,-10.5,Good,2026_prospect
Josh Cameron,WR,Baylor,2026,,194.0,MISSING,872.0,510.0,224.0,,,,75.7,71.9,50.0,70.5,-5.2,Good,2026_prospect
Antonio Williams,WR,Clemson,2026,,85.0,MISSING,604.0,474.0,210.0,,,,88.8,53.1,50.0,70.5,-18.3,Good,2026_prospect
Eric Rivers,WR,Georgia Tech,2026,,178.0,22,671.0,394.0,170.0,,,,79.4,62.5,50.0,69.1,-10.3,Average,2026_prospect
Kaytron Allen,RB,Penn State,2026,,124.0,22,68.0,339.0,217.0,,,,90.7,45.0,50.0,68.6,-22.1,Average,2026_prospect
Deion Burks,WR,Oklahoma,2026,,121.0,22,620.0,431.0,188.0,,,,84.1,54.2,50.0,68.5,-15.6,Average,2026_prospect
Jordan Hudson,WR,SMU,2026,,211.0,MISSING,766.0,460.0,200.0,,,,72.0,69.8,50.0,67.9,-4.1,Average,2026_prospect
Caleb Douglas,WR,Texas Tech,2026,,212.0,21,830.0,486.0,210.0,,,,71.0,70.8,50.0,67.8,-3.2,Average,2026_prospect
Keelan Marion,WR,Miami,2026,,193.0,MISSING,746.0,496.0,195.0,,,,76.6,61.5,50.0,67.3,-9.3,Average,2026_prospect
De'Zhaun Stribling,WR,Ole Miss,2026,,186.0,22,811.0,523.0,200.0,,,,77.6,58.3,50.0,66.7,-10.9,Average,2026_prospect
C.J. Daniels,WR,Miami,2026,,112.0,MISSING,557.0,496.0,205.0,,,,86.0,45.8,50.0,66.5,-19.4,Average,2026_prospect
