player_name,position,draft_year,pick,college,draft_age,breakout_age,dominator_pct,breakout_score_raw,production_percentile,rec_yards,team_pass_att,production_score_raw,ras_raw,ras_score,dc_score,slap_score,slap_tier,delta,nfl_best_ppg,hit24
Amari Cooper,WR,2015,4,Alabama,,19.0,47.19794344473008,99.9,97.30941704035875,,,,8.57,85.7,96.73123522513825,95.19218630441162,Elite,-1.5390489207266285,253.6,1
Kevin White,WR,2015,7,West Virginia,,19.0,36.78718757583111,98.39359378791556,93.72197309417041,,,,9.72,97.2,94.38004324460745,94.67142272782893,Elite,0.2913794832214762,38.6,0
DeVante Parker,WR,2015,14,Louisville,,19.0,24.79291384929009,92.39645692464505,84.75336322869956,,,,9.75,97.5,90.07432750763405,90.12398552570204,Elite,0.049658018067987086,246.2,1
Phillip Dorsett,WR,2015,29,Miami (FL),,19.0,37.13870610663551,98.56935305331776,93.94618834080718,,,,8.47,84.7,83.040327760146,85.47045071225634,Great,2.430122952110338,105.9,0
Breshad Perriman,WR,2015,26,Central Florida,,20.0,36.62961752206604,83.31480876103302,72.19730941704036,,,,9.95,99.5,84.3076609651975,84.16444151078645,Great,-0.143219454411053,138.1,0
Devin Smith,WR,2015,37,Ohio St.,,19.0,26.843038267370613,93.42151913368531,86.7713004484305,,,,8.61,86.1,79.88373711084623,82.19368921173614,Great,2.309952100889916,26.5,0
Nelson Agholor,WR,2015,20,USC,,20.0,32.41003032237472,81.20501516118736,68.60986547085201,,,,7.38,73.8,87.02377097693456,81.35742422917787,Great,-5.666346747756691,222.1,1
Ameer Abdullah,RB,2015,54,Nebraska,22.0,,,,84.35114503816794,269.0,359.0,44.958217270194986,8.66,86.6,73.9360365676696,79.48091904719358,Good,5.544882479523977,7.364705882352942,0
Tyler Lockett,WR,2015,69,Kansas St.,,19.0,44.18873940973839,99.9,97.30941704035875,,,,7.71,77.1,69.2641833889955,76.04860261091883,Good,6.784419221923329,274.0,1
Chris Conley,WR,2015,76,Georgia,,19.0,29.589562024652505,94.79478101232625,88.34080717488789,,,,9.68,96.8,67.21839332711826,75.88011709760445,Good,8.66172377048619,156.5,0
Melvin Gordon,RB,2015,15,Wisconsin,22.0,,,,48.091603053435115,153.0,322.0,28.50931677018633,8.74,87.4,89.53565074279604,74.7098864401003,Good,-14.825764302695731,17.435294117647057,1
Todd Gurley,RB,2015,10,Georgia,21.0,,,,52.09923664122137,,,28.5739861161856,,66.5,92.39513479671196,74.40730022278345,Good,-17.98783457392851,23.8,1
Dorial Green-Beckham,WR,2015,40,Oklahoma,,20.0,31.8265901221068,80.9132950610534,68.38565022421524,,,,6.3,63.0,78.76865523265029,74.32675594606575,Good,-4.441899286584544,112.9,0
Devin Funchess,WR,2015,41,Michigan,,20.0,37.94809010773752,83.97404505386876,73.09417040358744,,,,5.26,52.599999999999994,78.40408953083528,73.47149227576043,Good,-4.932597255074853,0.0,0
Jaelen Strong,WR,2015,70,Arizona St.,,20.0,31.086647257328124,80.54332362866407,67.71300448430493,,,,9.14,91.4,68.96725571920754,72.0813171143459,Good,3.11406139513835,50.8,0
Jay Ajayi,RB,2015,149,Boise St.,22.0,,,,96.18320610687023,535.0,451.0,71.1751662971175,8.63,86.30000000000001,48.99440866994782,71.1063264723785,Good,22.111917802430675,13.105882352941178,1
Javorius Allen,RB,2015,125,USC,24.0,,,,89.31297709923665,458.0,460.0,54.04968944099379,8.02,80.19999999999999,54.50441856810307,70.54175126878435,Good,16.037332700681283,9.770588235294117,0
Sammie Coates,WR,2015,87,Auburn,,20.0,27.548555654145712,78.77427782707285,65.69506726457399,,,,9.86,98.6,64.14280026523261,69.62183362531599,Average,5.479033360083378,83.3,0
Ty Montgomery,WR,2015,94,Stanford,,19.0,17.60709504685408,90.0,79.03587443946188,,,,7.75,77.5,62.262482221264236,67.90278833171413,Average,5.640306110449899,179.3,0
Mike Davis,RB,2015,126,South Carolina,22.0,,,,85.87786259541986,368.0,468.0,47.179487179487175,6.09,60.9,54.26721625603232,66.3258600364131,Average,12.058643780380784,12.147058823529411,1
T.J. Yeldon,RB,2015,36,Alabama,21.0,,,,42.74809160305343,180.0,451.0,25.08710801393728,7.05,70.5,80.26299861749231,65.66833136981485,Average,-14.594667247677464,10.18235294117647,0
David Johnson,RB,2015,86,Northern Iowa,23.0,,,,52.09923664122137,276.0,,28.5739861161856,9.84,98.4,64.41603636571921,65.20275100728709,Average,0.7867146415678832,23.988235294117647,1
Tevin Coleman,RB,2015,73,Indiana,22.0,,,,46.18320610687023,141.0,313.0,27.028753993610223,9.72,97.2,68.08599462283559,64.78711944882237,Average,-3.2988751740132187,13.758823529411766,1
Justin Hardy,WR,2015,107,East Carolina,,19.0,31.578877139140005,95.78943856957,89.91031390134529,,,,4.87,48.7,58.906016650653214,63.57597360319365,Average,4.6699569525404385,69.1,0
Duke Johnson,RB,2015,77,Miami (FL),21.0,,,,52.09923664122137,,,28.5739861161856,6.98,69.80000000000001,66.9320986936365,62.17078217124573,Average,-4.761316522390771,12.711764705882352,1
Kenny Bell,WR,2015,162,Nebraska,,19.0,26.79089590134204,93.39544795067101,86.54708520179372,,,,9.2,92.0,46.15155112223164,61.10792526980931,Average,14.95637414757767,0.0,0
David Cobb,RB,2015,138,Minnesota,22.0,,,,76.7175572519084,162.0,254.0,38.26771653543307,4.55,45.5,51.47438583883613,59.41333795758601,Below Avg,7.9389521187498815,1.258823529411765,0
Jamison Crowder,WR,2015,105,Duke,,19.0,31.59358487067767,95.79679243533883,90.13452914798206,,,,1.31,13.100000000000001,59.41186469623246,58.60961788214752,Below Avg,-0.8022468140849455,197.7,0
JJ Nelson,WR,2015,159,Ala-Birmingham,,19.0,24.18412188538669,92.09206094269335,84.30493273542601,,,,,68.9,46.79965853300224,57.61576459353666,Below Avg,10.816106060534423,0.0,0
Rashad Greene,WR,2015,139,Florida St.,,19.0,,90.0,79.03587443946188,,,,5.37,53.7,51.245903565087225,57.172012205199074,Below Avg,5.926108640111849,40.3,0
Geremy Davis,WR,2015,186,Connecticut,,19.0,,90.0,79.03587443946188,,,,9.66,96.6,41.12133897642805,57.0260452225706,Below Avg,15.904706246142553,6.8,0
Karlos Williams,RB,2015,155,Florida St.,22.0,,,,64.8854961832061,265.0,516.0,30.81395348837209,6.41,64.1,47.67107791381047,56.160462621027364,Below Avg,8.489384707216892,7.311764705882353,0
DeAndre Smelter,WR,2015,132,Georgia Tech,,21.0,37.88213047589032,68.94106523794517,51.34529147982063,,,,,68.9,52.85873645151093,54.96223698944623,Below Avg,2.103500537935304,3.3000000000000003,0
Evan Spencer,WR,2015,187,Ohio St.,,19.0,5.581139928320937,90.0,79.03587443946188,,,,8.37,83.69999999999999,40.917284913571535,54.95841008171387,Below Avg,14.041125168142337,0.0,0
Stefon Diggs,WR,2015,146,Maryland,,20.0,26.98953986433075,78.49476993216538,65.24663677130044,,,,5.66,56.6,49.66365676525262,53.82070425167429,Below Avg,4.157047486421675,391.7000000000001,1
Tony Lippett,WR,2015,156,Michigan St.,,20.0,38.63269062422842,84.31634531211421,73.54260089686099,,,,3.99,39.900000000000006,47.452429780384286,51.53759953662198,Below Avg,4.085169756237697,0.0,0
Josh Robinson,RB,2015,205,Mississippi St.,23.0,,,,88.16793893129771,370.0,423.0,49.98311381290104,1.1,11.0,37.312343403797485,51.16495032785294,Below Avg,13.852606924055458,0.6588235294117647,0
Vince Mayle,WR,2015,123,Washington St.,,21.0,22.93614794138172,61.46807397069086,42.37668161434978,,,,4.63,46.3,54.980997846306835,51.1579849229694,Below Avg,-3.823012923337437,6.2,0
Bud Sasser,WR,2015,201,Missouri,,20.0,42.93882175226586,84.9,74.66367713004485,,,,7.45,74.5,38.10269095611306,50.87448454748245,Below Avg,12.771793591369395,0.0,0
Andre Debose,WR,2015,221,Florida,,19.0,0.0,90.0,79.03587443946188,,,,8.13,81.30000000000001,34.207839313634366,50.23727044175472,Below Avg,16.02943112812035,0.0,0
Da'Ron Brown,WR,2015,233,Northern Illinois,,19.0,35.5923743907929,97.79618719539644,93.27354260089686,,,,,68.9,31.93525043772044,49.74762130469766,Poor,17.81237086697722,0.0,0
Neal Sterling,WR,2015,220,Monmouth,,19.0,,90.0,79.03587443946188,,,,6.62,66.2,34.399312454218645,48.09672798313449,Poor,13.697415528915847,0.0,0
