player_name,position,draft_year,pick,college,dc_score,breakout_age,breakout_score,production_raw,production_score,ras_raw,ras_score,ras_status,slap_score,slap_tier,delta,delta_tier,best_season_ppg,hit24,hit12,outcome_status,data_source
Kevin White,WR,2015,7,West Virginia,94.4,19.0,90.0,,,9.7,97.2,observed,93.3,Elite (90+),-1.1,Neutral (-5 to +5),38.6,0.0,0.0,Miss,backtest
Amari Cooper,WR,2015,4,Alabama,96.7,19.0,90.0,,,8.6,85.7,observed,92.7,Elite (90+),-4.0,Neutral (-5 to +5),253.6,1.0,1.0,Hit,backtest
DeVante Parker,WR,2015,14,Louisville,90.1,19.0,90.0,,,9.8,97.5,observed,91.2,Elite (90+),1.1,Neutral (-5 to +5),246.2,1.0,0.0,Hit,backtest
Phillip Dorsett,WR,2015,29,Miami (FL),83.0,19.0,90.0,,,8.5,84.7,observed,85.7,Great (80-89),2.7,Neutral (-5 to +5),105.9,0.0,0.0,Miss,backtest
Devin Smith,WR,2015,37,Ohio St.,79.9,19.0,90.0,,,8.6,86.1,observed,84.4,Great (80-89),4.5,Neutral (-5 to +5),26.5,0.0,0.0,Miss,backtest
Breshad Perriman,WR,2015,26,Central Florida,84.3,20.0,75.0,,,9.9,99.5,observed,83.3,Great (80-89),-1.0,Neutral (-5 to +5),138.1,0.0,0.0,Miss,backtest
Nelson Agholor,WR,2015,20,USC,87.0,20.0,75.0,,,7.4,73.8,observed,80.8,Great (80-89),-6.2,Bust Risk (-5 to -15),222.1,1.0,0.0,Hit,backtest
Chris Conley,WR,2015,76,Georgia,67.2,19.0,90.0,,,9.7,96.8,observed,79.6,Good (70-79),12.4,Sleeper (+5 to +15),156.5,0.0,0.0,Miss,backtest
Tyler Lockett,WR,2015,69,Kansas St.,69.3,19.0,90.0,,,7.7,77.1,observed,77.7,Good (70-79),8.4,Sleeper (+5 to +15),274.0,1.0,1.0,Hit,backtest
Ameer Abdullah,RB,2015,54,Nebraska,73.9,,,0.749,74.9,8.7,86.6,observed,76.2,Good (70-79),2.2,Neutral (-5 to +5),7.364705882352942,0.0,0.0,Miss,backtest
Dorial Green-Beckham,WR,2015,40,Oklahoma,78.8,20.0,75.0,,,6.3,63.0,observed,75.1,Good (70-79),-3.7,Neutral (-5 to +5),112.9,0.0,0.0,Miss,backtest
Melvin Gordon,RB,2015,15,Wisconsin,89.5,,,0.475,47.5,8.7,87.4,observed,74.5,Good (70-79),-15.0,Big Bust (<-15),17.435294117647057,1.0,1.0,Hit,backtest
Jaelen Strong,WR,2015,70,Arizona St.,69.0,20.0,75.0,,,9.1,91.4,observed,74.4,Good (70-79),5.5,Sleeper (+5 to +15),50.8,0.0,0.0,Miss,backtest
Ty Montgomery,WR,2015,94,Stanford,62.3,19.0,90.0,,,7.8,77.5,observed,74.3,Good (70-79),12.0,Sleeper (+5 to +15),179.3,0.0,0.0,Miss,backtest
Javorius Allen,RB,2015,125,USC,54.5,,,0.996,99.6,8.0,80.2,observed,74.1,Good (70-79),19.6,Big Sleeper (+15),9.770588235294117,0.0,0.0,Miss,backtest
Devin Funchess,WR,2015,41,Michigan,78.4,20.0,75.0,,,5.3,52.6,observed,73.3,Good (70-79),-5.1,Bust Risk (-5 to -15),0.0,0.0,0.0,Miss,backtest
Sammie Coates,WR,2015,87,Auburn,64.1,20.0,75.0,,,9.9,98.6,observed,73.1,Good (70-79),9.0,Sleeper (+5 to +15),83.3,0.0,0.0,Miss,backtest
Jay Ajayi,RB,2015,149,Boise St.,49.0,,,1.186,100.0,8.6,86.3,observed,72.4,Good (70-79),23.4,Big Sleeper (+15),13.105882352941178,1.0,1.0,Hit,backtest
Kenny Bell,WR,2015,162,Nebraska,46.2,19.0,90.0,,,9.2,92.0,observed,68.4,Average (60-69),22.2,Big Sleeper (+15),0.0,0.0,0.0,Miss,backtest
Justin Hardy,WR,2015,107,East Carolina,58.9,19.0,90.0,,,4.9,48.7,observed,68.3,Average (60-69),9.4,Sleeper (+5 to +15),69.1,0.0,0.0,Miss,backtest
Todd Gurley,RB,2015,10,Georgia,92.4,,,,30.0,,66.5,imputed,66.7,Average (60-69),-25.7,Big Bust (<-15),23.8,1.0,1.0,Hit,backtest
Geremy Davis,WR,2015,186,Connecticut,41.1,19.0,90.0,,,9.7,96.6,observed,66.6,Average (60-69),25.4,Big Sleeper (+15),6.8,0.0,0.0,Miss,backtest
Rashad Greene,WR,2015,139,Florida St.,51.2,19.0,90.0,,,5.4,53.7,observed,65.2,Average (60-69),13.9,Sleeper (+5 to +15),40.3,0.0,0.0,Miss,backtest
JJ Nelson,WR,2015,159,Ala-Birmingham,46.8,19.0,90.0,,,,68.9,imputed,65.2,Average (60-69),18.4,Big Sleeper (+15),0.0,0.0,0.0,Miss,backtest
T.J. Yeldon,RB,2015,36,Alabama,80.3,,,0.399,39.9,7.0,70.5,observed,64.7,Average (60-69),-15.6,Big Bust (<-15),10.18235294117647,0.0,0.0,Miss,backtest
Evan Spencer,WR,2015,187,Ohio St.,40.9,19.0,90.0,,,8.4,83.7,observed,64.5,Average (60-69),23.6,Big Sleeper (+15),0.0,0.0,0.0,Miss,backtest
Tevin Coleman,RB,2015,73,Indiana,68.1,,,0.45,45.0,9.7,97.2,observed,64.4,Average (60-69),-3.7,Neutral (-5 to +5),13.758823529411766,1.0,1.0,Hit,backtest
Mike Davis,RB,2015,126,South Carolina,54.3,,,0.786,78.6,6.1,60.9,observed,63.8,Average (60-69),9.5,Sleeper (+5 to +15),12.147058823529411,1.0,0.0,Hit,backtest
Jamison Crowder,WR,2015,105,Duke,59.4,19.0,90.0,,,1.3,13.1,observed,63.2,Average (60-69),3.8,Neutral (-5 to +5),197.7,0.0,0.0,Miss,backtest
Andre Debose,WR,2015,221,Florida,34.2,19.0,90.0,,,8.1,81.3,observed,60.8,Average (60-69),26.6,Big Sleeper (+15),0.0,0.0,0.0,Miss,backtest
Stefon Diggs,WR,2015,146,Maryland,49.7,20.0,75.0,,,5.7,56.6,observed,59.6,Below Avg (50-59),9.9,Sleeper (+5 to +15),391.7000000000001,1.0,1.0,Hit,backtest
Neal Sterling,WR,2015,220,Monmouth,34.4,19.0,90.0,,,6.6,66.2,observed,58.6,Below Avg (50-59),24.2,Big Sleeper (+15),0.0,0.0,0.0,Miss,backtest
DeAndre Smelter,WR,2015,132,Georgia Tech,52.9,21.0,60.0,,,,68.9,imputed,57.8,Below Avg (50-59),4.9,Neutral (-5 to +5),3.3000000000000003,0.0,0.0,Miss,backtest
