player_name,position,school,draft_year,pick,round,dc_score,production_score,production_metric,ras_score,slap_score,delta_vs_dc,production_status,ras_status,rec_yards,team_pass_att,nfl_best_ppr,nfl_best_ppg,nfl_hit24,nfl_hit12,data_type
Melvin Gordon,RB,Wisconsin,2015,15,1,89.53565074279604,28.50931677018633,receiving_production,87.4,67.85608624096324,-21.6795645018328,observed,observed,153.0,322.0,296.4,17.435294117647057,1,1,backtest
Todd Gurley,RB,Georgia,2015,10,1,92.39513479671196,30.0,receiving_production,66.5,66.67256739835598,-25.722567398355977,imputed,imputed,,,404.6,23.8,1,1,backtest
Ameer Abdullah,RB,Nebraska,2015,54,2,73.9360365676696,44.958217270194986,receiving_production,86.6,65.69339432840304,-8.242642239266559,observed,observed,269.0,359.0,125.2,7.364705882352942,0,0,backtest
Jay Ajayi,RB,Boise St.,2015,149,5,48.99440866994782,71.1751662971175,receiving_production,86.30000000000001,62.353512538965035,13.359103869017211,observed,observed,535.0,451.0,222.8,13.105882352941178,1,1,backtest
T.J. Yeldon,RB,Alabama,2015,36,2,80.26299861749231,25.08710801393728,receiving_production,70.5,59.48698711362421,-20.776011503868105,observed,observed,180.0,451.0,173.1,10.18235294117647,0,0,backtest
Javorius Allen,RB,USC,2015,125,4,54.50441856810307,54.04968944099379,receiving_production,80.19999999999999,58.19960058839936,3.6951820202962935,observed,observed,458.0,460.0,166.1,9.770588235294117,0,0,backtest
Tevin Coleman,RB,Indiana,2015,73,3,68.08599462283559,27.028753993610223,receiving_production,97.2,58.083061209181366,-10.002933413654219,observed,observed,141.0,313.0,233.9,13.758823529411766,1,1,backtest
David Johnson,RB,Northern Iowa,2015,86,3,64.41603636571921,30.0,receiving_production,98.4,57.4680181828596,-6.948018182859606,imputed,observed,276.0,,407.8,23.988235294117647,1,1,backtest
Duke Johnson,RB,Miami (FL),2015,77,3,66.9320986936365,30.0,receiving_production,69.80000000000001,54.43604934681825,-12.496049346818253,imputed,observed,,,216.1,12.711764705882352,1,0,backtest
Mike Davis,RB,South Carolina,2015,126,4,54.26721625603232,47.179487179487175,receiving_production,60.9,52.78142864083667,-1.4857876151956475,observed,observed,368.0,468.0,206.5,12.147058823529411,1,0,backtest
David Cobb,RB,Minnesota,2015,138,5,51.47438583883613,38.26771653543307,receiving_production,45.5,45.95589370681964,-5.51849213201649,observed,observed,162.0,254.0,21.4,1.258823529411765,0,0,backtest
Karlos Williams,RB,Florida St.,2015,155,5,47.67107791381047,30.81395348837209,receiving_production,64.1,44.23542267783546,-3.4356552359750125,observed,observed,265.0,516.0,124.3,7.311764705882353,0,0,backtest
Jeremy Langford,RB,Michigan St.,2015,106,4,59.158487311545166,8.857142857142856,receiving_production,75.19999999999999,43.95924365577258,-15.199243655772584,observed,observed,62.0,400.0,147.6,8.68235294117647,0,0,backtest
Matt Jones,RB,Florida,2015,95,3,61.99827790606109,12.037037037037035,receiving_production,52.300000000000004,43.057101915993506,-18.941175990067585,observed,observed,65.0,324.0,116.4,6.847058823529412,0,0,backtest
Cameron Artis-Payne,RB,Auburn,2015,174,5,43.60345922205765,22.771084337349397,receiving_production,60.0,38.771609129101115,-4.831850092956536,observed,observed,147.0,332.0,36.9,2.170588235294117,0,0,backtest
Josh Robinson,RB,Mississippi St.,2015,205,6,37.312343403797485,49.98311381290104,receiving_production,11.0,37.800261536414105,0.4879181326166204,observed,observed,370.0,423.0,11.2,0.6588235294117647,0,0,backtest
Marcus Murphy,RB,Missouri,2015,230,7,32.499143045455526,29.191049913941473,receiving_production,2.4,26.82643899260728,-5.672704052848246,observed,observed,212.0,415.0,38.6,2.2705882352941176,0,0,backtest
Kenny Hilliard,RB,LSU,2015,235,7,31.560854097950696,7.246376811594202,receiving_production,9.1,19.681658933033315,-11.87919516491738,observed,observed,35.0,276.0,0.0,0.0,0,0,backtest
Ezekiel Elliott,RB,Ohio St.,2016,4,1,96.73123522513825,39.841758241758235,receiving_production,86.5,75.28523299718451,-21.44600222795374,observed,observed,206.0,325.0,370.6,21.8,1,1,backtest
C.J. Prosise,RB,Notre Dame,2016,90,3,63.33016316021118,47.99999999999999,receiving_production,80.7,60.570081580105594,-2.7600815801055845,observed,observed,308.0,385.0,61.0,3.588235294117647,0,0,backtest
Kenyan Drake,RB,Alabama,2016,73,3,68.08599462283559,37.130044843049326,receiving_production,69.80000000000001,57.50851300648505,-10.577481616350532,observed,observed,276.0,446.0,211.0,12.411764705882351,1,0,backtest
Kenneth Dixon,RB,Louisiana Tech,2016,134,4,52.39467932215801,58.49686847599163,receiving_production,68.60000000000001,56.961243627676076,4.566564305518064,observed,observed,467.0,479.0,102.4,6.023529411764706,0,0,backtest
Derrick Henry,RB,Alabama,2016,45,2,76.9783930175478,12.242152466367711,receiving_production,87.69999999999999,55.928949872002605,-21.049443145545197,observed,observed,91.0,446.0,381.4,22.43529411764706,1,1,backtest
Devontae Booker,RB,Utah,2016,136,4,51.93324682456018,49.0422077922078,receiving_production,66.5,53.10639613955282,1.1731493149926422,observed,imputed,318.0,352.0,144.10000000000002,8.476470588235296,0,0,backtest
Tyler Ervin,RB,San Jose St.,2016,119,4,55.94308596859041,30.0,receiving_production,77.0,50.0215429842952,-5.921542984295208,imputed,observed,,,26.1,1.535294117647059,0,0,backtest
DeAndre Washington,RB,Texas Tech,2016,143,5,50.33815139213819,35.48387096774193,receiving_production,73.1,48.55343053477876,-1.7847208573594244,observed,observed,385.0,620.0,121.9,7.170588235294118,0,0,backtest
Dwayne Washington,RB,Washington,2016,236,7,31.374110141410995,47.72727272727273,receiving_production,98.2,47.121600525250955,15.74749038383996,observed,observed,315.0,396.0,48.7,2.864705882352941,0,0,backtest
Paul Perkins,RB,UCLA,2016,149,5,48.99440866994782,29.826330532212882,receiving_production,53.9,43.021420021248424,-5.972988648699399,observed,observed,242.0,510.0,85.5,5.029411764705882,0,0,backtest
Darius Jackson,RB,Eastern Michigan,2016,216,6,35.1685361424386,29.48655256723716,receiving_production,98.5,42.6795614697523,7.511025327313703,observed,observed,201.0,409.0,1.6,0.0941176470588235,0,0,backtest
Wendell Smallwood,RB,West Virginia,2016,153,5,48.10998910400404,22.377622377622373,receiving_production,70.9,42.52216238416985,-5.58782671983419,observed,observed,160.0,429.0,128.3,7.547058823529412,0,0,backtest
Jordan Howard,RB,Indiana,2016,150,5,48.77246656402318,14.453052370622869,receiving_production,54.1,37.5598016117296,-11.212664952293586,observed,observed,106.0,461.0,230.1,13.53529411764706,1,1,backtest
Jonathan Williams,RB,Arkansas,2016,156,5,47.452429780384286,10.863509749303619,receiving_production,64.0,37.12844330244841,-10.323986477935875,observed,observed,65.0,359.0,40.400000000000006,2.3764705882352946,0,0,backtest
Keenan Reynolds,RB,Navy,2016,182,6,41.94175972374306,23.114754098360653,receiving_production,45.5,35.88604379629776,-6.0557159274452985,observed,observed,47.0,122.0,0.0,0.0,0,0,backtest
Alex Collins,RB,Arkansas,2016,171,5,44.2340493948423,15.240641711229944,receiving_production,29.6,31.89124929635163,-12.34280009849067,observed,observed,95.0,374.0,171.0,10.058823529411764,1,0,backtest
Keith Marshall,RB,Georgia,2016,242,7,30.25989524574358,5.137614678899082,receiving_production,93.5,30.95311276048647,0.6932175147428907,observed,observed,28.0,327.0,0.0,0.0,0,0,backtest
