player_name,position,school,draft_year,pick,round,dc_score,production_score,production_score_raw,production_metric,ras_score,slap_score,delta_vs_dc,production_status,ras_status,breakout_age,nfl_best_ppr,nfl_hit24,nfl_hit12,data_type
Amari Cooper,WR,Alabama,2015,4,1,96.73123522513825,93.21533923303835,99.9,breakout_age,85.7,94.37337074294754,-2.357864482190706,observed,observed,19.0,246.5,0.0,1.0,backtest
Kevin White,WR,West Virginia,2015,7,1,94.38004324460745,92.03539823008849,98.39359378791556,breakout_age,97.2,94.33410775501254,-0.04593548959491045,observed,observed,19.0,38.6,0.0,0.0,backtest
DeVante Parker,WR,Louisville,2015,14,1,90.07432750763405,80.23598820058997,92.39645692464505,breakout_age,97.5,89.22051052008013,-0.8538169875539268,observed,observed,19.0,246.2,0.0,1.0,backtest
Phillip Dorsett,WR,Miami (FL),2015,29,1,83.040327760146,92.33038348082596,98.56935305331776,breakout_age,84.7,85.14728974026009,2.106961980114093,observed,observed,19.0,102.4,0.0,0.0,backtest
Breshad Perriman,WR,Central Florida,2015,26,1,84.3076609651975,65.78171091445427,83.31480876103302,breakout_age,99.5,82.88132181026923,-1.4263391549282716,observed,observed,20.0,138.1,0.0,0.0,backtest
Devin Smith,WR,Ohio St.,2015,37,2,79.88373711084623,82.89085545722715,93.42151913368531,breakout_age,86.1,81.41760021349549,1.5338631026492635,observed,observed,19.0,22.3,0.0,0.0,backtest
Nelson Agholor,WR,USC,2015,20,1,87.02377097693456,61.06194690265486,81.20501516118736,breakout_age,73.8,79.84784051553842,-7.175930461396135,observed,observed,20.0,222.1,0.0,0.0,backtest
Tyler Lockett,WR,Kansas St.,2015,69,3,69.2641833889955,93.21533923303835,99.9,breakout_age,77.1,75.22978704945476,5.9656036604592515,observed,observed,19.0,271.7,0.0,1.0,backtest
Chris Conley,WR,Georgia,2015,76,3,67.21839332711826,84.95575221238938,94.79478101232625,breakout_age,96.8,75.20310610510475,7.984712777986488,observed,observed,19.0,156.5,0.0,0.0,backtest
Dorial Green-Beckham,WR,Oklahoma,2015,40,2,78.76865523265029,60.766961651917406,80.9132950610534,breakout_age,63.0,72.80301823160617,-5.965637001044115,observed,observed,20.0,0.0,0.0,0.0,backtest
Devin Funchess,WR,Michigan,2015,41,2,78.40408953083528,66.96165191740413,83.97404505386876,breakout_age,52.599999999999994,72.24498857852376,-6.159100952311519,observed,observed,20.0,0.0,0.0,0.0,backtest
Jaelen Strong,WR,Arizona St.,2015,70,3,68.96725571920754,59.882005899705014,80.54332362866407,breakout_age,91.4,70.51511739742591,1.5478616782183678,observed,observed,20.0,12.8,0.0,1.0,backtest
Sammie Coates,WR,Auburn,2015,87,3,64.14280026523261,57.227138643067846,78.77427782707285,breakout_age,98.6,67.92824790101477,3.7854476357821625,observed,observed,20.0,83.3,0.0,0.0,backtest
Ty Montgomery,WR,Stanford,2015,94,3,62.262482221264236,70.50147492625368,90.0,breakout_age,77.5,66.19590842907249,3.933426207808253,observed,observed,19.0,91.6,0.0,0.0,backtest
Justin Hardy,WR,East Carolina,2015,107,4,58.906016650653214,87.02064896755162,95.78943856957,breakout_age,48.7,62.99804061643491,4.092023965781699,observed,observed,19.0,69.1,0.0,0.0,backtest
Kenny Bell,WR,Nebraska,2015,162,5,46.15155112223164,82.59587020648968,93.39544795067101,breakout_age,92.0,60.3176822707485,14.166131148516861,observed,observed,19.0,0.0,0.0,0.0,backtest
Jamison Crowder,WR,Duke,2015,105,4,59.41186469623246,87.31563421828909,95.79679243533883,breakout_age,13.100000000000001,58.04583889620893,-1.366025800023536,observed,observed,19.0,172.02,0.0,1.0,backtest
JJ Nelson,WR,Ala-Birmingham,2015,159,5,46.79965853300224,79.64601769911505,92.09206094269335,breakout_age,68.9,56.68398158627446,9.884323053272226,observed,imputed,19.0,13.6,0.0,1.0,backtest
