Player,Pos,Year,Pick,Current,A_Rescale,B_GentleDC,C_Percentile,D_Combined
Amari Cooper,WR,2015,4,67.70879175706526,78.7678457058362,92.72061761256913,87.6674364896074,88.21714285898716
Kevin White,WR,2015,7,62.93022362660043,72.66951372919874,93.27002162230372,89.49191685912241,88.78261390185308
DeVante Parker,WR,2015,14,57.07558092865816,65.19791265501351,91.16216375381703,88.3891454965358,86.61311283162584
Phillip Dorsett,WR,2015,29,50.80873681574635,57.20026674875859,85.725163880073,82.36720554272517,81.01711073809687
Devin Smith,WR,2015,37,49.88380281546279,56.01988081803425,84.35686855542312,81.24133949191686,79.60880033178562
Jay Ajayi,RB,2015,149,49.01846838481247,54.915554901809024,72.44220433497392,63.6354961832061,67.34569798313407
Chris Conley,WR,2015,76,48.840642933051214,54.68861691345598,79.62919666355913,76.76674364896076,74.74287014625284
Javorius Allen,RB,2015,125,48.35202823899243,54.06505468065305,74.13003537100805,66.46946564885496,69.08288875571102
Breshad Perriman,WR,2015,26,48.33408626751369,54.042157424528305,83.32883048259875,71.47228637413394,78.55069782280191
Geremy Davis,WR,2015,186,46.60517307921511,51.83574615379357,66.55066948821401,60.49653579676674,61.28186827885558
Kenny Bell,WR,2015,162,46.19463119001675,51.31181918188621,68.37577556111582,63.86836027713626,63.160348625009775
Tyler Lockett,WR,2015,69,46.18823653578403,51.30365842675574,77.69709169449774,73.70669745958429,72.75426177714138
Nelson Agholor,WR,2015,20,45.94413010889399,50.99213372141238,80.83188548846726,67.87528868360276,75.9807309772878
Ty Montgomery,WR,2015,94,45.32927657693034,50.20746750915986,74.25624111063212,69.64203233256352,69.21278531623187
Evan Spencer,WR,2015,187,44.65971097325197,49.35297862883261,64.51364245678576,57.21709006928407,59.18526945649845
Andre Debose,WR,2015,221,43.98741938376702,48.49501088915708,60.79891965681718,50.5080831408776,55.36191152965906
Sammie Coates,WR,2015,87,43.46113028676022,47.823369187792444,73.1114001326163,60.46189376443418,68.03446406213874
Ameer Abdullah,RB,2015,54,43.17538956342574,47.45871146134319,76.18364502478187,75.7442748091603,71.19655515053769
Jaelen Strong,WR,2015,70,43.03724559857804,47.28241434990528,74.44362785960377,61.24711316397229,69.40565209274382
JJ Nelson,WR,2015,159,42.768947054217584,46.940016052405326,65.23482926650112,57.70207852193995,59.92754699755228
Tre McBride,WR,2015,245,42.34731111263437,46.401931028846946,57.08836427845352,42.34411085450346,51.542842898491415
Da'Ron Brown,WR,2015,233,42.03388580008999,46.0019426738434,57.80262521886022,44.249422632794456,52.27799202680829
Neal Sterling,WR,2015,220,41.730557500641225,45.61483996494731,58.629656227109315,42.9445727482679,53.12920912466493
Dorial Green-Beckham,WR,2015,40,40.83385441961323,44.47048188041573,75.08432761632515,56.957274826789835,70.06508877900359
Rashad Greene,WR,2015,139,40.78278728405141,44.40531082137683,65.1779517825436,55.74480369515011,59.869006161302124
Justin Hardy,WR,2015,107,40.66455587476139,44.254425793847446,68.25800832532661,59.39953810623557,63.039137347958246
