player_name,position,school,draft_year,pick,round,dc_score,production_score,production_metric,ras_score,slap_score,delta_vs_dc,production_status,ras_status,rec_yards,team_pass_att,nfl_best_ppr,nfl_best_ppg,nfl_hit24,nfl_hit12,data_type
Jay Ajayi,RB,Boise St.,2015,149,5,2.1469367696249413,100.0,receiving_production,86.30000000000001,49.01846838481247,46.87153161518753,observed,observed,535.0,451.0,222.8,13.105882352941178,1,1,backtest
Javorius Allen,RB,USC,2015,125,4,2.948404304071824,99.56521739130434,receiving_production,80.19999999999999,48.35202823899243,45.40362393492061,observed,observed,458.0,460.0,166.1,9.770588235294117,0,0,backtest
Ameer Abdullah,RB,Nebraska,2015,54,2,7.919525644957326,74.93036211699165,receiving_production,86.6,43.17538956342574,35.255863918468414,observed,observed,269.0,359.0,125.2,7.364705882352942,0,0,backtest
Melvin Gordon,RB,Wisconsin,2015,15,1,20.935252565450664,47.51552795031056,receiving_production,87.4,40.20806106533403,19.272808499883364,observed,observed,153.0,322.0,296.4,17.435294117647057,1,1,backtest
Mike Davis,RB,South Carolina,2015,126,4,2.9104986379461453,78.63247863247864,receiving_production,60.9,38.111616840340595,35.20111820239445,observed,observed,368.0,468.0,206.5,12.147058823529411,1,0,backtest
Todd Gurley,RB,Georgia,2015,10,1,27.120250650191874,30.0,receiving_production,66.5,34.03512532509594,6.914874674904066,imputed,imputed,,,404.6,23.8,1,1,backtest
Tevin Coleman,RB,Indiana,2015,73,3,5.889978152981345,45.04792332268371,receiving_production,97.2,33.29176223942997,27.401784086448625,observed,observed,141.0,313.0,233.9,13.758823529411766,1,1,backtest
Josh Robinson,RB,Mississippi St.,2015,205,6,0.8593746699613276,87.47044917257683,receiving_production,11.0,32.694344545382556,31.83496987542123,observed,observed,370.0,423.0,11.2,0.6588235294117647,0,0,backtest
David Cobb,RB,Minnesota,2015,138,5,2.4882705429633734,63.77952755905512,receiving_production,45.5,30.391969917150973,27.9036993741876,observed,observed,162.0,254.0,21.4,1.258823529411765,0,0,backtest
T.J. Yeldon,RB,Alabama,2015,36,2,11.179305856884215,39.91130820399113,receiving_production,70.5,30.133610799839,18.954304942954785,observed,observed,180.0,451.0,173.1,10.18235294117647,0,0,backtest
Karlos Williams,RB,Florida St.,2015,155,5,1.976266829335565,51.356589147286826,receiving_production,64.1,28.577939616218167,26.601672786882602,observed,observed,265.0,516.0,124.3,7.311764705882353,0,0,backtest
David Johnson,RB,Northern Iowa,2015,86,3,4.908505149028946,30.0,receiving_production,98.4,27.714252574514475,22.805747425485528,imputed,observed,276.0,,407.8,23.988235294117647,1,1,backtest
Cameron Artis-Payne,RB,Auburn,2015,174,5,1.4953423633670047,44.27710843373494,receiving_production,60.0,25.244659133490728,23.749316770123723,observed,observed,147.0,332.0,36.9,2.170588235294117,0,0,backtest
Duke Johnson,RB,Miami (FL),2015,77,3,5.561636035574652,30.0,receiving_production,69.80000000000001,23.750818017787324,18.189181982212673,imputed,observed,,,216.1,12.711764705882352,1,0,backtest
Jeremy Langford,RB,Michigan St.,2015,106,4,3.767601168977098,15.5,receiving_production,75.19999999999999,18.588800584488546,14.821199415511447,observed,observed,62.0,400.0,147.6,8.68235294117647,0,0,backtest
Marcus Murphy,RB,Missouri,2015,230,7,0.44316279043266693,51.08433734939759,receiving_production,2.4,18.461099467505488,18.01793667707282,observed,observed,212.0,415.0,38.6,2.2705882352941176,0,0,backtest
Matt Jones,RB,Florida,2015,95,3,4.350540157222668,20.061728395061728,receiving_production,52.300000000000004,17.04187501688294,12.691334859660273,observed,observed,65.0,324.0,116.4,6.847058823529412,0,0,backtest
Kenny Hilliard,RB,LSU,2015,235,7,0.36799489917880224,12.681159420289855,receiving_production,9.1,5.9874032466908504,5.619408347512048,observed,observed,35.0,276.0,0.0,0.0,0,0,backtest
Ezekiel Elliott,RB,Ohio St.,2016,4,1,46.707583514130526,63.38461538461539,receiving_production,86.5,58.51340714168065,11.805823627550126,observed,observed,206.0,325.0,370.6,21.8,1,1,backtest
Kenneth Dixon,RB,Louisiana Tech,2016,134,4,2.6226942132758926,97.4947807933194,receiving_production,68.60000000000001,45.72452038429974,43.101826171023845,observed,observed,467.0,479.0,102.4,6.023529411764706,0,0,backtest
Devontae Booker,RB,Utah,2016,136,4,2.5547410544129825,90.3409090909091,receiving_production,66.5,42.871688709024674,40.316947654611695,observed,imputed,318.0,352.0,144.10000000000002,8.476470588235296,0,0,backtest
Dwayne Washington,RB,Washington,2016,236,7,0.35324869409290793,79.54545454545455,receiving_production,98.2,42.74753343795554,42.394284743862634,observed,observed,315.0,396.0,48.7,2.864705882352941,0,0,backtest
C.J. Prosise,RB,Notre Dame,2016,90,3,4.6501949022379945,80.0,receiving_production,80.7,42.430097451118996,37.779902548881005,observed,observed,308.0,385.0,61.0,3.588235294117647,0,0,backtest
