player_name,position,school,draft_year,pick,round,dc_score,production_score,production_metric,ras_score,slap_score,delta_vs_dc,production_status,ras_status,breakout_age,nfl_best_ppr,nfl_hit24,nfl_hit12,data_type
Amari Cooper,WR,Alabama,2015,4,1,46.707583514130526,90.0,breakout_age,85.7,67.70879175706526,21.00120824293473,observed,observed,19.0,253.6,1,1,backtest
Kevin White,WR,West Virginia,2015,7,1,33.70044725320087,90.0,breakout_age,97.2,62.93022362660043,29.22977637339956,observed,observed,19.0,38.6,0,0,backtest
DeVante Parker,WR,Louisville,2015,14,1,21.90116185731633,90.0,breakout_age,97.5,57.07558092865816,35.17441907134183,observed,observed,19.0,246.2,1,0,backtest
Phillip Dorsett,WR,Miami (FL),2015,29,1,13.207473631492709,90.0,breakout_age,84.7,50.80873681574635,37.60126318425364,observed,observed,19.0,105.9,0,0,backtest
Devin Smith,WR,Ohio St.,2015,37,2,10.937605630925596,90.0,breakout_age,86.1,49.88380281546279,38.9461971845372,observed,observed,19.0,26.5,0,0,backtest
Chris Conley,WR,Georgia,2015,76,3,5.641285866102424,90.0,breakout_age,96.8,48.840642933051214,43.19935706694879,observed,observed,19.0,156.5,0,0,backtest
Breshad Perriman,WR,Central Florida,2015,26,1,14.318172535027388,75.0,breakout_age,99.5,48.33408626751369,34.015913732486304,observed,observed,20.0,138.1,0,0,backtest
Geremy Davis,WR,Connecticut,2015,186,6,1.2303461584302213,90.0,breakout_age,96.6,46.605173079215106,45.374826920784884,observed,observed,19.0,6.8,0,0,backtest
Kenny Bell,WR,Nebraska,2015,162,5,1.789262380033514,90.0,breakout_age,92.0,46.19463119001675,44.40536880998324,observed,observed,19.0,0.0,0,0,backtest
Tyler Lockett,WR,Kansas St.,2015,69,3,6.24647307156807,90.0,breakout_age,77.1,46.18823653578403,39.94176346421596,observed,observed,19.0,274.0,1,1,backtest
Nelson Agholor,WR,USC,2015,20,1,17.248260217787976,75.0,breakout_age,73.8,45.94413010889399,28.69586989110601,observed,observed,20.0,222.1,1,0,backtest
Ty Montgomery,WR,Stanford,2015,94,3,4.408553153860687,90.0,breakout_age,77.5,45.32927657693034,40.92072342306965,observed,observed,19.0,179.3,0,0,backtest
Evan Spencer,WR,Ohio St.,2015,187,6,1.2094219465039422,90.0,breakout_age,83.69999999999999,44.65971097325197,43.450289026748024,observed,observed,19.0,0.0,0,0,backtest
Andre Debose,WR,Florida,2015,221,7,0.5848387675340481,90.0,breakout_age,81.30000000000001,43.98741938376702,43.402580616232974,observed,observed,19.0,0.0,0,0,backtest
Sammie Coates,WR,Auburn,2015,87,3,4.842260573520457,75.0,breakout_age,98.6,43.46113028676022,38.61886971323977,observed,observed,20.0,83.3,0,0,backtest
Jaelen Strong,WR,Arizona St.,2015,70,3,6.154491197156073,75.0,breakout_age,91.4,43.03724559857804,36.88275440142196,observed,observed,20.0,50.8,0,0,backtest
JJ Nelson,WR,Ala-Birmingham,2015,159,5,1.8678941084351666,90.0,breakout_age,68.9,42.768947054217584,40.90105294578242,observed,imputed,19.0,0.0,0,0,backtest
Tre McBride,WR,William & Mary,2015,245,7,0.22462222526874742,79.7,breakout_age,95.60000000000001,42.34731111263437,42.122688887365626,imputed,observed,,22.4,0,0,backtest
Da'Ron Brown,WR,Northern Illinois,2015,233,7,0.3977716001799912,90.0,breakout_age,68.9,42.03388580008999,41.63611419991,observed,imputed,19.0,0.0,0,0,backtest
Neal Sterling,WR,Monmouth,2015,220,7,0.601115001282459,90.0,breakout_age,66.2,41.730557500641225,41.12944249935877,observed,observed,19.0,0.0,0,0,backtest
Dorial Green-Beckham,WR,Oklahoma,2015,40,2,10.267708839226465,75.0,breakout_age,63.0,40.83385441961323,30.566145580386767,observed,observed,20.0,112.9,0,0,backtest
Rashad Greene,WR,Florida St.,2015,139,5,2.455574568102829,90.0,breakout_age,53.7,40.78278728405141,38.327212715948576,observed,observed,19.0,40.3,0,0,backtest
Justin Hardy,WR,East Carolina,2015,107,4,3.7191117495227943,90.0,breakout_age,48.7,40.66455587476139,36.945444125238595,observed,observed,19.0,69.1,0,0,backtest
Mario Alford,WR,West Virginia,2015,238,7,0.32403558890772477,90.0,breakout_age,54.0,39.76201779445386,39.437982205546135,observed,observed,19.0,2.5,0,0,backtest
Devin Funchess,WR,Michigan,2015,41,2,10.060921353726265,75.0,breakout_age,52.599999999999994,39.17046067686313,29.109539323136865,observed,observed,20.0,0.0,0,0,backtest
Dezmin Lewis,WR,Central Arkansas,2015,234,7,0.38283553051649805,90.0,breakout_age,47.699999999999996,38.846417765258245,38.46358223474175,observed,observed,19.0,0.0,0,0,backtest
Bud Sasser,WR,Missouri,2015,201,6,0.9330814936247598,75.0,breakout_age,74.5,37.89154074681238,36.95845925318762,observed,observed,20.0,0.0,0,0,backtest
Darren Waller,WR,Georgia Tech,2015,204,6,0.8775979717499552,75.0,breakout_age,68.9,37.023798985874976,36.14620101412502,observed,imputed,20.0,0.0,0,0,backtest
Stefon Diggs,WR,Maryland,2015,146,5,2.2361905685721535,75.0,breakout_age,56.6,35.85809528428608,33.621904715713924,observed,observed,20.0,391.7000000000001,1,1,backtest
Kaelin Clay,WR,Utah,2015,184,6,1.27270516315914,90.0,breakout_age,21.8,35.40635258157957,34.13364741842043,observed,observed,19.0,23.4,0,0,backtest
Jamison Crowder,WR,Duke,2015,105,4,3.816781655493783,90.0,breakout_age,13.100000000000001,35.37339082774689,31.556609172253104,observed,observed,19.0,197.7,0,0,backtest
Keith Mumphery,WR,Michigan St.,2015,175,5,1.472223073249019,75.0,breakout_age,43.6,33.52611153662451,32.05388846337549,observed,observed,20.0,26.9,0,0,backtest
