rank,player_name,position,draft_year,pick,college,draft_age,breakout_age,dominator_pct,breakout_score,rec_yards,team_pass_att,production_score,ras_raw,ras_score,dc_score,slap_score,slap_tier,delta,nfl_best_ppg,hit24
1,Jeremiyah Love,RB,2026,10,Notre Dame,20,,,,,,61.896480331262936,,66.5,92.39513479671196,77.836335514298,Good,-14.558799282413958,,
2,Jonah Coleman,RB,2026,56,Washington,22,,,,,,56.59407979407979,,66.5,73.28694247866397,66.4263991672599,Average,-6.860543311404072,,
3,Emmett Johnson,RB,2026,83,Nebraska,21,,,,,,63.92894935752078,,66.5,65.24308414300828,64.9716743466364,Average,-0.27140979637187,,
4,Nick Singleton,RB,2026,118,Penn State,21,,,,,,41.54454277286136,,66.5,56.18551835350469,52.608349147253826,Below Avg,-3.577169206250865,,
5,Jadarian Price,RB,2026,79,Notre Dame,21,,,,,,16.26719905353446,,66.5,66.36371289664757,48.85037611706085,Poor,-17.513336779586723,,
6,Mike Washington Jr.,RB,2026,163,Arkansas,22,,,,,,34.36370453693288,,66.5,45.936531045873316,44.97056211086316,Poor,-0.965968935010153,,
7,Demond Claiborne,RB,2026,136,Wake Forest,21,,,,,,21.28735632183908,,66.5,51.93324682456018,43.392198124923766,Poor,-8.541048699636413,,
8,Adam Randall,RB,2026,180,Clemson,21,,,,,,34.13598553345389,,66.5,42.354537423956494,43.09986364868711,Poor,0.7453262247306185,,
9,Kaytron Allen,RB,2026,124,Penn State,22,,,,,,10.359882005899705,,66.5,54.7423430815597,40.97213024284475,Poor,-13.770212838714954,,
10,Desmond Reid,RB,2026,250,Pittsburgh,21,,,,,,44.0446223316913,,66.5,28.79046960395864,39.785852618071274,Poor,10.995383014112633,,
11,Dean Connors,RB,2026,250,Houston,22,,,,,,39.28962991031956,,66.5,28.79046960395864,38.12160527059117,Poor,9.331135666632527,,
12,Jamal Haynes,RB,2026,250,Georgia Tech,22,,,,,,37.97776166304085,,66.5,28.79046960395864,37.66245138404362,Poor,8.87198178008498,,
13,Roman Hemby,RB,2026,197,Indiana,23,,,,,,20.45906638517476,,66.5,38.89903839489586,36.5851924322591,Poor,-2.313845962636762,,
14,Kaden Feagin,RB,2026,250,Illinois,21,,,,,,32.08540706605223,,66.5,28.79046960395864,35.6001272750976,Poor,6.809657671138957,,
15,J'Mari Taylor,RB,2026,245,Virginia,23,,,,,,29.53658536585366,,66.5,29.706728556907052,35.166169156502306,Poor,5.459440599595254,,
16,Richard Reese,RB,2026,250,Stephen F. Austin,20,,,,,,30.0,,66.5,28.79046960395864,34.87023480197932,Poor,6.079765198020681,,
