player_name,position,school,projected_pick,slap_score,delta,draft_capital_score,breakout_score,athletic_score,rec_yards,team_pass_attempts,age,age_estimated,weight
Jeremiyah Love,RB,Notre Dame,10,91.7,-8.3,100,81.1,,280,322,20,FALSE,214
Carnell Tate,WR,Ohio State,4,84.6,-15.4,100,64.8,,875,408,20,FALSE,195
Makai Lemon,WR,USC,16,83.2,-9.4,92.6,71.1,,1156,420,21,FALSE,195
Jordyn Tyson,WR,Arizona State,7,79.7,-20.3,100,53.6,,711,430,21,FALSE,200
Kevin Concepcion,WR,NC State,27,77.9,0.0,77.9,,,,413,20,FALSE,190
Jonah Coleman,RB,Arizona,56,75.0,0.0,75.0,,,,447,22,FALSE,228
Denzel Boston,WR,Washington,24,74.0,-6.9,80.9,65.2,,881,370,21,FALSE,209
Emmett Johnson,RB,Nebraska,83,72.6,7.5,65.1,82.3,,370,378,21,FALSE,200
Chris Bell,WR,Kansas,43,67.7,0.0,67.7,,,,345,MISSING,MISSING,176
Eli Heidenreich,WR,Navy,250,66.0,21.0,45.0,93.1,,941,182,23,FALSE,206
Chris Brazzell,WR,Tennessee,53,63.9,0.0,63.9,,,,437,MISSING,MISSING,200
Zachariah Branch,WR,Georgia,47,62.6,-3.4,66.0,58.2,,811,417,21,FALSE,180
Elijah Sarratt,WR,Indiana,44,62.2,-5.1,67.3,55.7,,806,406,22,FALSE,209
Omar Cooper Jr.,WR,Indiana,76,61.1,3.0,58.1,64.9,,961,406,21,FALSE,201
Germie Bernard,WR,Alabama,52,59.5,-4.7,64.2,53.5,,862,523,21,FALSE,204
Skyler Bell,WR,UConn,88,59.2,3.2,56.0,63.3,,1276,451,23,FALSE,185
Brenen Thompson,WR,Mississippi State,113,58.6,5.8,52.8,66.0,,1054,390,22,FALSE,170
Amare Thomas,WR,Houston,250,58.6,13.6,45.0,76.2,,966,377,19,FALSE,205
Ja'Kobi Lane,WR,USC,65,58.3,-2.2,60.5,55.5,,745,420,21,FALSE,200
Nick Singleton,RB,,118,57.8,0.0,57.8,,,,,21,FALSE,
Jadarian Price,RB,Notre Dame,79,56.8,-9.5,66.3,44.6,,87,322,21,FALSE,209
Antonio Williams,WR,Georgia Southern,85,56.5,0.0,56.5,,,,431,MISSING,MISSING,210
Malachi Fields,WR,Notre Dame,89,55.6,-0.3,55.9,55.3,,630,322,22,TRUE,223
Desmond Reid,RB,Pittsburgh,250,54.9,9.1,45.8,66.6,,317,464,21,FALSE,175
Adam Randall,RB,Clemson,180,54.1,3.6,50.5,58.7,,254,474,21,FALSE,230
Hank Beatty,WR,Illinois,250,53.4,8.4,45.0,64.2,,864,372,21,FALSE,185
Dean Connors,RB,Houston,250,53.1,7.3,45.8,62.5,,254,377,22,FALSE,206
C.J. Daniels,WR,Liberty,112,52.9,0.0,52.9,,,,316,MISSING,MISSING,205
Jamal Haynes,RB,Georgia Tech,250,52.6,6.8,45.8,61.4,,257,394,22,FALSE,190
Lewis Bond,WR,Boston College,185,52.6,5.0,47.6,59.1,,1010,454,22,TRUE,190
Demond Claiborne,RB,Wake Forest,136,52.3,-2.9,55.2,48.5,,140,406,21,FALSE,195
Mike Washington Jr.,RB,,163,52.1,0.0,52.1,,,,,22,TRUE,
Ted Hurst,WR,Georgia State,132,51.0,0.0,51.0,,,1004,475,MISSING,MISSING,185
Kaden Feagin,RB,Illinois,250,50.7,4.9,45.8,57.1,,188,372,21,FALSE,250
Deion Burks,WR,Oklahoma,121,50.2,-1.8,52.0,47.9,,620,431,22,FALSE,188
Bryce Lance,WR,North Dakota State,150,49.7,0.0,49.7,,,1079,,23,FALSE,209
Kaytron Allen,RB,Penn State,124,49.4,-7.4,56.8,39.8,,68,339,22,FALSE,217
Shelton Sampson Jr.,WR,Louisiana,250,49.2,4.2,45.0,54.7,,537,342,20,TRUE,195
Kevin Coleman Jr.,WR,Jackson State,162,48.9,0.0,48.9,,,,,21,FALSE,180
Cyrus Allen,WR,Cincinnati,250,48.6,3.6,45.0,53.3,,660,363,22,TRUE,180
Roman Hemby,RB,Indiana,197,48.4,-0.7,49.1,47.5,,165,406,23,FALSE,208
Harrison Wallace III,WR,Ole Miss,250,48.4,3.4,45.0,52.8,,934,523,22,FALSE,195
Eric McAlister,WR,Boise State,171,48.3,0.0,48.3,,,,472,22,TRUE,205
Eric Rivers,WR,Kansas,178,47.9,0.0,47.9,,,,345,22,TRUE,170
De'Zhaun Stribling,WR,Oklahoma State,186,47.5,0.0,47.5,,,,365,22,FALSE,200
Keelan Marion,WR,BYU,193,47.2,0.0,47.2,,,,403,MISSING,MISSING,195
Josh Cameron,WR,Baylor,194,47.1,0.0,47.1,,,872,510,MISSING,MISSING,224
Aaron Anderson,WR,Alabama,199,46.9,0.0,46.9,,,,523,22,FALSE,188
Dane Key,WR,Kentucky,202,46.8,0.0,46.8,,,,367,22,FALSE,210
Jordan Hudson,WR,SMU,211,46.4,0.0,46.4,,,766,460,MISSING,MISSING,200
Caleb Douglas,WR,Florida,212,46.3,0.0,46.3,,,,374,21,FALSE,210
Trebor Pena,WR,Penn State,250,46.3,1.3,45.0,48.0,,552,339,23,FALSE,186
C.J. Donaldson,RB,,242,46.2,0.0,46.2,,,,,MISSING,MISSING,
Reggie Virgil,WR,,216,46.2,0.0,46.2,,,,,21,FALSE,
J'Mari Taylor,RB,North Carolina Central,245,46.1,0.0,46.1,,,,,MISSING,MISSING,204
Caullin Lacy,WR,Louisville,231,46.0,0.4,45.6,46.6,,635,418,23,FALSE,190
Vinny Anthony II,WR,,224,45.9,0.0,45.9,,,,,MISSING,MISSING,
Robert Henry Jr.,RB,,250,45.8,0.0,45.8,,,,,MISSING,MISSING,
Kentrel Bullock,RB,Ole Miss,250,45.8,0.0,45.8,,,,523,23,TRUE,205
Chip Trayanum,RB,,250,45.8,0.0,45.8,,,,,23,TRUE,
Jaydn Ott,RB,,250,45.8,0.0,45.8,,,,,22,FALSE,
Terion Stewart,RB,Bowling Green,250,45.8,0.0,45.8,,,,286,23,FALSE,222
Rueben Owens,RB,Texas A&M,250,45.8,0.0,45.8,,,130,408,MISSING,MISSING,215
Kedrick Reescano,RB,Arizona,250,45.8,0.0,45.8,,,12,447,MISSING,MISSING,213
Djay Braswell,RB,Georgia State,250,45.8,0.0,45.8,,,17,475,MISSING,MISSING,215
Quinten Joyner,RB,Texas Tech,250,45.8,0.0,45.8,,,,486,20,FALSE,205
