player_name,position,school,projected_pick,slap_score,delta,draft_capital_score,breakout_score,athletic_score,rec_yards,team_pass_attempts,age,age_estimated,weight
Jeremiyah Love,RB,Notre Dame,10,84.2,-15.8,100,64.0,,237,445,19,FALSE,214
Jonah Coleman,RB,Arizona,56,75.0,0.0,75.0,,,,437,21,FALSE,228
Desmond Reid,RB,Pittsburgh,250,66.4,20.6,45.8,93.0,,579,499,20,FALSE,175
Emmett Johnson,RB,Nebraska,83,65.7,0.6,65.1,66.4,,273,434,20,FALSE,200
Demond Claiborne,RB,Wake Forest,136,60.1,4.9,55.2,66.5,,254,403,20,FALSE,195
Sedrick Alexander,RB,Vanderbilt,250,59.7,13.9,45.8,77.6,,238,304,19,TRUE,200
Nick Singleton,RB,,118,57.8,0.0,57.8,,,,,20,FALSE,
Kaytron Allen,RB,Penn State,124,54.2,-2.6,56.8,50.9,,153,437,21,FALSE,217
Jadarian Price,RB,Notre Dame,79,53.1,-13.2,66.3,36.1,,10,445,20,FALSE,209
Mike Washington Jr.,RB,,163,52.1,0.0,52.1,,,,,MISSING,MISSING,
Jamarion Miller,RB,Alabama,246,50.7,4.7,46.0,56.8,,155,354,20,TRUE,221
Adam Randall,RB,Clemson,180,50.1,-0.4,50.5,49.6,,155,529,20,FALSE,230
Roman Hemby,RB,Indiana,197,49.1,0.0,49.1,,,,361,22,FALSE,208
Noah Whittington,RB,Oregon,183,48.8,-1.4,50.2,47.0,,136,460,22,TRUE,203
Le'Veon Moss,RB,Texas A&M,250,48.8,3.0,45.8,52.7,,141,361,21,FALSE,210
Jamal Haynes,RB,Georgia Tech,250,48.5,2.7,45.8,52.0,,154,410,21,FALSE,190
C.J. Donaldson,RB,,242,46.2,0.0,46.2,,,,,MISSING,MISSING,
J'Mari Taylor,RB,North Carolina Central,245,46.1,0.0,46.1,,,257,,MISSING,MISSING,204
Robert Henry Jr.,RB,,250,45.8,0.0,45.8,,,,,MISSING,MISSING,
Kentrel Bullock,RB,Ole Miss,250,45.8,0.0,45.8,,,,434,22,TRUE,205
Chip Trayanum,RB,,250,45.8,0.0,45.8,,,,,22,TRUE,
Seth McGowan,RB,Kentucky,250,45.8,0.0,45.8,,,,312,22,TRUE,215
Dean Connors,RB,Houston,250,45.8,0.0,45.8,,,,280,21,FALSE,206
Rahsul Faison,RB,South Carolina,250,45.8,0.0,45.8,,,,342,24,FALSE,218
Jaydn Ott,RB,,250,45.8,0.0,45.8,,,,,21,FALSE,
Djay Braswell,RB,Georgia State,250,45.8,0.0,45.8,,,,449,19,TRUE,215
Quinten Joyner,RB,Texas Tech,250,45.8,0.0,45.8,,,,536,19,FALSE,205
Samuel Singleton Jr.,RB,,250,45.8,0.0,45.8,,,,,19,TRUE,
TreVonte Citizen,RB,,250,45.8,0.0,45.8,,,,,MISSING,MISSING,
Jaylon Glover,RB,UNLV,250,45.8,0.0,45.8,,,,309,20,TRUE,205
Andrew Paul,RB,Georgia,250,45.8,0.0,45.8,,,,513,20,TRUE,215
Armoni Goodwin,RB,LSU,250,45.8,0.0,45.8,,,,533,MISSING,MISSING,195
L.J. Johnson Jr.,RB,Texas State,250,45.8,0.0,45.8,,,,428,18,TRUE,180
Trevion Cooley,RB,Georgia Tech,250,45.8,0.0,45.8,,,4,410,MISSING,MISSING,208
Derrick Davis Jr.,RB,LSU,250,45.8,0.0,45.8,,,,533,MISSING,MISSING,210
Kadarius Calloway,RB,California,250,45.8,0.0,45.8,,,,464,21,TRUE,220
Byron Cardwell,RB,California,250,45.8,0.0,45.8,,,31,464,MISSING,MISSING,215
Barika Kpeenu,RB,North Dakota State,250,45.8,0.0,45.8,,,122,,MISSING,MISSING,199
Alton McCaskill IV,RB,,250,45.8,0.0,45.8,,,,,MISSING,MISSING,
Logan Diggs,RB,LSU,250,45.8,0.0,45.8,,,,533,22,FALSE,215
E.J. Smith,RB,Houston,250,45.8,0.0,45.8,,,,280,22,FALSE,
Roydell Williams,RB,Alabama,250,45.8,0.0,45.8,,,,354,22,TRUE,221
Jalen Berger,RB,Michigan State,250,45.8,0.0,45.8,,,,354,23,FALSE,215
Cam Porter,RB,Northwestern,250,45.8,0.0,45.8,,,174,392,MISSING,MISSING,215
Savion Red,RB,Nevada,250,45.5,-0.3,45.8,45.1,,74,366,20,TRUE,233
Kedrick Reescano,RB,Arizona,250,43.6,-2.2,45.8,40.8,,47,437,19,TRUE,213
Richard Reese,RB,Baylor,250,43.4,-2.4,45.8,40.4,,41,413,19,FALSE,175
Kaden Feagin,RB,Illinois,250,43.3,-2.5,45.8,40.2,,37,353,20,FALSE,250
Max Bredeson,RB,Michigan,250,42.6,-3.2,45.8,38.5,,24,308,21,FALSE,250
Branson Robinson,RB,Georgia,250,42.5,-3.3,45.8,38.2,,33,513,20,FALSE,211
Dominic Richardson,RB,Baylor,250,41.9,-3.9,45.8,36.8,,19,413,22,TRUE,210
Terion Stewart,RB,Bowling Green,250,41.6,-4.2,45.8,36.1,,12,419,22,FALSE,222
Rueben Owens,RB,Texas A&M,250,41.5,-4.3,45.8,35.9,,6,361,19,TRUE,215
Kaelon Black,RB,Indiana,250,41.3,-4.5,45.8,35.6,,6,361,22,FALSE,210
