player_name,position,school,projected_pick,age,rec_yards,team_pass_attempts,weight,draft_capital_score,breakout_score,athletic_score,slap_score,delta,tier
Jeremiyah Love,RB,Notre Dame,10,20,280.0,322.0,214.0,100.0,97.5,50.0,91.625,-8.375,Elite
Jonah Coleman,RB,Washington,56,22,354.0,370.0,228.0,98.14814814814815,95.0,50.0,89.82407407407408,-8.324074074074076,Elite
Emmett Johnson,RB,Nebraska,83,21,370.0,378.0,200.0,94.44444444444444,100.0,50.0,89.72222222222223,-4.722222222222214,Elite
Mike Washington Jr.,RB,Arkansas,163,22,226.0,381.0,217.0,87.03703703703704,82.5,50.0,79.89351851851852,-7.143518518518519,Good
Adam Randall,RB,Clemson,180,21,254.0,474.0,230.0,85.18518518518519,85.0,50.0,79.8425925925926,-5.342592592592595,Good
Demond Claiborne,RB,Wake Forest,136,21,140.0,406.0,195.0,88.88888888888889,72.5,50.0,77.31944444444444,-11.569444444444443,Good
Jadarian Price,RB,Notre Dame,79,21,87.0,322.0,209.0,96.29629629629629,57.49999999999999,50.0,75.77314814814814,-20.523148148148152,Good
J'Mari Taylor,RB,Virginia,245,MISSING,253.0,492.0,204.0,77.77777777777779,80.0,50.0,74.38888888888889,-3.3888888888889,Good
Roman Hemby,RB,Indiana,197,23,165.0,406.0,208.0,81.48148148148148,65.0,50.0,70.99074074074073,-10.490740740740748,Good
Kaytron Allen,RB,Penn State,124,22,68.0,339.0,217.0,90.74074074074075,45.0,50.0,68.62037037037038,-22.120370370370367,Average
Noah Whittington,RB,Oregon,183,23,98.0,437.0,203.0,83.33333333333334,42.5,50.0,64.04166666666667,-19.29166666666667,Average
Jamarion Miller,RB,Alabama,246,21,109.0,523.0,221.0,75.92592592592592,52.5,50.0,63.83796296296296,-12.087962962962962,Average
Desmond Reid,RB,Pittsburgh,250,21,317.0,464.0,175.0,37.96296296296296,92.5,50.0,58.85648148148148,20.89351851851852,Average
Dean Connors,RB,Houston,250,22,254.0,377.0,206.0,37.96296296296296,90.0,50.0,57.98148148148148,20.01851851851852,Average
Jamal Haynes,RB,Georgia Tech,250,22,257.0,394.0,190.0,37.96296296296296,87.5,50.0,57.10648148148148,19.14351851851852,Average
Kaden Feagin,RB,Illinois,250,21,188.0,372.0,250.0,37.96296296296296,77.5,50.0,53.60648148148148,15.643518518518519,Below Avg
Sedrick Alexander,RB,Vanderbilt,250,MISSING,200.0,400.0,200.0,37.96296296296296,75.0,50.0,52.73148148148148,14.768518518518519,Below Avg
Byron Cardwell,RB,San Diego State,250,22,108.0,290.0,215.0,37.96296296296296,70.0,50.0,50.98148148148148,13.018518518518519,Below Avg
