rank,player_name,draft_year,pick,college,slap_score,dc_score,breakout_score,ras_score,delta_vs_dc,breakout_status,ras_status,breakout_age_raw,ras_raw,best_ppr,hit24,hit12
1,Saquon Barkley,2018,2,Penn St.,73.1997214150812,68.78202519421318,100.0,94.7,4.417696220868024,observed,observed,18.0,9.97,455.7,1,1
2,Leonard Fournette,2017,4,LSU,53.47144598701095,46.707583514130526,100.0,75.39999999999999,6.763862472880426,observed,observed,18.0,8.04,289.8,1,1
3,Ezekiel Elliott,2016,4,Ohio St.,52.77644598701095,46.707583514130526,90.0,81.5,6.068862472880426,observed,observed,19.0,8.65,370.6,1,1
4,Bijan Robinson,2023,8,Texas,40.10880669455155,31.09859611123712,90.0,93.5,9.010210583314425,observed,observed,19.0,9.85,341.7,1,1
5,Christian McCaffrey,2017,8,Stanford,39.44380669455155,31.09859611123712,90.0,80.19999999999999,8.345210583314426,observed,observed,19.0,8.52,480.3,1,1
6,Todd Gurley,2015,10,Georgia,35.3770119032378,27.120250650191874,90.0,66.49597701149425,8.256761253045926,observed,imputed,19.0,,404.6,1,1
7,Jahmyr Gibbs,2023,12,Alabama,33.33602432732193,24.183558032143452,90.0,75.60000000000001,9.152466295178478,observed,observed,19.0,8.06,390.4,1,1
8,Melvin Gordon,2015,15,Wisconsin,29.414964680633066,20.935252565450664,75.0,82.4,8.479712115182402,observed,observed,20.0,8.74,296.4,1,1
9,Travis Etienne,2021,25,Clemson,26.83231357921752,14.732133622608847,100.0,86.19999999999999,12.100179956608672,observed,observed,18.0,9.12,282.4,1,1
10,Sony Michel,2018,31,Georgia,24.899612923780055,12.55836814562359,100.0,84.5,12.341244778156465,observed,observed,18.0,8.95,210.6,1,0
11,Nick Chubb,2018,35,Georgia,24.041598236872783,11.431292043379745,100.0,86.5,12.610306193493038,observed,observed,18.0,9.15,281.4,1,1
12,Breece Hall,2022,36,Iowa St.,23.232409978351583,11.179305856884215,90.0,94.60000000000001,12.053104121467369,observed,observed,19.0,9.96,290.5,1,1
13,Jonathan Taylor,2020,41,Wisconsin,23.066783150667327,10.060921353726265,100.0,90.29999999999998,13.005861796941062,observed,observed,18.0,9.53,373.1,1,1
14,Josh Jacobs,2019,24,Alabama,22.97094921030964,15.171704953305461,75.0,51.5,7.79924425700418,observed,observed,20.0,5.65,328.3,1,1
15,T.J. Yeldon,2015,36,Alabama,22.777409978351585,11.179305856884215,100.0,65.5,11.59810412146737,observed,observed,18.0,7.05,173.1,0,0
16,D'Andre Swift,2020,35,Georgia,22.241598236872782,11.431292043379745,90.0,70.5,10.810306193493037,observed,observed,19.0,7.55,214.5,1,0
17,Najee Harris,2021,24,Alabama,22.220748060884354,15.171704953305461,60.0,66.49597701149425,7.049043107578893,observed,imputed,21.0,,303.5,1,1
18,Rashaad Penny,2018,27,San Diego St.,21.218313542888584,13.927427697515984,60.0,67.6,7.2908858453726,observed,observed,21.0,7.26,121.7,0,0
19,Cam Akers,2020,52,Florida St.,21.111450373883983,8.195823969275274,100.0,82.89999999999999,12.915626404608709,observed,observed,18.0,8.79,146.0,0,0
20,Zach Charbonnet,2023,52,UCLA,21.071450373883984,8.195823969275274,100.0,82.10000000000001,12.87562640460871,observed,observed,18.0,8.71,183.7,0,0
21,Joe Mixon,2017,48,Oklahoma,20.959458150671917,8.799362530202254,90.0,89.60000000000001,12.160095620469663,observed,observed,19.0,9.46,348.8,1,1
22,Dalvin Cook,2017,41,Florida St.,20.626783150667325,10.060921353726265,100.0,41.5,10.56586179694106,observed,observed,18.0,4.65,337.8,1,1
23,Ronald Jones II,2018,38,USC,20.23177410557466,10.705510103921506,78.07291666666667,66.49597701149425,9.526264001653155,imputed,imputed,,,0.0,0,0
24,J.K. Dobbins,2020,55,Ohio St.,19.943802378732997,7.787062974303863,100.0,66.49597701149425,12.156739404429134,observed,imputed,18.0,,194.4,1,0
25,Javonte Williams,2021,35,North Carolina,19.861598236872783,11.431292043379745,60.0,82.89999999999999,8.430306193493038,observed,observed,21.0,8.79,204.9,1,0
26,AJ Dillon,2020,62,Boston Col.,19.233535049745807,6.951454351965995,100.0,66.49597701149425,12.282080697779811,observed,imputed,18.0,,117.6,0,0
27,Royce Freeman,2018,71,Oregon,19.03479058308569,6.064459509512579,100.0,77.6,12.970331073573112,observed,observed,18.0,8.26,142.20000000000002,0,0
28,Kerryon Johnson,2018,43,Auburn,19.013821424252104,9.66920167559071,75.0,65.89999999999999,9.344619748661394,observed,observed,20.0,7.09,139.4,0,0
29,Kenneth Walker III,2022,41,Michigan St.,18.921783150667324,10.060921353726265,60.0,87.4,8.860861796941059,observed,observed,21.0,9.24,199.4,1,0
30,Clyde Edwards-Helaire,2020,32,LSU,18.873349334286722,12.256881569749087,60.0,49.1,6.616467764537635,observed,observed,21.0,5.41,194.4,1,0
31,Jonathon Brooks,2024,46,Texas,18.585505653923352,9.130243298057225,75.0,66.49597701149425,9.455262355866127,observed,imputed,20.0,,7.500000000000001,0,0
32,Ameer Abdullah,2015,54,Nebraska,18.311596798213728,7.919525644957326,75.0,81.6,10.392071153256403,observed,observed,20.0,8.66,125.2,0,0
33,Derrick Henry,2016,45,Alabama,18.043311448087152,9.303895821279005,60.0,82.69999999999999,8.739415626808148,observed,observed,21.0,8.77,381.4,1,1
34,Tank Bigsby,2023,88,Auburn,17.970576139464473,4.7771483993699695,100.0,78.2,13.193427740094503,observed,observed,18.0,8.32,129.0,0,0
35,Duke Johnson,2015,77,Miami (FL),17.967390630238455,5.561636035574652,100.0,64.80000000000001,12.405754594663804,observed,observed,18.0,6.98,216.1,1,0
36,Derrius Guice,2018,59,LSU,17.439922472602717,7.2913303599247605,78.07291666666667,68.7,10.148592112677957,imputed,observed,,7.37,57.400000000000006,0,0
37,Justice Hill,2019,113,Oklahoma St.,17.340550987545967,3.4418246912305497,100.0,88.3,13.898726296315417,observed,observed,18.0,9.33,147.3,0,0
38,Miles Sanders,2019,53,Penn St.,17.337361824590555,8.055719793635944,60.0,89.80000000000001,9.281642030954611,observed,observed,21.0,9.48,244.8,1,1
39,Kenyan Drake,2016,73,Alabama,17.246481430034144,5.889978152981345,90.0,64.80000000000001,11.356503277052798,observed,observed,19.0,6.98,211.0,1,0
40,Tevin Coleman,2015,73,Indiana,17.116481430034142,5.889978152981345,75.0,92.2,11.226503277052796,observed,observed,20.0,9.72,233.9,1,1
41,Damien Harris,2019,87,Alabama,17.04592148749239,4.842260573520457,100.0,58.6,12.203660913971932,observed,observed,18.0,6.36,214.8,1,0
42,Roschon Johnson,2023,115,Texas,16.93611585871107,3.3542539514247864,100.0,81.7,13.581861907286283,observed,observed,18.0,8.67,102.1,0,0
43,David Montgomery,2019,73,Iowa St.,16.33148143003414,5.889978152981345,90.0,46.50000000000001,10.441503277052796,observed,observed,19.0,5.15,267.90000000000003,1,1
44,Darrell Henderson,2019,70,Memphis,16.321317517582663,6.154491197156073,75.0,71.8,10.16682632042659,observed,observed,20.0,7.68,171.4,0,0
45,Trey Benson,2024,66,Florida St.,16.18462507935521,6.534853034535545,60.0,92.6,9.649772044819667,observed,observed,21.0,9.76,47.0,0,0
46,James Cook,2022,63,Georgia,15.942054704421512,6.8435937699076606,60.0,82.5,9.098460934513852,observed,observed,21.0,8.75,324.3,1,1
47,Darrynton Evans,2020,93,Appalachian St.,15.602374444543237,4.467499346521456,75.0,86.1,11.13487509802178,observed,observed,20.0,9.11,30.0,0,0
48,C.J. Prosise,2016,90,Notre Dame,15.544957333568963,4.6501949022379945,78.07291666666667,75.7,10.894762431330967,imputed,observed,,8.07,61.0,0,0
49,Kareem Hunt,2017,86,Toledo,15.497229376674605,4.908505149028946,90.0,46.50000000000001,10.58872422764566,observed,observed,19.0,5.15,308.90000000000003,1,1
50,D'Onta Foreman,2017,89,Texas,15.473457884912964,4.713136727348583,78.07291666666667,73.2,10.76032115756438,imputed,observed,,7.82,131.0,0,0
51,Chuba Hubbard,2021,126,Oklahoma St.,15.438923842254223,2.9104986379461453,90.0,79.3,12.528425204308078,observed,observed,19.0,8.43,241.6,1,0
52,Alvin Kamara,2017,67,Tennessee,15.261090321843803,6.436576849228004,60.0,75.8,8.824513472615799,observed,observed,21.0,8.08,410.9,1,1
53,Kene Nwangwu,2021,119,Iowa St.,15.20520691694023,3.18578264738066,78.07291666666667,93.80000000000001,12.019424269559572,imputed,observed,,9.88,11.0,0,0
54,Marlon Mack,2017,143,South Florida,15.119002745669246,2.3282385243167583,90.0,82.8,12.790764221352488,observed,observed,19.0,8.78,206.1,1,0
55,De'Von Achane,2023,84,Texas A&M,15.112645712052228,5.044525719385312,75.0,66.49597701149425,10.068119992666915,observed,imputed,20.0,,196.7,1,0
56,Samaje Perine,2017,114,Oklahoma,15.108088568768409,3.3977512573745976,100.0,44.400000000000006,11.710337311393811,observed,observed,18.0,4.94,165.4,0,0
57,David Johnson,2015,86,Northern Iowa,14.842229376674606,4.908505149028946,60.0,93.4,9.933724227645659,observed,observed,21.0,9.84,407.8,1,1
58,Jaylen Wright,2024,120,Tennessee,14.828238592448653,3.144986579351357,75.0,93.10000000000001,11.683252013097295,observed,observed,20.0,9.81,26.700000000000003,0,0
59,Will Shipley,2024,127,Clemson,14.784376994801217,2.873041562511235,78.07291666666667,90.7,11.911335432289983,imputed,observed,,9.57,29.4,0,0
60,Zamir White,2022,122,Georgia,14.760168738448467,3.0649043981746686,75.0,93.10000000000001,11.695264340273798,observed,observed,20.0,9.81,73.9,0,0
61,Tyrion Davis-Price,2022,93,LSU,14.679666111209904,4.467499346521456,78.07291666666667,61.5,10.212166764688448,imputed,observed,,6.65,9.9,0,0
62,Trey Sermon,2021,88,Ohio St.,14.645576139464474,4.7771483993699695,60.0,91.69999999999999,9.868427740094504,observed,observed,21.0,9.67,53.8,0,0
