player_name,position,school,projected_pick,slap_score,delta,draft_capital_score,breakout_score,athletic_score,rec_yards,team_pass_attempts,age,age_estimated,weight
Jordyn Tyson,WR,Arizona State,7,93.1,-6.9,100,84.3,,1101,382,20,FALSE,200
Carnell Tate,WR,Ohio State,4,84.3,-15.7,100,64.1,,733,455,19,FALSE,195
Makai Lemon,WR,USC,16,77.6,-15.0,92.6,58.3,,764,533,20,FALSE,195
Denzel Boston,WR,Washington,24,75.5,-5.4,80.9,68.5,,834,417,20,FALSE,209
Elijah Sarratt,WR,Indiana,44,71.0,3.7,67.3,75.8,,957,361,21,FALSE,209
Kevin Concepcion,WR,NC State,27,68.1,-9.8,77.9,55.6,,459,391,19,FALSE,190
Germie Bernard,WR,Alabama,52,68.0,3.8,64.2,72.8,,794,354,20,FALSE,204
Chris Bell,WR,Kansas,43,67.7,0.0,67.7,,,,306,20,TRUE,176
Zachariah Branch,WR,Georgia,47,66.0,0.0,66.0,,,,513,20,FALSE,180
Chris Brazzell,WR,Tennessee,53,63.9,0.0,63.9,,,,373,20,TRUE,200
Eli Heidenreich,WR,Navy,250,63.6,18.6,45.0,87.6,,671,179,22,FALSE,206
Omar Cooper Jr.,WR,Indiana,76,59.8,1.7,58.1,62.1,,594,361,20,FALSE,201
Skyler Bell,WR,UConn,88,59.7,3.7,56.0,64.5,,860,396,22,FALSE,185
Dane Key,WR,Kentucky,202,56.9,10.1,46.8,70.0,,715,312,21,FALSE,210
Antonio Williams,WR,Georgia Southern,85,56.5,0.0,56.5,,,,445,20,TRUE,210
Ja'Kobi Lane,WR,USC,65,56.0,-4.5,60.5,50.3,,525,533,20,FALSE,200
Malachi Fields,WR,Notre Dame,89,55.9,0.0,55.9,,,,445,21,TRUE,223
De'Zhaun Stribling,WR,Oklahoma State,186,55.1,7.6,47.5,64.9,,892,450,21,FALSE,200
C.J. Daniels,WR,Liberty,112,52.9,0.0,52.9,,,,289,MISSING,MISSING,205
Brenen Thompson,WR,Mississippi State,113,52.8,0.0,52.8,,,,367,21,FALSE,170
Ted Hurst,WR,Georgia State,132,51.0,0.0,51.0,,,961,449,MISSING,MISSING,185
Jaden Greathouse,WR,Notre Dame,250,50.9,5.9,45.0,58.6,,592,445,19,FALSE,212
Bryce Lance,WR,North Dakota State,150,49.7,0.0,49.7,,,1054,,22,FALSE,209
Kevin Coleman Jr.,WR,Jackson State,162,48.9,0.0,48.9,,,,,20,FALSE,180
Barion Brown,WR,Kentucky,250,48.7,3.7,45.0,53.4,,361,312,20,FALSE,185
Eric McAlister,WR,Boise State,171,48.3,0.0,48.3,,,,415,21,TRUE,205
Deion Burks,WR,Oklahoma,121,48.2,-3.8,52.0,43.3,,245,373,21,FALSE,188
Eric Rivers,WR,Kansas,178,47.9,0.0,47.9,,,,306,21,TRUE,170
Jordan Hudson,WR,SMU,211,47.9,1.5,46.4,49.9,,422,437,20,TRUE,200
