player_name,position,school,projected_pick,age,rec_yards,team_pass_attempts,weight,draft_capital_score,breakout_score,athletic_score,slap_score,delta,tier
Makai Lemon,WR,USC,16,21,1156.0,420.0,195.0,98.13084112149532,96.875,50.0,90.47167056074767,-7.659170560747654,Elite
Carnell Tate,WR,Ohio State,4,20,875.0,408.0,195.0,100.0,91.66666666666666,50.0,89.58333333333333,-10.416666666666671,Elite
Kevin Concepcion,WR,Texas A&M,27,20,919.0,408.0,190.0,96.26168224299066,95.83333333333334,50.0,89.172507788162,-7.089174454828665,Elite
Denzel Boston,WR,Washington,24,21,881.0,370.0,209.0,97.19626168224299,93.75,50.0,88.9106308411215,-8.285630841121488,Elite
Omar Cooper Jr.,WR,Indiana,76,21,961.0,406.0,201.0,89.7196261682243,92.70833333333334,50.0,84.80772975077882,-4.911896417445476,Good
Chris Bell,WR,Louisville,43,MISSING,917.0,418.0,176.0,95.32710280373831,84.375,50.0,84.69480140186916,-10.632301401869157,Good
Chris Brazzell,WR,Tennessee,53,MISSING,1017.0,437.0,200.0,91.58878504672897,87.5,50.0,83.91939252336448,-7.669392523364493,Good
Brenen Thompson,WR,Mississippi State,113,22,1054.0,390.0,170.0,85.04672897196261,94.79166666666666,50.0,83.20044781931463,-1.8462811526479754,Good
Zachariah Branch,WR,Georgia,47,21,811.0,417.0,180.0,93.45794392523365,78.125,50.0,81.57272196261682,-11.885221962616825,Good
Skyler Bell,WR,UConn,88,23,1276.0,451.0,185.0,87.85046728971963,85.41666666666666,50.0,81.32106697819314,-6.529400311526487,Good
Elijah Sarratt,WR,Indiana,44,22,806.0,406.0,209.0,94.39252336448598,76.04166666666666,50.0,81.31084501557632,-13.081678348909662,Good
Jordyn Tyson,WR,Arizona State,7,21,711.0,430.0,200.0,99.06542056074767,68.75,50.0,81.09521028037383,-17.970210280373834,Good
Ja'Kobi Lane,WR,USC,65,21,745.0,420.0,200.0,90.65420560747664,75.0,50.0,79.07710280373831,-11.577102803738327,Good
Eric McAlister,WR,TCU,171,22,1190.0,460.0,205.0,80.37383177570094,89.58333333333334,50.0,79.04108255451713,-1.3327492211838035,Good
Ted Hurst,WR,Georgia State,132,MISSING,1004.0,475.0,185.0,83.17757009345794,83.33333333333334,50.0,78.25545171339564,-4.922118380062301,Good
Germie Bernard,WR,Alabama,52,21,862.0,523.0,204.0,92.5233644859813,67.70833333333334,50.0,77.45959890965732,-15.063765576323988,Good
Kevin Coleman Jr.,WR,Missouri,162,21,732.0,361.0,180.0,81.30841121495327,82.29166666666666,50.0,76.95628894080997,-4.352122274143298,Good
Malachi Fields,WR,Notre Dame,89,22,630.0,322.0,223.0,86.91588785046729,73.95833333333334,50.0,76.8433605919003,-10.072527258566979,Good
Lewis Bond,WR,Boston College,185,22,1010.0,454.0,190.0,78.50467289719626,81.25,50.0,75.18983644859813,-3.314836448598129,Good
Josh Cameron,WR,Baylor,194,MISSING,872.0,510.0,224.0,75.70093457943925,71.875,50.0,70.50671728971963,-5.194217289719617,Good
Antonio Williams,WR,Clemson,85,MISSING,604.0,474.0,210.0,88.78504672897196,53.125,50.0,70.48627336448598,-18.29877336448598,Good
Eric Rivers,WR,Georgia Tech,178,22,671.0,394.0,170.0,79.43925233644859,62.5,50.0,69.0946261682243,-10.344626168224295,Average
Deion Burks,WR,Oklahoma,121,22,620.0,431.0,188.0,84.11214953271028,54.166666666666664,50.0,68.51440809968847,-15.59774143302181,Average
Jordan Hudson,WR,SMU,211,MISSING,766.0,460.0,200.0,71.96261682242991,69.79166666666666,50.0,67.90839174454828,-4.054225077881625,Average
Caleb Douglas,WR,Texas Tech,212,21,830.0,486.0,210.0,71.02803738317756,70.83333333333334,50.0,67.80568535825545,-3.2223520249221167,Average
Keelan Marion,WR,Miami,193,MISSING,746.0,496.0,195.0,76.63551401869158,61.458333333333336,50.0,67.32817367601245,-9.307340342679126,Average
De'Zhaun Stribling,WR,Ole Miss,186,22,811.0,523.0,200.0,77.57009345794393,58.333333333333336,50.0,66.70171339563863,-10.868380062305292,Average
C.J. Daniels,WR,Miami,112,MISSING,557.0,496.0,205.0,85.98130841121495,45.83333333333333,50.0,66.53232087227414,-19.448987538940813,Average
Reggie Virgil,WR,Texas Tech,216,21,705.0,486.0,190.0,70.09345794392523,59.375,50.0,63.327978971962615,-6.765478971962615,Average
Dane Key,WR,Nebraska,202,22,452.0,378.0,210.0,72.89719626168224,44.79166666666667,50.0,59.625681464174455,-13.271514797507784,Average
Cody Jackson,WR,Tarleton State,250,22,799.0,126.0,200.0,34.112149532710276,100.0,50.0,59.55607476635514,25.443925233644862,Average
Caullin Lacy,WR,Louisville,231,23,635.0,418.0,190.0,68.22429906542055,51.041666666666664,50.0,59.476732866043605,-8.747566199376948,Average
Eli Heidenreich,WR,Navy,250,23,941.0,182.0,206.0,34.112149532710276,98.95833333333334,50.0,59.1914914330218,25.079341900311526,Average
Amare Thomas,WR,Houston,250,19,966.0,377.0,205.0,34.112149532710276,97.91666666666666,50.0,58.82690809968847,24.71475856697819,Average
Aaron Anderson,WR,LSU,199,22,398.0,443.0,188.0,73.83177570093457,36.45833333333333,50.0,57.17630451713395,-16.65547118380062,Average
Anthony Evans III,WR,Mississippi State,250,20,831.0,390.0,180.0,34.112149532710276,90.625,50.0,56.27482476635514,22.162675233644862,Average
Griffin Wilde,WR,Northwestern,250,MISSING,880.0,378.0,200.0,34.112149532710276,88.54166666666666,50.0,55.54565809968847,21.43350856697819,Average
Hank Beatty,WR,Illinois,250,21,864.0,372.0,185.0,34.112149532710276,86.45833333333334,50.0,54.81649143302181,20.704341900311533,Below Avg
Noah Thomas,WR,Georgia,196,21,254.0,417.0,205.0,74.76635514018692,28.125,50.0,54.72692757009346,-20.03942757009346,Below Avg
Emmanuel Henderson,WR,Kansas,250,22,766.0,345.0,190.0,34.112149532710276,80.20833333333334,50.0,52.62899143302181,18.516841900311533,Below Avg
Chase Roberts,WR,BYU,250,MISSING,802.0,403.0,280.0,34.112149532710276,79.16666666666666,50.0,52.26440809968847,18.15225856697819,Below Avg
