player_name,position,draft_year,pick,college,dc_score,production_score,ras_raw,ras_score,slap_score,slap_tier,best_season_ppg,hit24,hit12,rank
Saquon Barkley,RB,2018,2,Penn St.,98.71149956490876,90.90422125181952,9.97,94.7,97.73019675535438,Elite,26.80588235294117,1.0,1.0,1
Amari Cooper,WR,2015,4,Alabama,96.73123522513825,90.0,8.57,80.7,95.25654994136751,Elite,14.91764705882353,1.0,1.0,2
Corey Davis,WR,2017,5,Western Michigan,95.89012507645334,100.0,,68.94822695035461,94.95401766250308,Elite,11.258823529411766,0.0,0.0,3
Carnell Tate,WR,2026,4,Ohio State,96.73123522513825,90.0,,68.94822695035461,94.66896128888524,Elite,,,,4
Kevin White,WR,2015,7,West Virginia,94.38004324460745,90.0,9.72,92.2,93.83303675791633,Elite,2.2705882352941176,0.0,0.0,5
Ja'Marr Chase,WR,2021,5,LSU,95.89012507645334,75.0,9.82,93.2,93.66660631498534,Elite,23.705882352941178,1.0,1.0,6
Mike Williams,WR,2017,7,Clemson,94.38004324460745,100.0,7.24,67.4,93.59303675791634,Elite,14.505882352941176,1.0,0.0,7
John Ross,WR,2017,9,Washington,93.02779892479941,100.0,9.5,90.0,93.57362908607949,Elite,5.588235294117647,0.0,0.0,8
Jaylen Waddle,WR,2021,6,Alabama,95.11104923064929,90.0,,68.94822695035461,93.29180319356962,Elite,15.729411764705885,1.0,1.0,9
Marvin Harrison Jr.,WR,2024,4,Ohio St.,96.73123522513825,75.0,,68.94822695035461,93.16896128888524,Elite,0.0,0.0,0.0,10
Malik Nabers,WR,2024,6,LSU,95.11104923064929,75.0,9.67,91.69999999999999,92.92939184605189,Elite,16.094117647058823,1.0,1.0,11
Rome Odunze,WR,2024,9,Washington,93.02779892479941,75.0,9.92,94.2,91.28362908607949,Elite,8.523529411764706,0.0,0.0,12
Jordyn Tyson,WR,2026,7,Arizona State,94.38004324460745,75.0,,68.94822695035461,91.17044810543406,Elite,,,,13
Chris Olave,WR,2022,11,Ohio St.,91.78610696647006,90.0,8.64,81.4,91.08819092149955,Elite,13.605882352941178,1.0,0.0,14
Corey Coleman,WR,2016,15,Baylor,89.53565074279604,100.0,9.66,91.6,90.68530313137663,Elite,5.488235294117647,0.0,0.0,15
Drake London,WR,2022,8,USC,93.68781610895526,75.0,,68.94822695035461,90.5820550401297,Elite,16.51764705882353,1.0,1.0,16
Ezekiel Elliott,RB,2016,4,Ohio St.,96.73123522513825,40.725919413919414,8.65,81.5,90.36914188275945,Elite,21.8,1.0,1.0,17
Christian McCaffrey,RB,2017,8,Stanford,93.68781610895526,66.6798245614035,8.52,80.19999999999999,90.31262614875233,Elite,28.25294117647059,1.0,1.0,18
DeVante Parker,WR,2015,14,Louisville,90.07432750763405,90.0,9.75,92.5,90.18817838148894,Elite,14.48235294117647,1.0,0.0,19
Garrett Wilson,WR,2022,10,Ohio St.,92.39513479671196,75.0,7.77,72.69999999999999,89.67086457720517,Great,14.81764705882353,1.0,0.0,20
Henry Ruggs III,WR,2020,12,Alabama,91.19779246495472,75.0,9.54,90.39999999999999,89.5381235952115,Great,0.0,0.0,0.0,21
DeVonta Smith,WR,2021,10,Alabama,92.39513479671196,75.0,,68.94822695035461,89.48327592472289,Great,17.370588235294118,1.0,1.0,22
Bijan Robinson,RB,2023,8,Texas,93.68781610895526,50.24028218694886,9.85,93.5,89.33367191130685,Great,20.1,1.0,1.0,23
Leonard Fournette,RB,2017,4,LSU,96.73123522513825,28.051134547778844,8.04,75.39999999999999,88.79666339614539,Great,17.04705882352941,1.0,1.0,24
Jeremiyah Love,RB,2026,10,Notre Dame,92.39513479671196,65.0,,66.49597701149425,88.36066342777987,Great,,,,25
Jahmyr Gibbs,RB,2023,12,Alabama,91.19779246495472,66.27371167645141,8.06,75.60000000000001,87.92549476285664,Great,22.96470588235294,1.0,1.0,26
CeeDee Lamb,WR,2020,17,Oklahoma,88.49760662357517,90.0,7.44,69.4,87.69296563003888,Great,25.04117647058824,1.0,1.0,27
Josh Doctson,WR,2016,22,TCU,86.0877712199221,100.0,9.41,89.1,87.62960553693378,Great,7.047058823529412,0.0,0.0,28
D.J. Moore,WR,2018,24,Maryland,85.18360526375135,100.0,9.65,91.5,86.98106447418864,Great,14.005882352941176,1.0,0.0,29
Jameson Williams,WR,2022,12,Alabama,91.19779246495472,60.0,,68.94822695035461,86.96553494272924,Great,13.36470588235294,1.0,0.0,30
Will Fuller,WR,2016,21,Notre Dame,86.55153502322084,100.0,7.17,66.7,86.9038047697377,Great,11.111764705882353,0.0,0.0,31
Jerry Jeudy,WR,2020,15,Alabama,89.53565074279604,75.0,6.76,62.599999999999994,86.73530313137663,Great,14.170588235294119,1.0,0.0,32
Quentin Johnston,WR,2023,21,TCU,86.55153502322084,90.0,8.68,81.8,86.65880476973771,Great,10.276470588235295,0.0,0.0,33
Makai Lemon,WR,2026,16,USC,89.01046080303611,75.0,,68.94822695035461,86.60630303009842,Great,,,,34
Treylon Burks,WR,2022,18,Arkansas,87.9960967734834,90.0,5.79,52.9,86.44168225746088,Great,5.182352941176471,0.0,0.0,35
Jahan Dotson,WR,2022,16,Penn St.,89.01046080303611,75.0,6.33,58.3,86.0738916825807,Great,7.68235294117647,0.0,0.0,36
Zay Flowers,WR,2023,22,Boston Col.,86.0877712199221,90.0,8.29,77.89999999999999,86.06960553693378,Great,13.847058823529412,1.0,0.0,37
Jaxon Smith-Njigba,WR,2023,20,Ohio St.,87.02377097693456,75.0,8.34,78.4,85.39020533039438,Great,14.799999999999999,1.0,0.0,38
Justin Jefferson,WR,2020,22,LSU,86.0877712199221,75.0,9.69,91.89999999999999,85.26960553693378,Great,22.294117647058822,1.0,1.0,39
Nelson Agholor,WR,2015,20,USC,87.02377097693456,75.0,7.38,68.8,84.91020533039438,Great,13.064705882352941,1.0,0.0,40
Todd Gurley,RB,2015,10,Georgia,92.39513479671196,29.972050678627106,,66.49597701149425,84.85786849564258,Great,23.8,1.0,1.0,41
Marquise Brown,WR,2019,25,Oklahoma,84.74230353324101,90.0,,68.94822695035461,84.4783693507726,Great,13.311764705882354,1.0,0.0,42
Xavier Worthy,WR,2024,28,Texas,83.45697985379842,90.0,9.41,89.1,84.39343287572865,Great,14.923529411764704,1.0,1.0,43
Kadarius Toney,WR,2021,20,Florida,87.02377097693456,60.0,8.99,84.9,84.21520533039438,Great,4.8,0.0,0.0,44
Rashod Bateman,WR,2021,27,Minnesota,83.87932650686992,90.0,8.04,75.39999999999999,84.06742753083942,Great,11.858823529411765,0.0,0.0,45
Calvin Ridley,WR,2018,26,Alabama,84.3076609651975,100.0,5.12,46.2,83.97151182041787,Great,16.558823529411764,1.0,1.0,46
Breshad Perriman,WR,2015,26,Central Florida,84.3076609651975,75.0,9.95,94.5,83.88651182041787,Great,8.123529411764705,0.0,0.0,47
Jalen Reagor,WR,2020,21,TCU,86.55153502322084,75.0,6.03,55.300000000000004,83.83380476973771,Great,4.776470588235294,0.0,0.0,48
Kevin Concepcion,WR,2026,27,Texas A&M,83.87932650686992,90.0,,68.94822695035461,83.74483887835716,Great,,,,49
Phillip Dorsett,WR,2015,29,Miami (FL),83.040327760146,90.0,8.47,79.7,83.5692785961241,Great,6.229411764705882,0.0,0.0,50
Travis Etienne,RB,2021,25,Clemson,84.74230353324101,71.46666666666665,9.12,86.19999999999999,83.48762466992153,Great,16.61176470588235,1.0,1.0,51
Denzel Boston,WR,2026,24,Washington,85.18360526375135,75.0,,68.94822695035461,83.35347582170637,Great,,,,52
Melvin Gordon,RB,2015,15,Wisconsin,89.53565074279604,27.14758947057084,8.74,82.4,82.94006207843371,Great,17.435294117647057,1.0,1.0,53
Christian Watson,WR,2022,34,North Dakota St.,81.03375665926983,90.0,9.96,94.60000000000001,82.60869316037936,Great,9.65294117647059,0.0,0.0,54
Zay Jones,WR,2017,37,East Carolina,79.88373711084623,100.0,9.71,92.10000000000001,82.5061765442193,Great,13.694117647058825,1.0,0.0,55
Brian Thomas,WR,2024,23,LSU,85.63195232697663,60.0,,68.94822695035461,82.23457082544786,Great,16.705882352941178,1.0,1.0,56
Ricky Pearsall,WR,2024,31,Florida,82.22305120306456,75.0,9.91,94.1,82.09459352260487,Great,5.5,0.0,0.0,57
Brandon Aiyuk,WR,2020,25,Arizona St.,84.74230353324101,60.0,8.47,79.7,82.01595800325487,Great,16.41764705882353,1.0,1.0,58
Laquon Treadwell,WR,2016,23,Mississippi,85.63195232697663,75.0,3.33,28.3,81.70215947793014,Great,4.847058823529412,0.0,0.0,59
Jordan Addison,WR,2023,23,USC,85.63195232697663,60.0,5.94,54.400000000000006,81.50715947793013,Great,13.01764705882353,1.0,0.0,60
Najee Harris,RB,2021,24,Alabama,85.18360526375135,53.12380952380952,,66.49597701149425,81.0432442771443,Great,17.852941176470587,1.0,1.0,61
Keon Coleman,WR,2024,33,Florida St.,81.42558366090017,79.73509933774834,8.18,76.8,81.02525604553999,Great,6.982352941176471,0.0,0.0,62
Devin Smith,WR,2015,37,Ohio St.,79.88373711084623,90.0,8.61,81.1,80.95617654421929,Great,1.5588235294117647,0.0,0.0,63
Deebo Samuel,WR,2019,36,South Carolina,80.26299861749231,90.0,7.91,74.1,80.92854882486846,Great,22.65294117647059,1.0,1.0,64
Ladd McConkey,WR,2024,34,Georgia,81.03375665926983,75.0,9.34,88.4,80.79869316037936,Great,16.211764705882356,1.0,1.0,65
Sterling Shepard,WR,2016,40,Oklahoma,78.76865523265029,100.0,7.62,71.2,80.51335694775274,Great,11.452941176470588,0.0,0.0,66
Elijah Moore,WR,2021,34,Mississippi,81.03375665926983,75.0,8.69,81.89999999999999,80.47369316037936,Great,8.129411764705882,0.0,0.0,67
Curtis Samuel,WR,2017,40,Ohio St.,78.76865523265029,100.0,7.45,69.5,80.42835694775273,Great,12.476470588235294,0.0,0.0,68
