player_name,position,college,draft_year,pick,round,dataset_label,data_quality_flag,outlier_note,slap_display_score,slap_model_score,dc_score,prospect_profile,dataset,enhanced_breakout,teammate_score,early_declare_score,production_score,speed_score,te_breakout_score,te_production_score,ras_score,breakout_age,broke_out,peak_dominator,peak_dominator_imputed,rush_yards,rec_yards,team_pass_att,ryptpa,model_version,data_as_of_date,pos_rank
Jeremiyah Love,RB,Notre Dame,2026,3,1,Drafted Pick 3,complete,,98.6,83.1,98.6,56.1,2026_prospect,,,,57.1,49.6,,,,,,16.6,False,,280.0,322.0,0.8696,V5.0,2026-05-04,1
Jadarian Price,RB,Notre Dame,2026,32,1,Drafted Pick 32,complete,,82.2,60.76,92.7,21.6,2026_prospect,,,,17.0,49.6,,,,,,5.4,False,,87.0,322.0,0.2702,V5.0,2026-05-04,2
Jonah Coleman,RB,Washington,2026,108,4,Drafted Pick 108,complete,,76.7,57.47,66.2,55.3,2026_prospect,,,,57.4,42.5,,,,,,9.2,False,,354.0,370.0,0.9568,V5.0,2026-05-04,3
Eli Heidenreich,RB,Navy,2026,230,7,Drafted Pick 230,outlier_review,Navy triple-option offense — receiving rate inflated vs spread-offense backtest,68.3,53.22,14.0,91.7,2026_prospect,,,,99.9,42.5,,,,,,57.1,False,,941.0,182.0,5.1703,V5.0,2026-05-04,4
Emmett Johnson,RB,Nebraska,2026,161,5,Drafted Pick 161,complete,,64.5,50.72,39.7,58.8,2026_prospect,,,,61.5,42.5,,,,,,7.7,False,,370.0,378.0,0.9788,V5.0,2026-05-04,5
Mike Washington Jr.,RB,Arkansas,2026,122,4,Drafted Pick 122,complete,,62.4,48.69,59.3,36.6,2026_prospect,,,,35.6,42.5,,,,,,7.0,False,,226.0,381.0,0.5932,V5.0,2026-05-04,6
Kaelon Black,RB,Indiana,2026,90,3,Drafted Pick 90,complete,,52.7,44.81,72.1,10.4,2026_prospect,,,,5.1,42.5,,,,,,7.8,False,,36.0,406.0,0.0887,V5.0,2026-05-04,7
Nick Singleton,RB,Penn State,2026,165,5,Drafted Pick 165,complete,,50.2,43.89,38.4,40.9,2026_prospect,,,,40.6,42.5,,,,,,14.4,False,,219.0,339.0,0.646,V5.0,2026-05-04,8
Adam Randall,RB,Clemson,2026,174,5,Drafted Pick 174,complete,,38.9,40.57,34.6,34.9,2026_prospect,,,,33.7,42.5,,,,,,12.7,False,,254.0,474.0,0.5359,V5.0,2026-05-04,9
Demond Claiborne,RB,Wake Forest,2026,198,6,Drafted Pick 198,complete,,20.8,33.78,25.8,24.6,2026_prospect,,,,21.7,42.5,,,,,,11.2,False,,140.0,406.0,0.3448,V5.0,2026-05-04,10
Desmond Reid,RB,Pittsburgh,2026,258,7,UDFA,complete,,18.2,32.78,1.4,42.9,2026_prospect,,,,42.9,42.5,,,,,,15.7,False,,317.0,464.0,0.6832,V5.0,2026-05-04,11
Barika Kpeenu,RB,North Dakota State,2026,258,7,UDFA,complete,,18.2,32.62,1.4,42.4,2026_prospect,,,,42.4,42.5,,,,,,3.7,False,,211.0,270.0,0.7815,V5.0,2026-05-04,11
Kaytron Allen,RB,Penn State,2026,187,6,Drafted Pick 187,complete,,17.8,32.33,29.2,16.4,2026_prospect,,,,12.0,42.5,,,,,,5.6,False,,68.0,339.0,0.2006,V5.0,2026-05-04,13
Dean Connors,RB,Houston,2026,258,7,UDFA,complete,,17.0,32.02,1.4,40.7,2026_prospect,,,,40.4,42.5,,,,,,15.1,False,,254.0,377.0,0.6737,V5.0,2026-05-04,14
Jamal Haynes,RB,Georgia Tech,2026,258,7,UDFA,complete,,16.6,31.63,1.4,39.6,2026_prospect,,,,39.1,42.5,,,,,,9.3,False,,257.0,394.0,0.6523,V5.0,2026-05-04,15
Kaden Feagin,RB,Illinois,2026,258,7,UDFA,complete,,12.4,29.42,1.4,33.3,2026_prospect,,,,31.8,42.5,,,,,,5.8,False,,188.0,372.0,0.5054,V5.0,2026-05-04,16
J'Mari Taylor,RB,Virginia,2026,258,7,UDFA,complete,,11.5,28.71,1.4,31.3,2026_prospect,,,,29.4,42.5,,,,,,8.2,False,,253.0,492.0,0.5142,V5.0,2026-05-04,17
Sedrick Alexander,RB,Vanderbilt,2026,258,7,UDFA,complete,,11.5,28.89,1.4,31.8,2026_prospect,,,,30.0,42.5,,,,,,10.9,False,,200.0,400.0,0.5,V5.0,2026-05-04,17
Chip Trayanum,RB,Toledo,2026,258,7,UDFA,complete,,11.1,28.55,1.4,30.8,2026_prospect,,,,28.8,42.5,,,,,,6.6,False,,212.0,399.0,0.5313,V5.0,2026-05-04,19
Seth McGowan,RB,Kentucky,2026,237,7,Drafted Pick 237,complete,,11.1,28.28,9.4,22.9,2026_prospect,,,,19.6,42.5,,,,,,21.9,False,,126.0,367.0,0.3433,V5.0,2026-05-04,19
Roman Hemby,RB,Indiana,2026,258,7,UDFA,complete,,9.0,26.86,1.4,26.0,2026_prospect,,,,23.2,42.5,,,,,,10.3,False,,165.0,406.0,0.4064,V5.0,2026-05-04,21
Kadarius Calloway,RB,New Mexico State,2026,258,7,UDFA,complete,,9.0,26.57,1.4,25.1,2026_prospect,,,,22.2,42.5,,,,,,3.6,False,,175.0,472.0,0.3708,V5.0,2026-05-04,21
Byron Cardwell,RB,San Diego State,2026,258,7,UDFA,complete,,7.7,26.28,1.4,24.3,2026_prospect,,,,21.3,42.5,,,,,,2.0,False,,108.0,290.0,0.3724,V5.0,2026-05-04,23
Rueben Owens,RB,Texas A&M,2026,258,7,UDFA,complete,,5.6,25.63,1.4,22.5,2026_prospect,,,,19.1,42.5,,,,,,2.2,False,,130.0,408.0,0.3186,V5.0,2026-05-04,24
Jamarion Miller,RB,Alabama,2026,245,7,Drafted Pick 245,complete,,4.8,25.18,5.8,16.8,2026_prospect,,,,12.5,42.5,,,,,,1.8,False,,109.0,523.0,0.2084,V5.0,2026-05-04,25
Rahsul Faison,RB,South Carolina,2026,258,7,UDFA,complete,,4.8,25.22,1.4,21.3,2026_prospect,,,,17.7,42.5,,,,,,2.7,False,,118.0,342.0,0.345,V5.0,2026-05-04,25
Dominic Richardson,RB,Tulsa,2026,258,7,UDFA,complete,,3.9,24.8,1.4,20.1,2026_prospect,,,,16.3,42.5,,,,,,5.8,False,,130.0,409.0,0.3178,V5.0,2026-05-04,27
C.J. Donaldson,RB,Ohio State,2026,258,7,UDFA,complete,,3.5,24.33,1.4,18.7,2026_prospect,,,,14.8,42.5,,,,,,3.5,False,,96.0,408.0,0.2353,V5.0,2026-05-04,28
Robert Henry Jr.,RB,UTSA,2026,258,7,UDFA,complete,,3.1,24.04,1.4,17.9,2026_prospect,,,,13.8,42.5,,,,,,4.8,False,,114.0,448.0,0.2545,V5.0,2026-05-04,29
Noah Whittington,RB,Oregon,2026,258,7,UDFA,complete,,2.7,23.74,1.4,17.1,2026_prospect,,,,12.8,42.5,,,,,,4.7,False,,98.0,437.0,0.2243,V5.0,2026-05-04,30
Quinten Joyner,RB,Texas Tech,2026,258,7,UDFA,complete,,2.3,23.49,1.4,16.3,2026_prospect,,,,12.0,42.5,,,,,,3.3,False,,89.0,488.0,0.1824,V5.0,2026-05-04,31
TreVonte Citizen,RB,McNeese State,2026,258,7,UDFA,complete,,2.3,23.55,1.4,16.5,2026_prospect,,,,12.2,42.5,,,,,,1.5,False,,67.0,330.0,0.203,V5.0,2026-05-04,31
Richard Reese,RB,Stephen F. Austin,2026,258,7,UDFA,complete,,2.3,23.53,1.4,16.4,2026_prospect,,,,12.1,42.5,,,,,,3.8,False,,94.0,510.0,0.1843,V5.0,2026-05-04,31
Jalen Berger,RB,UCLA,2026,258,7,UDFA,complete,,2.3,23.05,1.4,15.1,2026_prospect,,,,10.5,42.5,,,,,,11.6,False,,70.0,361.0,0.1939,V5.0,2026-05-04,31
Kentrel Bullock,RB,South Alabama,2026,258,7,UDFA,complete,,1.4,22.82,1.4,14.4,2026_prospect,,,,9.8,42.5,,,,,,6.1,False,,53.0,310.0,0.171,V5.0,2026-05-04,35
Alton McCaskill IV,RB,Sam Houston State,2026,258,7,UDFA,complete,,1.4,22.8,1.4,14.4,2026_prospect,,,,9.7,42.5,,,,,,9.7,False,,51.0,316.0,0.1614,V5.0,2026-05-04,35
Kejon Owens,RB,Florida International,2026,258,7,UDFA,complete,,1.4,22.7,1.4,14.1,2026_prospect,,,,9.4,42.5,,,,,,1.7,False,,67.0,429.0,0.1562,V5.0,2026-05-04,35
Max Bredeson,RB,Michigan,2026,258,7,UDFA,complete,,1.0,20.48,1.4,7.7,2026_prospect,,,,1.9,42.5,,,,,,1.4,False,,11.0,340.0,0.0324,V5.0,2026-05-04,38
Le'Veon Moss,RB,Texas A&M,2026,258,7,UDFA,complete,,1.0,20.03,1.4,6.4,2026_prospect,,,,0.4,42.5,,,,,,2.7,False,,3.0,408.0,0.0074,V5.0,2026-05-04,38
Jaydn Ott,RB,Oklahoma,2026,258,7,UDFA,complete,,1.0,20.31,1.4,7.3,2026_prospect,,,,1.4,42.5,,,,,,11.9,False,,10.0,431.0,0.0232,V5.0,2026-05-04,38
Terion Stewart,RB,Virginia Tech,2026,258,7,UDFA,complete,,1.0,20.91,1.4,9.0,2026_prospect,,,,3.4,42.5,,,,,,0.6,False,,19.0,319.0,0.0596,V5.0,2026-05-04,38
Kedrick Reescano,RB,Arizona,2026,258,7,UDFA,complete,,1.0,20.38,1.4,7.4,2026_prospect,,,,1.6,42.5,,,,,,0.8,False,,12.0,447.0,0.0268,V5.0,2026-05-04,38
Djay Braswell,RB,Georgia State,2026,258,7,UDFA,complete,,1.0,20.57,1.4,8.0,2026_prospect,,,,2.2,42.5,,,,,,0.6,False,,17.0,475.0,0.0358,V5.0,2026-05-04,38
Samuel Singleton Jr.,RB,Florida State,2026,258,7,UDFA,complete,,1.0,20.78,1.4,8.6,2026_prospect,,,,3.0,42.5,,,,,,0.3,False,,16.0,339.0,0.0472,V5.0,2026-05-04,38
Branson Robinson,RB,Georgia State,2026,258,7,UDFA,complete,,1.0,20.77,1.4,8.6,2026_prospect,,,,2.9,42.5,,,,,,0.5,False,,22.0,475.0,0.0463,V5.0,2026-05-04,38
Jaylon Glover,RB,UNLV,2026,258,7,UDFA,complete,,1.0,22.16,1.4,12.5,2026_prospect,,,,7.6,42.5,,,,,,1.2,False,,51.0,424.0,0.1203,V5.0,2026-05-04,38
Savion Red,RB,Sacramento State,2026,258,7,UDFA,complete,,1.0,20.16,1.4,6.8,2026_prospect,,,,0.9,42.5,,,,,,1.7,False,,3.0,209.0,0.0144,V5.0,2026-05-04,38
