player_name,position,school,draft_year,pick,round,slap_v5,slap_v4,dc_score,enhanced_breakout,teammate_score,early_declare_score,delta_v5_dc,delta_v5_v4,breakout_age,peak_dominator,rush_yards,nfl_hit24,nfl_hit12,nfl_first_3yr_ppg,nfl_career_ppg,nfl_best_ppr,data_type,production_score,speed_score_norm,rec_yards,team_pass_att,weight,forty,nfl_best_ppg
Melvin Gordon,RB,Wisconsin,2015,15,1,69.2,67.9,89.5,,,,-20.4,1.3,,,,1,1,15.046511627906977,14.31785714285714,296.4,backtest,28.5,48.0,153.0,322.0,215.0,4.52,17.435294117647057
Todd Gurley,RB,Georgia,2015,10,1,66.2,60.1,92.4,,,,-26.2,6.1,,,,1,1,17.997727272727275,17.575000000000003,404.6,backtest,11.1,55.3,57.0,322.0,222.0,4.52,23.8
Duke Johnson,RB,Miami (FL),2015,77,3,65.6,67.6,66.9,,,,-1.3,-2.0,,,,1,0,10.929166666666667,9.84020618556701,216.1,backtest,67.7,35.9,421.0,391.0,207.0,4.54,12.711764705882352
Ameer Abdullah,RB,Nebraska,2015,54,2,62.7,65.7,73.9,,,,-11.2,-3.0,,,,0,0,8.38125,5.681147540983607,125.2,backtest,45.0,23.1,269.0,359.0,205.0,4.6,7.364705882352942
T.J. Yeldon,RB,Alabama,2015,36,2,61.8,59.5,80.3,,,,-18.5,2.3,,,,0,0,10.305405405405406,10.35,173.1,backtest,25.1,41.6,180.0,451.0,226.0,4.61,10.18235294117647
David Johnson,RB,Northern Iowa,2015,86,3,56.3,60.2,64.4,,,,-8.1,-3.9,,,,1,1,19.35151515151515,14.407777777777778,407.8,backtest,37.8,61.6,276.0,417.0,224.0,4.5,23.988235294117647
Tevin Coleman,RB,Indiana,2015,73,3,55.5,58.1,68.1,,,,-12.6,-2.6,,,,1,1,10.035,9.175280898876403,233.9,backtest,27.0,63.0,141.0,313.0,206.0,4.4,13.758823529411766
Jay Ajayi,RB,Boise St.,2015,149,5,55.4,62.4,49.0,,,,6.4,-6.9,,,,1,1,10.344736842105265,9.766666666666667,222.8,backtest,71.2,44.3,535.0,451.0,221.0,4.57,13.105882352941178
Javorius Allen,RB,USC,2015,125,4,54.3,58.2,54.5,,,,-0.3,-3.9,,,,0,0,9.134285714285712,8.669387755102042,166.1,backtest,54.0,52.2,458.0,460.0,221.0,4.53,9.770588235294117
Mike Davis,RB,South Carolina,2015,126,4,51.1,52.8,54.3,,,,-3.2,-1.7,,,,1,0,4.894117647058824,7.956164383561643,206.5,backtest,47.2,32.9,368.0,468.0,217.0,4.61,12.147058823529411
Matt Jones,RB,Florida,2015,95,3,46.2,43.1,62.0,,,,-15.8,3.2,,,,0,0,8.777272727272727,8.777272727272727,116.4,backtest,12.0,46.4,65.0,324.0,231.0,4.61,6.847058823529412
David Cobb,RB,Minnesota,2015,138,5,45.4,46.0,51.5,,,,-6.0,-0.5,,,,0,0,3.057142857142857,3.057142857142857,21.4,backtest,38.3,10.0,162.0,254.0,229.0,4.81,1.258823529411765
Jeremy Langford,RB,Michigan St.,2015,106,4,44.2,44.0,59.2,,,,-15.0,0.2,,,,0,0,8.177777777777779,7.975,147.6,backtest,8.9,61.0,62.0,400.0,208.0,4.42,8.68235294117647
Karlos Williams,RB,Florida St.,2015,155,5,43.8,44.2,47.7,,,,-3.8,-0.4,,,,0,0,11.3,11.3,124.3,backtest,30.8,72.3,265.0,516.0,230.0,4.48,7.311764705882353
Josh Robinson,RB,Mississippi St.,2015,205,6,40.1,37.8,37.3,,,,2.8,2.3,,,,0,0,,,11.2,backtest,50.0,17.4,370.0,423.0,217.0,4.7,0.6588235294117647
Cameron Artis-Payne,RB,Auburn,2015,174,5,37.3,38.8,43.6,,,,-6.3,-1.5,,,,0,0,5.735714285714287,5.427777777777779,36.9,backtest,22.8,42.9,147.0,332.0,212.0,4.53,2.170588235294117
Marcus Murphy,RB,Missouri,2015,230,7,30.6,26.8,32.5,,,,-1.9,3.8,,,,0,0,,,38.6,backtest,29.2,14.6,212.0,415.0,198.0,4.61,2.2705882352941176
Kenny Hilliard,RB,LSU,2015,235,7,22.9,19.7,31.6,,,,-8.6,3.2,,,,0,0,,,0.0,backtest,7.2,4.6,35.0,276.0,226.0,4.83,0.0
Ezekiel Elliott,RB,Ohio St.,2016,4,1,78.3,75.3,96.7,,,,-18.4,3.0,,,,1,1,21.4425,15.281185185185183,370.6,backtest,39.8,69.1,206.0,325.0,225.0,4.47,21.8
C.J. Prosise,RB,Notre Dame,2016,90,3,58.6,60.6,63.3,,,,-4.7,-1.9,,,,0,0,6.908333333333334,4.976,61.0,backtest,48.0,61.5,308.0,385.0,220.0,4.48,3.588235294117647
