player_name,position,college,draft_year,pick,round,slap_display_score,slap_model_score,dc_score,prospect_profile,dataset,te_breakout_score,te_production_score,ras_score,breakout_age,peak_dominator,rec_yards,team_pass_att,pos_rank
Kenyon Sadiq,TE,Oregon,2026,19,1,82.5,65.13,95.9,31.6,2026_prospect,29.8,14.3,60.0,,14.826581943341278,560.0,437.0,1
Eli Stowers,TE,Vanderbilt,2026,74,3,66.5,57.93,77.6,43.1,2026_prospect,66.4,22.0,40.0,21.0,27.806563039723663,765.0,400.0,2
Max Klare,TE,Ohio State,2026,81,3,63.5,55.32,75.4,39.6,2026_prospect,68.0,11.0,40.0,20.8,30.908269317668324,448.0,408.0,3
Justin Joly,TE,NC State,2026,103,4,59.2,53.7,62.9,44.4,2026_prospect,80.3,11.4,40.0,19.3,25.55604012211077,489.0,413.0,4
Michael Trigg,TE,Baylor,2026,94,3,48.2,48.18,69.3,27.0,2026_prospect,31.8,13.6,40.0,22.8,18.670971213344096,694.0,510.0,5
Tanner Koziol,TE,Houston,2026,158,5,38.4,45.35,37.1,42.8,2026_prospect,66.7,20.9,40.0,20.3,28.34964562942963,727.0,377.0,6
Jack Endries,TE,Texas,2026,125,4,35.9,44.74,52.4,30.1,2026_prospect,46.8,6.8,40.0,21.4,18.59701492537313,346.0,420.0,7
Eli Raridon,TE,Notre Dame,2026,140,5,34.1,43.91,45.7,33.2,2026_prospect,45.6,16.4,40.0,21.8,16.19079610345986,482.0,322.0,8
Oscar Delp,TE,Georgia,2026,113,4,29.8,42.66,59.2,20.5,2026_prospect,23.4,4.6,40.0,,8.432956381260096,261.0,417.0,9
Dallen Bentley,TE,Utah,2026,141,5,29.2,42.21,45.7,29.3,2026_prospect,34.1,17.5,40.0,22.5,23.16890881913304,620.0,373.0,10
Joe Royer,TE,Cincinnati,2026,142,5,21.8,40.61,45.1,25.7,2026_prospect,31.7,10.1,40.0,22.7,18.39323467230444,416.0,363.0,11
John Michael Gyllenborg,TE,Wyoming,2026,178,6,20.6,39.49,26.1,34.6,2026_prospect,62.1,3.4,40.0,20.9,19.200351493848856,217.0,384.0,12
Sam Roush,TE,Stanford,2026,159,5,14.5,37.46,37.1,23.4,2026_prospect,22.7,13.1,40.0,23.4,20.473328324567994,545.0,391.0,13
Dae'Quan Wright,TE,Mississippi,2026,179,6,12.6,35.77,26.1,25.6,2026_prospect,29.0,12.6,40.0,,13.996175908221796,635.0,523.0,14
Seydou Traore,TE,Mississippi State,2026,250,7,9.6,34.41,5.9,42.8,2026_prospect,79.1,8.4,40.0,19.8,23.25925925925926,372.0,390.0,15
Nate Boerkircher,TE,Texas A&M,2026,173,5,9.0,33.81,30.7,18.8,2026_prospect,20.9,2.6,40.0,,5.88410104011887,204.0,408.0,16
Jaren Kanak,TE,Oklahoma,2026,250,7,8.4,32.5,5.9,38.1,2026_prospect,61.1,13.7,40.0,20.8,17.29200652528548,533.0,431.0,17
Marlin Klein,TE,Michigan,2026,187,6,8.4,33.24,25.5,21.7,2026_prospect,25.2,6.0,40.0,,10.214168039538714,248.0,340.0,17
