player_name,position,college,draft_year,pick,round,dataset_label,data_quality_flag,outlier_note,slap_display_score,slap_model_score,dc_score,prospect_profile,dataset,enhanced_breakout,teammate_score,early_declare_score,breakout_age,broke_out,peak_dominator,peak_dominator_imputed,rush_yards,rec_yards,team_pass_att,ryptpa,nfl_hit24,nfl_hit12,nfl_first_3yr_ppg,nfl_career_ppg,nfl_best_ppr,nfl_best_ppg,nfl_seasons_10ppg_3yr,model_version,data_as_of_date
Amari Cooper,WR,Alabama,2015,4,1,Drafted Pick 4,complete,,97.9,92.69,98.6,83.3,backtest,99.9,0.0,100.0,19.0,True,47.2,False,23.0,1727.0,451.0,3.8293,1.0,1.0,14.51875,15.40625,253.6,,3.0,V5.0,2026-05-04
Kevin White,WR,West Virginia,2015,7,1,Drafted Pick 7,complete,,92.7,85.74,96.9,65.6,backtest,98.4,0.0,0.0,19.0,True,36.8,False,0.0,1447.0,534.0,2.7097,0.0,0.0,,,38.6,,,V5.0,2026-05-04
Nelson Agholor,WR,USC,2015,20,1,Drafted Pick 20,complete,,89.4,82.16,91.9,70.8,backtest,81.2,0.0,100.0,20.0,True,32.4,False,3.0,1313.0,460.0,2.8543,1.0,0.0,11.71875,11.71875,222.1,,1.0,V5.0,2026-05-04
DeVante Parker,WR,Louisville,2015,14,1,Drafted Pick 14,complete,,88.6,81.53,94.1,61.6,backtest,92.4,0.0,0.0,19.0,True,24.8,False,0.0,855.0,428.0,1.9977,1.0,0.0,11.675,15.3875,246.2,,3.0,V5.0,2026-05-04
Breshad Perriman,WR,Central Florida,2015,26,1,Drafted Pick 26,complete,,87.2,80.68,87.6,72.2,backtest,83.3,0.0,100.0,20.0,True,36.6,False,0.0,1044.0,416.0,2.5096,0.0,0.0,6.74,9.864286,138.1,,0.0,V5.0,2026-05-04
Devin Smith,WR,Ohio St.,2015,37,2,Drafted Pick 37,complete,,86.1,79.6,83.1,78.9,backtest,93.4,100.0,0.0,19.0,True,26.8,False,3.0,931.0,409.0,2.2763,0.0,0.0,,,26.5,,,V5.0,2026-05-04
Phillip Dorsett,WR,Miami (FL),2015,29,1,Drafted Pick 29,complete,,83.4,77.84,86.6,65.7,backtest,98.6,0.0,0.0,19.0,True,37.1,False,-6.0,871.0,391.0,2.2276,0.0,0.0,6.586667,9.163636,105.9,,0.0,V5.0,2026-05-04
Devin Funchess,WR,Michigan,2015,41,2,Drafted Pick 41,complete,,82.0,76.68,80.9,72.6,backtest,84.0,0.0,100.0,20.0,True,37.9,False,-11.0,733.0,326.0,2.2485,0.0,0.0,12.1875,12.1875,0.0,,1.0,V5.0,2026-05-04
Dorial Green-Beckham,WR,Oklahoma,2015,40,2,Drafted Pick 40,complete,,81.4,76.32,81.6,70.6,backtest,80.9,100.0,0.0,20.0,True,31.8,False,0.0,,386.0,,0.0,0.0,8.064286,8.064286,112.9,,0.0,V5.0,2026-05-04
Jaelen Strong,WR,Arizona St.,2015,70,3,Drafted Pick 70,complete,,74.3,69.39,68.9,70.4,backtest,80.5,0.0,100.0,20.0,True,31.1,False,0.0,1165.0,467.0,2.4946,0.0,0.0,4.81,4.81,50.8,,0.0,V5.0,2026-05-04
Tyler Lockett,WR,Kansas St.,2015,69,3,Drafted Pick 69,complete,,72.5,68.46,69.8,66.6,backtest,99.9,0.0,0.0,19.0,True,44.2,False,17.0,1515.0,415.0,3.6506,1.0,1.0,10.4625,16.5875,274.0,,1.0,V5.0,2026-05-04
Chris Conley,WR,Georgia,2015,76,3,Drafted Pick 76,complete,,69.9,66.01,67.0,63.2,backtest,94.8,0.0,0.0,19.0,True,29.6,False,0.0,657.0,322.0,2.0404,0.0,0.0,6.0625,9.78125,156.5,,0.0,V5.0,2026-05-04
Ty Montgomery,WR,Stanford,2015,94,3,Drafted Pick 94,complete,,64.4,62.58,59.9,63.3,backtest,95.0,0.0,0.0,19.0,True,17.6,False,144.0,604.0,381.0,1.5853,0.0,0.0,11.45,11.45,179.3,,2.0,V5.0,2026-05-04
Jamison Crowder,WR,Duke,2015,105,4,Drafted Pick 105,complete,,61.4,60.75,56.5,63.9,backtest,95.8,0.0,0.0,19.0,True,31.6,False,9.0,1044.0,471.0,2.2166,0.0,0.0,12.34375,14.335,197.7,,2.0,V5.0,2026-05-04
Sammie Coates,WR,Auburn,2015,87,3,Drafted Pick 87,complete,,60.8,60.65,62.4,52.5,backtest,78.8,0.0,0.0,20.0,True,27.5,False,0.0,741.0,332.0,2.2319,0.0,0.0,7.081818,7.081818,83.3,,0.0,V5.0,2026-05-04
Justin Hardy,WR,East Carolina,2015,107,4,Drafted Pick 107,complete,,60.3,60.39,55.5,63.9,backtest,95.8,0.0,0.0,19.0,True,31.6,False,7.0,1494.0,637.0,2.3454,0.0,0.0,6.01,6.01,69.1,,0.0,V5.0,2026-05-04
Stefon Diggs,WR,Maryland,2015,146,5,Drafted Pick 146,complete,,53.4,56.46,43.0,72.3,backtest,83.5,0.0,100.0,20.0,True,27.0,False,28.0,792.0,418.0,1.8947,1.0,1.0,14.869231,20.5375,391.7000000000001,,3.0,V5.0,2026-05-04
Rashad Greene,WR,Florida St.,2015,139,5,Drafted Pick 139,complete,,50.1,53.87,45.1,60.0,backtest,90.0,0.0,0.0,19.0,True,17.6,False,0.0,,516.0,,0.0,0.0,5.144444,5.144444,40.3,,0.0,V5.0,2026-05-04
JJ Nelson,WR,Ala-Birmingham,2015,159,5,Drafted Pick 159,complete,,46.6,52.18,39.7,64.7,backtest,97.1,0.0,0.0,19.0,True,24.2,False,45.0,655.0,328.0,1.997,0.0,0.0,9.935714,9.935714,0.0,,0.0,V5.0,2026-05-04
DeAndre Smelter,WR,Georgia Tech,2015,132,4,Drafted Pick 132,complete,,45.5,51.79,47.9,49.3,backtest,73.9,0.0,0.0,21.0,True,37.9,False,103.0,715.0,203.0,3.5222,0.0,0.0,,,3.3000000000000003,,,V5.0,2026-05-04
Evan Spencer,WR,Ohio St.,2015,187,6,Drafted Pick 187,complete,,44.5,51.64,27.6,76.7,backtest,90.0,100.0,0.0,19.0,True,5.6,False,9.0,149.0,409.0,0.3643,0.0,0.0,,,0.0,,,V5.0,2026-05-04
Tony Lippett,WR,Michigan St.,2015,156,5,Drafted Pick 156,complete,,43.5,51.08,40.9,59.5,backtest,89.3,0.0,0.0,20.0,True,38.6,False,51.0,1198.0,400.0,2.995,0.0,0.0,,,0.0,,,V5.0,2026-05-04
Kenny Bell,WR,Nebraska,2015,162,5,Drafted Pick 162,complete,,43.3,50.99,38.6,62.3,backtest,93.4,0.0,0.0,19.0,True,26.8,False,0.0,788.0,359.0,2.195,0.0,0.0,,,0.0,,,V5.0,2026-05-04
Vince Mayle,WR,Washington St.,2015,123,4,Drafted Pick 123,complete,,42.7,50.78,51.2,41.0,backtest,61.5,0.0,0.0,21.0,True,22.9,False,0.0,1483.0,771.0,1.9235,0.0,0.0,,,6.2,,,V5.0,2026-05-04
Geremy Davis,WR,Connecticut,2015,186,6,Drafted Pick 186,complete,,39.4,48.76,28.9,66.6,backtest,99.9,0.0,0.0,19.0,True,32.1,False,203.0,490.0,302.0,1.6225,0.0,0.0,,,6.8,,,V5.0,2026-05-04
Kaelin Clay,WR,Utah,2015,184,6,Drafted Pick 184,complete,,37.2,47.09,30.4,60.1,backtest,90.1,0.0,0.0,19.0,True,20.2,False,4.0,523.0,378.0,1.3836,0.0,0.0,2.109091,2.109091,23.4,,0.0,V5.0,2026-05-04
