player_name,position,college,draft_year,pick,round,slap_display_score,slap_model_score,dc_score,prospect_profile,dataset,enhanced_breakout,teammate_score,early_declare_score,breakout_age,peak_dominator,rush_yards,rec_yards,team_pass_att,pos_rank
Carnell Tate,WR,Ohio State,2026,7,1,96.4,89.59,96.8,78.4,2026_prospect,77.6,60.0,100.0,20.0,25.3,16.0,,,1
Jordyn Tyson,WR,Arizona State,2026,10,1,91.5,84.31,95.1,65.5,2026_prospect,98.2,0.0,0.0,19.0,36.4,4.0,,,2
Makai Lemon,WR,USC,2026,13,1,89.7,82.06,93.8,62.1,2026_prospect,68.1,0.0,100.0,21.0,36.2,4.0,,,3
Kevin Concepcion,WR,Texas A&M,2026,26,1,89.2,81.11,87.0,73.6,2026_prospect,85.5,0.0,100.0,20.0,30.9,75.0,,,4
Denzel Boston,WR,Washington,2026,22,1,82.8,76.76,89.7,55.0,2026_prospect,82.5,0.0,0.0,20.0,35.0,,,,5
Omar Cooper Jr.,WR,Indiana,2026,48,2,79.6,74.83,77.6,72.2,2026_prospect,68.3,60.0,100.0,21.0,26.7,74.0,,,6
Zachariah Branch,WR,Georgia,2026,49,2,78.5,73.44,77.5,68.4,2026_prospect,62.6,60.0,100.0,21.0,25.2,7.0,,,7
Ja'Kobi Lane,WR,USC,2026,76,3,75.6,70.81,65.6,79.2,2026_prospect,93.8,0.0,100.0,19.0,27.6,,,,8
Germie Bernard,WR,Alabama,2026,55,2,74.4,69.71,74.4,60.6,2026_prospect,65.9,0.0,100.0,21.0,21.8,101.0,,,9
Elijah Sarratt,WR,Indiana,2026,59,2,68.6,66.31,72.1,52.3,2026_prospect,63.4,60.0,0.0,21.0,26.8,,,,10
Antonio Williams,WR,Clemson,2026,68,3,67.8,65.34,68.9,55.5,2026_prospect,83.2,0.0,0.0,20.0,26.4,78.0,,,11
Chris Brazzell,WR,Tennessee,2026,57,2,66.0,64.14,73.0,43.6,2026_prospect,65.3,0.0,0.0,21.0,30.7,,,,12
Malachi Fields,WR,Notre Dame,2026,50,2,66.0,64.71,76.9,40.1,2026_prospect,60.1,0.0,0.0,21.0,20.3,,,,12
Chris Bell,WR,Louisville,2026,51,2,58.5,59.45,76.3,23.3,2026_prospect,35.0,0.0,0.0,,32.7,,,,14
Skyler Bell,WR,UConn,2026,99,3,48.4,53.56,57.7,36.3,2026_prospect,54.5,0.0,0.0,22.0,39.0,-2.0,,,15
Ted Hurst,WR,Georgia State,2026,82,3,47.0,52.86,63.0,23.3,2026_prospect,35.0,0.0,0.0,,37.1,,,,16
Kevin Coleman Jr.,WR,Missouri,2026,121,4,44.4,51.48,50.4,42.2,2026_prospect,38.3,0.0,100.0,,18.3,76.0,,,17
Josh Cameron,WR,Baylor,2026,136,5,38.9,49.08,45.5,42.4,2026_prospect,63.6,0.0,0.0,21.0,27.2,,,,18
Bryce Lance,WR,North Dakota State,2026,132,4,38.3,48.74,47.3,39.1,2026_prospect,58.7,0.0,0.0,22.0,37.4,92.0,,,19
Deion Burks,WR,Oklahoma,2026,118,4,37.7,48.52,51.0,30.6,2026_prospect,46.0,0.0,0.0,22.0,21.9,-3.0,,,20
Lewis Bond,WR,Boston College,2026,185,6,37.7,48.61,29.0,65.6,2026_prospect,98.4,0.0,0.0,19.0,36.8,3.0,,,20
Caleb Douglas,WR,Texas Tech,2026,192,6,37.1,48.06,24.7,67.1,2026_prospect,75.6,0.0,100.0,20.0,21.3,,,,22
Brenen Thompson,WR,Mississippi State,2026,131,4,36.6,47.34,48.0,33.9,2026_prospect,50.9,0.0,0.0,22.0,31.8,14.0,,,23
Reggie Virgil,WR,Texas Tech,2026,152,5,32.8,45.46,41.2,38.8,2026_prospect,33.2,0.0,100.0,,18.2,,,,24
Amare Thomas,WR,Houston,2026,250,7,31.1,45.13,3.9,83.3,2026_prospect,99.9,0.0,100.0,19.0,40.2,9.0,,,25
Eric McAlister,WR,TCU,2026,193,6,31.1,45.04,24.4,57.5,2026_prospect,66.2,80.0,0.0,21.0,32.4,,,,25
Zavion Thomas,WR,LSU,2026,250,7,30.5,44.13,3.9,79.9,2026_prospect,99.9,80.0,0.0,18.0,32.7,99.0,,,27
C.J. Daniels,WR,Miami (FL),2026,138,5,27.6,42.59,45.2,21.9,2026_prospect,32.8,0.0,0.0,,17.8,,,,28
Shelton Sampson Jr.,WR,Louisiana-Lafayette,2026,250,7,25.6,41.93,3.9,72.6,2026_prospect,83.9,0.0,100.0,20.0,37.8,,,,29
Anthony Evans III,WR,Mississippi State,2026,250,7,24.7,41.48,3.9,71.1,2026_prospect,81.6,0.0,100.0,20.0,23.2,47.0,,,30
De'Zhaun Stribling,WR,Mississippi,2026,186,6,16.6,39.8,28.3,36.7,2026_prospect,45.1,40.0,0.0,22.0,20.2,,,,31
Eli Heidenreich,WR,Navy,2026,223,7,12.9,38.66,13.1,49.9,2026_prospect,74.9,0.0,0.0,21.0,52.8,499.0,,,32
Cyrus Allen,WR,Cincinnati,2026,219,6,12.0,38.39,14.9,47.2,2026_prospect,70.9,0.0,0.0,21.0,31.7,34.0,,,33
Cody Jackson,WR,Tarleton State,2026,250,7,10.3,37.13,3.9,56.6,2026_prospect,84.9,0.0,0.0,20.0,53.4,6.0,,,34
Jordan Hudson,WR,SMU,2026,227,7,7.6,35.34,12.0,40.6,2026_prospect,61.0,0.0,0.0,21.0,21.9,6.0,,,35
Barion Brown,WR,LSU,2026,225,7,7.1,34.69,12.7,37.6,2026_prospect,31.4,0.0,100.0,,11.4,33.0,,,36
Chase Roberts,WR,BYU,2026,198,6,7.1,34.09,23.3,23.3,2026_prospect,35.0,0.0,0.0,,33.0,,,,36
