player_name,school,projected_pick,age,slap_score,dc_score,breakout_score,ras_score,delta_vs_dc,breakout_status,ras_status,breakout_age_raw
Carnell Tate,Ohio State,4,20,91.21030289633987,96.73123522513825,90.0,68.9,-5.520932328798381,observed,imputed,19.0
Jordyn Tyson,Arizona State,7,21,86.68202810899484,94.38004324460745,75.0,68.9,-7.698015135612607,observed,imputed,20.0
Makai Lemon,USC,16,21,83.19179952197348,89.01046080303611,75.0,68.9,-5.8186612810626315,observed,imputed,20.0
Kevin Concepcion,Texas A&M,27,20,82.85656222946545,83.87932650686992,90.0,68.9,-1.0227642774044625,observed,imputed,19.0
Denzel Boston,Washington,24,21,80.70434342143838,85.18360526375135,75.0,68.9,-4.479261842312965,observed,imputed,20.0
Zachariah Branch,Georgia,47,21,77.91939464582057,76.2836840704932,90.0,68.9,1.63571057532738,observed,imputed,19.0
Germie Bernard,Alabama,52,21,73.82131655787643,74.59433316596373,75.0,68.9,-0.7730166080873033,observed,imputed,20.0
Chris Bell,Louisville,43,MISSING,72.83021044331598,77.68493914356304,60.0,68.9,-4.854728700247065,observed,imputed,21.0
Elijah Sarratt,Indiana,44,22,72.59959128366407,77.33014043640625,60.0,68.9,-4.730549152742185,observed,imputed,21.0
Ja'Kobi Lane,USC,65,21,71.13961090046374,70.4686321545596,75.0,68.9,0.6709787459041365,observed,imputed,20.0
Chris Brazzell,Tennessee,53,22,70.60660313491434,74.26400482294514,60.0,68.9,-3.6574016880308022,observed,imputed,21.0
Omar Cooper Jr.,Indiana,76,21,66.02695566262688,67.21839332711826,60.0,68.9,-1.1914376644913887,observed,imputed,21.0
Antonio Williams,Clemson,85,21,64.38381361999795,64.69048249230454,60.0,68.9,-0.306668872306588,observed,imputed,21.0
Skyler Bell,UConn,88,23,63.850990774918955,63.870755038336846,60.0,68.9,-0.019764263417890504,observed,imputed,21.0
Malachi Fields,Notre Dame,89,22,63.67492333212761,63.59988204942709,60.0,68.9,0.0750412827005249,observed,imputed,21.0
C.J. Daniels,Miami,112,24,62.81196188863144,57.65686444404836,75.0,68.9,5.1550974445830775,observed,imputed,20.0
Deion Burks,Oklahoma,121,22,61.38434522387916,55.46053111366024,75.0,68.9,5.92381411021892,observed,imputed,20.0
Brenen Thompson,Mississippi State,113,22,59.65123850045724,57.409597693011136,60.0,68.9,2.241640807446103,observed,imputed,21.0
Ted Hurst,Georgia State,132,MISSING,56.6931786934821,52.85873645151093,60.0,68.9,3.834442241971175,observed,imputed,21.0
Kevin Coleman Jr.,Missouri,162,21,55.333508229450565,46.15155112223164,75.0,68.9,9.181957107218928,observed,imputed,20.0
Bryce Lance,North Dakota State,150,23,54.03710326661507,48.77246656402318,60.0,68.9,5.264636702591886,observed,imputed,21.0
Noah Thomas,Georgia,196,21,53.74940351962778,39.0990823378889,90.0,68.9,14.650321181738882,observed,imputed,19.0
