rank,player_name,position,draft_year,pick,college,draft_age,breakout_age,dominator_pct,breakout_score_raw,production_percentile,rec_yards,team_pass_att,production_score_raw,ras_raw,ras_score,dc_score,slap_score,slap_tier,delta,nfl_best_ppg,hit24
1,Carnell Tate,WR,2026,4,Ohio State,20,19.0,,90.0,79.03587443946188,,,,,68.9,96.73123522513825,89.01747778423226,Great,-7.713757440905994,,
2,Jordyn Tyson,WR,2026,7,Arizona State,21,20.0,,75.0,58.29596412556054,,,,,68.9,94.38004324460745,83.34122093410696,Great,-11.038822310500493,,
3,Kevin Concepcion,WR,2026,27,Texas A&M,20,19.0,,90.0,79.03587443946188,,,,,68.9,83.87932650686992,80.66373711735781,Great,-3.215589389512104,,
4,Makai Lemon,WR,2026,16,USC,21,20.0,,75.0,58.29596412556054,,,,,68.9,89.01046080303611,79.8509923470856,Good,-9.159468455950517,,
5,Denzel Boston,WR,2026,24,Washington,21,20.0,,75.0,58.29596412556054,,,,,68.9,85.18360526375135,77.3635362465505,Good,-7.820069017200851,,
6,Zachariah Branch,WR,2026,47,Georgia,21,19.0,,90.0,79.03587443946188,,,,,68.9,76.2836840704932,75.72656953371296,Good,-0.557114536780233,,
7,Germie Bernard,WR,2026,52,Alabama,21,20.0,,75.0,58.29596412556054,,,,,68.9,74.59433316596373,70.48050938298854,Good,-4.113823782975189,,
8,Chris Bell,WR,2026,43,Louisville,MISSING,21.0,,60.0,36.99551569506727,,,,,68.9,77.68493914356304,68.22931358232944,Average,-9.455625561233603,,
9,Elijah Sarratt,WR,2026,44,Indiana,22,21.0,,60.0,36.99551569506727,,,,,68.9,77.33014043640625,67.99869442267752,Average,-9.331446013728737,,
10,Ja'Kobi Lane,WR,2026,65,USC,21,20.0,,75.0,58.29596412556054,,,,,68.9,70.4686321545596,67.79880372557585,Average,-2.669828428983749,,
11,Chris Brazzell,WR,2026,53,Tennessee,22,21.0,,60.0,36.99551569506727,,,,,68.9,74.26400482294514,66.0057062739278,Average,-8.25829854901734,,
12,Omar Cooper Jr.,WR,2026,76,Indiana,21,21.0,,60.0,36.99551569506727,,,,,68.9,67.21839332711826,61.42605880164033,Average,-5.7923345254779335,,
13,Antonio Williams,WR,2026,85,Clemson,21,21.0,,60.0,36.99551569506727,,,,,68.9,64.69048249230454,59.78291675901141,Below Avg,-4.907565733293133,,
14,C.J. Daniels,WR,2026,112,Miami,24,20.0,,75.0,58.29596412556054,,,,,68.9,57.65686444404836,59.471154713743545,Below Avg,1.814290269695185,,
15,Skyler Bell,WR,2026,88,UConn,23,21.0,,60.0,36.99551569506727,,,,,68.9,63.870755038336846,59.25009391393241,Below Avg,-4.620661124404435,,
