player_name,draft_year,pick,round,college,dc_score,breakout_age,breakout_score,RAS,ras_score,athletic_status,slap_score,slap_percentile,delta,hit24_prob,hit12_prob,best_ppg,career_ppg,hit24,hit12,top24_seasons,hit24_display,hit12_display
Amari Cooper,2015,4,1,Alabama,100.0,19.0,90,8.57,85.7,observed,94.4,100.0,19.4,91.1,55.5,14.9,12.8,1,1,8,1,1
Kevin White,2015,7,1,West Virginia,72.1,19.0,90,9.72,97.2,observed,82.1,97.0,21.1,78.0,39.4,2.3,0.8,0,0,0,0,0
DeVante Parker,2015,14,1,Louisville,46.8,19.0,90,9.75,97.5,observed,69.5,94.0,21.1,54.6,25.0,14.5,7.4,1,0,1,1,0
Nelson Agholor,2015,20,1,USC,36.9,20.0,75,7.38,73.8,observed,55.8,83.0,12.4,27.0,13.8,13.1,6.9,1,0,1,1,0
Breshad Perriman,2015,26,1,Central Florida,30.6,20.0,75,9.95,99.5,observed,56.5,89.0,16.2,28.2,14.3,8.1,4.0,0,0,0,0,0
Phillip Dorsett,2015,29,1,Miami (FL),28.2,19.0,90,8.47,84.7,observed,58.3,91.0,19.2,31.4,15.5,6.2,3.4,0,0,0,0,0
Devin Smith,2015,37,2,Ohio St.,23.3,19.0,90,8.61,86.1,observed,56.1,86.0,19.5,27.5,14.0,1.6,0.8,0,0,0,0,0
Dorial Green-Beckham,2015,40,2,Oklahoma,21.9,20.0,75,6.3,63.0,observed,46.7,66.0,10.7,14.4,9.0,6.6,5.8,0,0,0,0,0
Devin Funchess,2015,41,2,Michigan,21.5,20.0,75,5.26,52.6,observed,44.9,54.0,9.1,12.6,8.3,0.0,,0,0,0,0,0
Tyler Lockett,2015,69,3,Kansas St.,13.3,19.0,90,7.71,77.1,observed,49.7,77.0,18.1,17.9,10.4,16.1,11.8,1,1,5,1,1
Jaelen Strong,2015,70,3,Arizona St.,13.1,20.0,75,9.14,91.4,observed,46.5,63.0,14.9,14.2,8.9,3.0,1.8,0,0,0,0,0
Chris Conley,2015,76,3,Georgia,12.0,19.0,90,9.68,96.8,observed,52.0,80.0,21.0,21.0,11.6,9.2,3.8,0,0,0,0,0
Sammie Coates,2015,87,3,Auburn,10.3,20.0,75,9.86,98.6,observed,46.2,60.0,16.0,13.9,8.8,4.9,1.6,0,0,0,0,0
Ty Montgomery,2015,94,3,Stanford,9.3,19.0,90,7.75,77.5,observed,47.8,74.0,18.2,15.7,9.5,10.5,3.2,0,0,0,0,0
Jamison Crowder,2015,105,4,Duke,8.1,19.0,90,1.31,13.1,observed,37.5,23.0,8.5,7.1,5.7,11.6,6.7,0,0,0,0,0
Justin Hardy,2015,107,4,East Carolina,7.9,19.0,90,4.87,48.7,observed,42.8,43.0,13.8,10.8,7.4,4.1,2.9,0,0,0,0,0
Vince Mayle,2015,123,4,Washington St.,6.4,21.0,60,4.63,46.3,observed,31.1,6.0,2.9,4.2,4.1,0.4,0.2,0,0,0,0,0
DeAndre Smelter,2015,132,4,Georgia Tech,5.7,21.0,60,,,missing,34.9,14.000000000000002,7.1,5.8,5.0,0.2,0.2,0,0,0,0,0
Rashad Greene,2015,139,5,Florida St.,5.2,19.0,90,5.37,53.7,observed,42.2,40.0,14.6,10.3,7.2,2.4,1.2,0,0,0,0,0
Stefon Diggs,2015,146,5,Maryland,4.7,20.0,75,5.66,56.6,observed,37.1,20.0,9.7,6.9,5.6,23.0,14.9,1,1,7,1,1
Tony Lippett,2015,156,5,Michigan St.,4.1,20.0,75,3.99,39.9,observed,34.3,10.0,7.3,5.5,4.9,0.0,,0,0,0,0,0
JJ Nelson,2015,159,5,Ala-Birmingham,3.9,19.0,90,,,missing,44.5,51.0,17.5,12.3,8.1,0.0,,0,0,0,0,0
Kenny Bell,2015,162,5,Nebraska,3.7,19.0,90,9.2,92.0,observed,47.1,69.0,20.3,14.9,9.2,0.0,,0,0,0,0,0
Keith Mumphery,2015,175,5,Michigan St.,3.0,20.0,75,4.36,43.6,observed,34.3,10.0,7.8,5.5,4.9,1.6,1.3,0,0,0,0,0
Kaelin Clay,2015,184,6,Utah,2.6,19.0,90,2.18,21.8,observed,36.1,17.0,9.8,6.3,5.3,1.4,0.7,0,0,0,0,0
Geremy Davis,2015,186,6,Connecticut,2.5,19.0,90,9.66,96.6,observed,47.2,71.0,21.0,15.0,9.2,0.4,0.2,0,0,0,0,0
Evan Spencer,2015,187,6,Ohio St.,2.5,19.0,90,8.37,83.7,observed,45.3,56.99999999999999,19.1,13.0,8.4,0.0,,0,0,0,0,0
Bud Sasser,2015,201,6,Missouri,1.9,20.0,75,7.45,74.5,observed,38.4,28.999999999999996,12.4,7.6,6.0,0.0,,0,0,0,0,0
