player_name,position,draft_year,pick,round,college,seasons_played,best_rank,best_ppr,hit24,hit12,RAS,breakout_age,peak_dominator,inv_sqrt_pick,log_pick,best_ppg,full_pred
Amari Cooper,WR,2015,4,1,Alabama,9,1.0,51.5,1,1,8.57,20.0,,0.5,1.3862943611198906,3.0294117647058822,3.1200478503649434
Kevin White,WR,2015,7,1,West Virginia,9,609.0,12.2,0,0,9.72,20.0,,0.3779644730092272,1.9459101490553132,0.7176470588235294,2.4519450281396895
DeVante Parker,WR,2015,14,1,Louisville,9,22.0,34.9,1,0,9.75,20.0,,0.2672612419124244,2.6390573296152584,2.052941176470588,1.8519799237570858
Phillip Dorsett,WR,2015,29,1,Miami (FL),9,87.0,25.5,0,0,8.47,20.0,,0.18569533817705186,3.3672958299864737,1.5,1.41776268428973
Devin Smith,WR,2015,37,2,Ohio St.,9,331.0,16.4,0,0,8.61,20.0,,0.1643989873053573,3.6109179126442243,0.9647058823529411,1.3015376318703211
Jamison Crowder,WR,2015,105,4,Duke,9,44.0,27.1,0,0,1.31,20.0,,0.09759000729485333,4.653960350157523,1.5941176470588236,0.9834996581879738
Justin Hardy,WR,2015,107,4,East Carolina,9,451.0,14.3,0,0,4.87,20.0,,0.09667364890456635,4.672828834461906,0.8411764705882353,0.957111603907288
Stefon Diggs,WR,2015,146,5,Maryland,9,2.0,44.8,1,1,5.66,20.0,,0.0827605888602368,4.983606621708336,2.635294117647059,0.8769772998765923
Kenny Bell,WR,2015,162,5,Nebraska,9,999.0,0.0,0,0,9.2,20.0,,0.07856742013183861,5.087596335232384,0.0,0.8329560064674459
Geremy Davis,WR,2015,186,6,Connecticut,9,1257.0,4.5,0,0,9.66,20.0,,0.07332355751067665,5.225746673713201,0.2647058823529412,0.8017768455849261
Corey Coleman,WR,2016,15,1,Baylor,8,61.0,27.4,0,0,9.66,22.0,350.39,0.2581988897471611,2.70805020110221,1.6117647058823528,1.635140757520071
Will Fuller,WR,2016,21,1,Notre Dame,8,1.0,53.7,1,1,7.17,19.0,8.33,0.2182178902359924,3.044522437723423,3.158823529411765,1.685932047053356
Josh Doctson,WR,2016,22,1,TCU,8,384.0,14.6,0,0,9.41,22.0,256.67,0.21320071635561041,3.0910424533583156,0.8588235294117647,1.3928473470192948
Laquon Treadwell,WR,2016,23,1,Mississippi,8,454.0,14.7,0,0,3.33,22.0,221.27,0.20851441405707477,3.1354942159291497,0.8647058823529411,1.4040452526748075
Sterling Shepard,WR,2016,40,2,Oklahoma,8,22.0,33.6,1,0,7.62,22.0,273.58,0.15811388300841897,3.6888794541139363,1.9764705882352942,1.1051614510387253
Michael Thomas,WR,2016,47,2,Ohio St.,8,6.0,41.2,1,1,9.11,22.0,253.61,0.14586499149789456,3.8501476017100584,2.423529411764706,1.0298310881233053
Tyler Boyd,WR,2016,55,2,Pittsburgh,8,27.0,33.8,0,0,4.27,19.0,254.52,0.13483997249264842,4.007333185232471,1.9882352941176469,1.2516461978450062
Braxton Miller,WR,2016,85,3,Ohio St.,8,503.0,13.6,0,0,8.59,22.0,147.1,0.10846522890932808,4.442651256490317,0.7999999999999999,0.8303302860451227
Leonte Carroo,WR,2016,86,3,Rutgers,8,440.0,14.4,0,0,6.96,22.0,240.06,0.10783277320343841,4.454347296253507,0.8470588235294118,0.8367126419355941
Chris Moore,WR,2016,107,4,Cincinnati,8,128.0,22.4,0,0,7.96,19.0,150.46,0.09667364890456635,4.672828834461906,1.3176470588235294,1.022657384091458
Malcolm Mitchell,WR,2016,112,4,Georgia,8,165.0,21.2,0,0,8.08,22.0,229.66,0.0944911182523068,4.718498871295094,1.2470588235294118,0.7576883171840281
Ricardo Louis,WR,2016,114,4,Auburn,8,504.0,12.1,0,0,9.23,22.0,228.43,0.0936585811581694,4.736198448394496,0.711764705882353,0.7462572343809286
Pharoh Cooper,WR,2016,117,4,South Carolina,8,540.0,12.5,0,0,2.06,19.0,277.21,0.09245003270420485,4.762173934797756,0.7352941176470589,1.0352789008317456
Demarcus Robinson,WR,2016,126,4,Florida,8,20.0,35.2,1,0,5.86,19.0,213.47,0.0890870806374748,4.836281906951478,2.070588235294118,0.9941910589194607
Tajae Sharpe,WR,2016,140,5,Massachusetts,8,119.0,23.9,0,0,5.3,22.0,266.46,0.08451542547285165,4.941642422609304,1.4058823529411764,0.7203699201995253
Jordan Payton,WR,2016,154,5,UCLA,8,1857.0,1.3,0,0,6.84,19.0,209.61,0.08058229640253803,5.036952602413629,0.07647058823529412,0.9422151460364876
Trevor Davis,WR,2016,163,5,California,8,479.0,13.4,0,0,9.14,19.0,310.15,0.07832604499879574,5.093750200806762,0.788235294117647,0.9161500118342267
Tyreek Hill,WR,2016,165,5,West Alabama,8,1.0,57.900000000000006,1,1,9.39,19.0,139.34,0.0778498944161523,5.10594547390058,3.405882352941177,0.9120658086420788
Rashard Higgins,WR,2016,172,5,Colorado St.,8,118.0,21.8,0,0,1.65,22.0,238.01,0.07624928516630233,5.147494476813453,1.2823529411764707,0.6975492551730822
Jakeem Grant,WR,2016,186,6,Texas Tech,8,140.0,21.000000000000004,0,0,6.39,19.0,184.35,0.07332355751067665,5.225746673713201,1.235294117647059,0.905595659293704
Kolby Listenbee,WR,2016,192,6,TCU,8,999.0,0.0,0,0,7.91,22.0,115.67,0.07216878364870323,5.2574953720277815,0.0,0.6377700456973807
