player_name,position,projected_pick
Jeremiyah Love,RB,10
Jonah Coleman,RB,56
Jadarian Price,RB,79
Emmett Johnson,RB,83
Nick Singleton,RB,118
Kaytron Allen,RB,124
Demond Claiborne,RB,136
Mike Washington Jr.,RB,163
Adam Randall,RB,180
Noah Whittington,RB,183
Roman Hemby,RB,197
C.J. Donaldson,RB,242
J'Mari Taylor,RB,245
Jamarion Miller,RB,246
Robert Henry Jr.,RB,250
Max Bredeson,RB,250
Kentrel Bullock,RB,250
Chip Trayanum,RB,250
Seth McGowan,RB,250
Le'Veon Moss,RB,250
Dean Connors,RB,250
Rahsul Faison,RB,250
Desmond Reid,RB,250
Kaelon Black,RB,250
Jaydn Ott,RB,250
Terion Stewart,RB,250
Jamal Haynes,RB,250
Rueben Owens,RB,250
Kedrick Reescano,RB,250
Djay Braswell,RB,250
Quinten Joyner,RB,250
Samuel Singleton Jr.,RB,250
Sedrick Alexander,RB,250
Kaden Feagin,RB,250
TreVonte Citizen,RB,250
Branson Robinson,RB,250
Jaylon Glover,RB,250
Savion Red,RB,250
Andrew Paul,RB,250
Richard Reese,RB,250
Armoni Goodwin,RB,250
L.J. Johnson Jr.,RB,250
Trevion Cooley,RB,250
Derrick Davis Jr.,RB,250
Kadarius Calloway,RB,250
Byron Cardwell,RB,250
Barika Kpeenu,RB,250
Alton McCaskill IV,RB,250
Logan Diggs,RB,250
E.J. Smith,RB,250
Roydell Williams,RB,250
Dominic Richardson,RB,250
Jalen Berger,RB,250
Cam Porter,RB,250
