player_name,position,projected_pick
Carnell Tate,WR,4
Jordyn Tyson,WR,7
Makai Lemon,WR,16
Denzel Boston,WR,24
Kevin Concepcion,WR,27
Chris Bell,WR,43
Elijah Sarratt,WR,44
Zachariah Branch,WR,47
Germie Bernard,WR,52
Chris Brazzell,WR,53
Ja'Kobi Lane,WR,65
Omar Cooper Jr.,WR,76
Antonio Williams,WR,85
Skyler Bell,WR,88
Malachi Fields,WR,89
C.J. Daniels,WR,112
Brenen Thompson,WR,113
Deion Burks,WR,121
Ted Hurst,WR,132
Bryce Lance,WR,150
Kevin Coleman Jr.,WR,162
Eric McAlister,WR,171
Eric Rivers,WR,178
Lewis Bond,WR,185
De'Zhaun Stribling,WR,186
Keelan Marion,WR,193
Josh Cameron,WR,194
Noah Thomas,WR,196
Aaron Anderson,WR,199
Dane Key,WR,202
Jordan Hudson,WR,211
Caleb Douglas,WR,212
Reggie Virgil,WR,216
Vinny Anthony II,WR,224
Caullin Lacy,WR,231
Kendrick Law,WR,250
Colbie Young,WR,250
Kaden Wetjen,WR,250
Chris Hilton,WR,250
Malik Benson,WR,250
Jeff Caldwell,WR,250
Hank Beatty,WR,250
Eli Heidenreich,WR,250
Harrison Wallace III,WR,250
Jaden Greathouse,WR,250
J.Michael Sturdivant,WR,250
Dillon Bell,WR,250
Barion Brown,WR,250
Jordan Dwyer,WR,250
Griffin Wilde,WR,250
Jalil Farooq,WR,250
Amare Thomas,WR,250
Romello Brinson,WR,250
Jalen Walthall,WR,250
Chase Roberts,WR,250
Emmanuel Henderson,WR,250
Zavion Thomas,WR,250
Trebor Pena,WR,250
Hykeem Williams,WR,250
Jaquaize Pettaway,WR,250
Shelton Sampson Jr.,WR,250
Raymond Cottrell,WR,250
Nathan Leacock,WR,250
Anthony Evans III,WR,250
Jalen Brown,WR,250
Brandon Inniss,WR,250
Ryan Niblett,WR,250
Cordale Russell,WR,250
Ayden Williams,WR,250
Braylon James,WR,250
London Humphreys,WR,250
Tyler Brown,WR,250
Mikey Matthews,WR,250
Antonio Gates Jr.,WR,250
C.J. Williams,WR,250
Andre Greene Jr.,WR,250
Kobe Prentice,WR,250
Kyion Grayes,WR,250
Braylin Presley,WR,250
Talyn Shettron,WR,250
Tobias Merriweather,WR,250
Kaleb Brown,WR,250
Jayden McGowan,WR,250
Squirrel White,WR,250
Jaron Glover,WR,250
Justus Ross-Simmons,WR,250
Jayden Ballard,WR,250
Christian Leary,WR,250
JoJo Earle,WR,250
Dacari Collins,WR,250
Cody Jackson,WR,250
Kyron Ware-Hudson,WR,250
Malik McClain,WR,250
Deion Colzie,WR,250
Jerand Bradley,WR,250
Andrel Anthony,WR,250
Jayden Thomas,WR,250
Rara Thomas,WR,250
Cyrus Allen,WR,250
Jared Brown,WR,250
Jaden Bray,WR,250
Joseph Manjack IV,WR,250
Max Tomzcak,WR,250
E.J. Williams,WR,250
Ja'Mori Maclin,WR,250
Ja'Varrius Johnson,WR,250
Donavon Greene,WR,250
